Sec_Id,Pool_Cutoff_Date,LESL1,LESL6,LESL3,LESL2,LESL5,LESL4,LESL7,LESL8,LESL10,LESL11,LESL12,LESL14,LESL15,LESL13,LESL16,LESL17,LESL17_CURRENCY,LESL21,LESL25,LESL20,LESL19,LESL22,LESL23,LESL24,LESL28,LESL28_CURRENCY,LESL29,LESL27,LESL27_CURRENCY,LESL32,LESL33,LESL34,LESL31,LESL50,LESL50_CURRENCY,LESL36,LESL37,LESL38,LESL39,LESL40,LESL41,LESL42,LESL71,LESL65,LESL66,LESL67,LESL68,LESL69,LESL72,LESL72_CURRENCY,LESL70,LESL70_CURRENCY,LESL73,LESL74,LESL30,LESL30_CURRENCY,LESL78,LESL52,LESL52_CURRENCY,LESL75,LESL75_CURRENCY,LESL76,LESL77,LESL51,LESL51_CURRENCY,LESL64,LESL64_CURRENCY,LESL57,LESL9,LESL53,LESL43,LESL35,LESL35_CURRENCY,LESL54,LESL55,LESL55_CURRENCY,LESL56,LESL60,LESL58,LESL59,LESL59_CURRENCY,LESL63,LESL62,LESL62_CURRENCY,LESL61,LESL61_CURRENCY,LESL44,LESL46,LESL46_CURRENCY,LESL47,LESL48,LESL49,LESL49_CURRENCY,LESL45,LESL82,LESL83,LESL84,LESL79,LESL80,LESL81
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340011321","ILSUK_20340011321","ILSUK_2030003093","ILSUK_2030003093","ND5","ND5","UKG37","2016","false","CNEO","ND5","RETL","MEDE","ND5","","ND5","OTHR","false","FNLS","2015-07-31","2022-07-30","84.00","11396.8400","GBP","ND5","137774.0800","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKG37","OTHER","DQ50/12/75T","2015","NEWX","137774.0800","GBP","21424.6000","GBP","OTHR","2015-07-31","ND5","","2","21424.6000","GBP","137774.0800","GBP","OTHR","2015-07-31","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","44","1772.9400","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340012360","ILSUK_20340012360","ILSUK_2030004251","ILSUK_2030004251","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","MEDE","ND5","","ND5","OTHR","false","FNLS","2014-08-27","2022-08-21","96.00","25866.7800","GBP","ND5","216432.7800","GBP","ND5","MNTH","MNTH","OTHR","ND5","","6.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","LQ 50/12/55V","2014","NEWX","216432.7800","GBP","42887.7300","GBP","OTHR","2014-08-27","ND5","","6","0.0000","GBP","216432.7800","GBP","OTHR","2014-08-27","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","56","2296.0800","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340013359","ILSUK_20340013359","ILSUK_2030001856","ILSUK_2030001856","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2014-12-19","2021-12-19","84.00","-55.4600","GBP","ND5","59532.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","6.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","QR50-12-55TV","2014","NEWX","59532.0000","GBP","11311.0800","GBP","OTHR","2014-12-19","ND5","","1","11311.0800","GBP","59532.0000","GBP","OTHR","2014-12-19","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","52","11366.5400","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340013367","ILSUK_20340013367","ILSUK_2030001856","ILSUK_2030001856","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2015-03-09","2022-03-05","84.00","1965.5000","GBP","ND5","59532.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","6.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","QR50-12-55TV","2014","NEWX","59532.0000","GBP","11311.0800","GBP","OTHR","2015-03-09","ND5","","1","11311.0800","GBP","59532.0000","GBP","OTHR","2015-03-09","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","49","735.8100","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340013472","ILSUK_20340013472","ILSUK_2030004839","ILSUK_2030004839","ND5","ND5","UKD36","2016","false","CNEO","ND5","RETL","MEDE","ND5","","ND5","OTHR","false","FNLS","2015-07-02","2022-06-30","83.00","5375.4600","GBP","ND5","76425.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","6.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKD36","OTHER","DQ60-14-60D","2015","NEWX","76425.0000","GBP","12992.2500","GBP","OTHR","2015-07-02","ND5","","1","12992.2500","GBP","76425.0000","GBP","OTHR","2015-07-02","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","45","986.6900","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340013634","ILSUK_20340013634","ILSUK_2030004774","ILSUK_2030004774","ND5","ND5","UKD34","2016","false","CNEO","ND5","RETL","SMAE","ND5","","ND5","OTHR","false","HIRP","2015-05-12","2022-03-12","82.00","2030.3000","GBP","ND5","47500.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","6.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKD34","OTHER","DQR50/12/45","2015","NEWX","47500.0000","GBP","0.0000","GBP","OTHR","2015-05-12","ND5","","1","0.0000","GBP","47500.0000","GBP","OTHR","2015-05-12","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","47","683.5300","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340013812","ILSUK_20340013812","ILSUK_2030001856","ILSUK_2030001856","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2015-04-01","2022-02-26","82.00","-144.4500","GBP","ND5","57431.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","Qr50-12-55TV","2015","NEWX","57431.0000","GBP","10911.8900","GBP","OTHR","2015-04-01","ND5","","1","10911.8900","GBP","57431.0000","GBP","OTHR","2015-04-01","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","49","10960.7500","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340014282","ILSUK_20340014282","ILSUK_2030003093","ILSUK_2030003093","ND5","ND5","UKG37","2016","false","CNEO","ND5","RETL","MEDE","ND5","","ND5","OTHR","false","FNLS","2015-06-16","2022-06-12","84.00","9776.0600","GBP","ND5","137774.0800","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKG37","OTHER","DQ50/12/70T","2015","NEWX","137774.0800","GBP","21424.6000","GBP","OTHR","2015-06-16","ND5","","2","21424.6000","GBP","137774.0800","GBP","OTHR","2015-06-16","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","46","1772.9400","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340014290","ILSUK_20340014290","ILSUK_2030003093","ILSUK_2030003093","ND5","ND5","UKG37","2016","false","CNEO","ND5","RETL","MEDE","ND5","","ND5","OTHR","false","FNLS","2015-07-31","2022-07-30","84.00","11396.9600","GBP","ND5","137774.0800","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKG37","OTHER","DQ50/12/70T","2015","NEWX","137774.0800","GBP","21424.0000","GBP","OTHR","2015-07-31","ND5","","2","21424.0000","GBP","137774.0800","GBP","OTHR","2015-07-31","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","44","1772.9400","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340014304","ILSUK_20340014304","ILSUK_2030003093","ILSUK_2030003093","ND5","ND5","UKG37","2016","false","CNEO","ND5","RETL","MEDE","ND5","","ND5","OTHR","false","FNLS","2015-06-22","2022-06-15","84.00","9776.0600","GBP","ND5","137774.0800","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKG37","OTHER","DQ50/12/70T","2015","NEWX","137774.0800","GBP","21424.6000","GBP","OTHR","2015-06-22","ND5","","2","21424.6000","GBP","137774.0800","GBP","OTHR","2015-06-22","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","46","1772.9400","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
