DefaultDate,TimeToDefault,NumberOfCredits
2022-04-29,693.0,82993
2022-02-28,399.0,85792
2021-09-30,738.0,91590
2022-02-28,2076.0,85792
2022-02-28,626.0,85792
2021-12-31,563.0,88300
2022-02-28,1145.0,85792
2021-10-29,764.0,90628
2022-03-31,652.0,84348
2022-03-31,1760.0,84348
2021-10-29,759.0,90628
2022-01-31,588.0,87087
2021-12-31,556.0,88300
2021-12-31,550.0,88300
2021-12-31,549.0,88300
2022-03-31,1732.0,84348
2022-03-31,2071.0,84348
2021-12-31,800.0,88300
2021-12-31,1634.0,88300
2021-07-30,645.0,93352
2022-03-31,631.0,84348
2021-09-30,1249.0,91590
2022-04-29,658.0,82993
2021-10-29,725.0,90628
2021-10-29,470.0,90628
2022-03-31,623.0,84348
2022-03-31,874.0,84348
2021-10-29,466.0,90628
2021-09-30,692.0,91590
2022-03-31,616.0,84348
2021-09-30,433.0,91590
2022-03-31,1414.0,84348
2022-01-31,553.0,87087
2021-09-30,428.0,91590
2022-03-31,861.0,84348
2022-03-31,608.0,84348
2021-10-29,960.0,90628
2021-12-31,765.0,88300
2021-10-29,700.0,90628
2022-02-28,1363.0,85792
2022-02-28,570.0,85792
2022-01-31,542.0,87087
2022-03-31,601.0,84348
2022-01-31,1042.0,87087
2022-04-29,877.0,82993
2021-12-31,507.0,88300
2021-10-29,442.0,90628
2021-09-30,664.0,91590
2021-09-30,916.0,91590
2021-11-30,470.0,89559
2021-10-29,687.0,90628
2022-04-29,612.0,82993
2022-01-31,1313.0,87087
2022-04-29,1681.0,82993
2022-03-31,577.0,84348
2021-12-31,487.0,88300
2022-04-29,604.0,82993
2021-11-30,697.0,89559
2022-04-29,847.0,82993
2021-11-30,697.0,89559
2021-12-31,725.0,88300
2022-04-29,843.0,82993
2021-12-31,1876.0,88300
2022-01-31,507.0,87087
2022-04-29,1088.0,82993
2022-04-29,592.0,82993
2021-12-31,473.0,88300
2021-09-30,625.0,91590
2021-11-30,441.0,89559
2022-04-29,836.0,82993
2021-10-29,409.0,90628
2022-02-28,1026.0,85792
2021-09-30,1451.0,91590
2022-04-29,1086.0,82993
2021-07-30,317.0,93352
2022-03-31,805.0,84348
2022-03-31,556.0,84348
2022-02-28,1595.0,85792
2022-01-31,495.0,87087
2021-11-30,432.0,89559
2021-11-30,672.0,89559
2021-12-31,459.0,88300
2022-04-29,1358.0,82993
2021-09-30,366.0,91590
2021-12-31,948.0,88300
2021-11-30,1491.0,89559
2022-02-28,756.0,85792
2022-03-31,541.0,84348
2021-10-29,387.0,90628
2022-03-31,780.0,84348
2021-12-31,1221.0,88300
2021-12-31,689.0,88300
2022-03-31,534.0,84348
2022-04-29,562.0,82993
2021-10-29,624.0,90628
2021-11-30,655.0,89559
2021-09-30,349.0,91590
2022-01-31,469.0,87087
2022-02-28,497.0,85792
2021-11-30,1177.0,89559
2022-04-29,556.0,82993
2022-01-31,468.0,87087
2021-09-30,343.0,91590
2022-03-31,1295.0,84348
2021-11-30,1771.0,89559
2022-04-29,1038.0,82993
2021-10-29,613.0,90628
2022-04-29,1036.0,82993
2021-12-31,1193.0,88300
2022-03-31,762.0,84348
2021-11-30,882.0,89559
2022-01-31,458.0,87087
2022-04-29,787.0,82993
2022-03-31,997.0,84348
2022-03-31,512.0,84348
2022-03-31,512.0,84348
2022-02-28,724.0,85792
2022-02-28,476.0,85792
2022-04-29,1298.0,82993
2022-03-31,1268.0,84348
2022-04-29,534.0,82993
2022-02-28,474.0,85792
2022-02-28,957.0,85792
2022-04-29,532.0,82993
2021-10-29,1110.0,90628
2021-12-31,655.0,88300
2021-12-31,654.0,88300
2022-04-29,771.0,82993
2022-01-31,438.0,87087
2022-03-31,493.0,84348
2021-11-30,609.0,89559
2022-02-28,696.0,85792
2022-03-31,486.0,84348
2022-04-29,515.0,82993
2022-03-31,483.0,84348
2021-10-29,816.0,90628
2022-03-31,702.0,84348
2021-07-30,1281.0,93352
2022-02-28,1202.0,85792
2022-02-28,669.0,85792
2021-12-31,604.0,88300
2021-10-29,539.0,90628
2021-12-31,374.0,88300
2022-02-28,658.0,85792
2021-11-30,832.0,89559
2022-03-31,947.0,84348
2022-03-31,1217.0,84348
2022-03-31,456.0,84348
2022-03-31,455.0,84348
2022-03-31,1500.0,84348
2022-03-31,673.0,84348
2021-11-30,550.0,89559
2021-11-30,550.0,89559
2022-03-31,2540.0,84348
2022-01-31,1140.0,87087
2022-03-31,1486.0,84348
2022-04-29,697.0,82993
2022-03-31,930.0,84348
