DefaultDate,TimeToDefault,NumberOfCredits
2022-01-31,762.0,188576
2021-07-31,1035.0,188702
2020-01-31,457.0,188850
2020-11-30,669.0,188792
2021-01-31,731.0,188773
2022-03-31,1096.0,188474
2021-08-31,854.0,188680
2022-01-31,946.0,188576
2020-01-31,153.0,188850
2020-10-31,397.0,188799
2021-09-30,670.0,188667
2022-01-31,762.0,188576
2021-04-30,486.0,188730
2020-11-30,335.0,188792
2021-08-31,578.0,188680
2022-03-31,790.0,188474
2019-08-31,304.0,188872
2019-12-31,426.0,188850
2021-08-31,884.0,188680
2020-07-31,488.0,188824
2020-07-31,427.0,188824
2021-03-31,640.0,188738
2021-01-31,489.0,188773
2022-03-31,304.0,188474
2022-02-28,304.0,188536
2022-02-28,304.0,188536
2014-07-31,791.0,188943
2014-07-31,608.0,188943
2015-04-30,1612.0,188943
2016-07-31,1065.0,188934
2014-12-31,487.0,188943
2015-11-30,609.0,188935
2016-08-31,793.0,188934
2016-08-31,884.0,188934
2016-02-29,639.0,188935
2016-02-29,456.0,188935
2015-05-31,151.0,188941
2017-02-28,790.0,188931
2018-05-31,1216.0,188912
2021-04-30,912.0,188730
2022-01-31,1188.0,188576
2019-06-30,242.0,188874
2021-04-30,912.0,188730
2022-04-30,1277.0,188404
2021-10-31,976.0,188649
2022-01-31,1007.0,188576
2021-02-28,486.0,188759
2022-02-28,851.0,188536
2022-01-31,276.0,188576
2021-06-30,516.0,188713
2017-07-31,823.0,188925
2017-10-31,915.0,188920
2016-08-31,428.0,188934
2018-05-31,1066.0,188912
2019-01-31,1311.0,188896
2017-01-31,519.0,188931
2017-08-31,549.0,188922
2017-09-30,579.0,188922
2018-04-30,730.0,188913
2018-05-31,730.0,188912
2019-12-31,1279.0,188850
2017-11-30,518.0,188919
2020-02-29,1339.0,188849
2018-11-30,821.0,188900
2019-05-31,1003.0,188877
2017-05-31,304.0,188927
2018-07-31,730.0,188909
2020-03-31,366.0,188842
2020-03-31,366.0,188842
2021-10-31,915.0,188649
2021-10-31,915.0,188649
2021-10-31,915.0,188649
2022-04-30,1004.0,188404
2021-11-30,853.0,188622
2021-03-31,548.0,188738
2021-08-31,640.0,188680
2021-12-31,245.0,188594
2018-07-31,669.0,188909
2019-01-31,822.0,188896
2018-07-31,669.0,188909
2018-05-31,608.0,188912
2018-05-31,608.0,188912
2018-05-31,577.0,188912
2020-01-31,1187.0,188850
2017-11-30,395.0,188919
2019-03-31,881.0,188885
2019-09-30,1095.0,188865
2020-01-31,1187.0,188850
2018-01-31,457.0,188916
2020-01-31,1157.0,188850
2020-01-31,1157.0,188850
2020-02-29,1186.0,188849
2020-02-29,1186.0,188849
2019-02-28,243.0,188888
2020-02-29,335.0,188849
2020-01-31,245.0,188850
2022-02-28,304.0,188536
2017-11-30,334.0,188919
2019-08-31,973.0,188872
2019-10-31,1034.0,188859
2020-01-31,1157.0,188850
2018-08-31,608.0,188906
2019-10-31,1034.0,188859
2020-03-31,1155.0,188842
2018-12-31,640.0,188897
2018-08-31,549.0,188906
2020-01-31,1036.0,188850
2020-04-30,1157.0,188837
2019-07-31,852.0,188874
2017-11-30,244.0,188919
2020-11-30,1340.0,188792
2020-03-31,366.0,188842
2019-11-30,275.0,188853
2020-01-31,245.0,188850
2021-08-31,731.0,188680
2022-03-31,761.0,188474
2019-01-31,641.0,188896
2019-03-31,700.0,188885
2020-02-29,1035.0,188849
2020-02-29,1004.0,188849
2019-11-30,883.0,188853
2020-02-29,1004.0,188849
2018-10-31,518.0,188903
2019-07-31,761.0,188874
2020-01-31,518.0,188850
2022-03-31,974.0,188474
2022-03-31,943.0,188474
2022-01-31,854.0,188576
2021-04-30,547.0,188730
2022-03-31,304.0,188474
2019-05-31,669.0,188877
2019-01-31,488.0,188896
2020-02-29,851.0,188849
2019-08-31,669.0,188872
2019-07-31,669.0,188874
2021-04-30,731.0,188730
2019-08-31,92.0,188872
2021-09-30,731.0,188667
2022-02-28,821.0,188536
2019-09-30,699.0,188865
2019-09-30,699.0,188865
2019-10-31,761.0,188859
2019-04-30,546.0,188881
2019-11-30,730.0,188853
2019-09-30,638.0,188865
2020-08-31,974.0,188819
2020-02-29,547.0,188849
2021-02-28,821.0,188759
2020-10-31,701.0,188799
2022-03-31,943.0,188474
2022-04-30,334.0,188404
2022-02-28,912.0,188536
2021-04-30,547.0,188730
2022-02-28,821.0,188536
2021-12-31,214.0,188594
2022-04-30,365.0,188404
2019-10-31,700.0,188859
2019-07-31,546.0,188874
2020-03-31,790.0,188842
2019-11-30,365.0,188853
2020-02-29,335.0,188849
2021-03-31,670.0,188738
2022-04-30,1035.0,188404
2022-02-28,790.0,188536
2022-04-30,851.0,188404
2021-12-31,214.0,188594
2022-01-31,276.0,188576
2019-10-31,610.0,188859
2019-11-30,456.0,188853
2021-01-31,915.0,188773
2019-04-30,273.0,188881
2021-09-30,884.0,188667
2022-02-28,882.0,188536
2022-01-31,276.0,188576
2022-02-28,759.0,188536
2019-01-31,306.0,188896
2020-01-31,671.0,188850
2019-09-30,579.0,188865
2021-10-31,1310.0,188649
2021-10-31,1310.0,188649
2020-05-31,792.0,188833
2021-08-31,915.0,188680
2019-11-30,153.0,188853
2021-07-31,609.0,188702
2021-11-30,731.0,188622
2021-10-31,1310.0,188649
2019-05-31,396.0,188877
2021-09-30,1279.0,188667
2018-11-30,214.0,188900
2018-09-30,153.0,188904
2019-11-30,395.0,188853
2020-10-31,670.0,188799
2022-02-28,1155.0,188536
2021-03-31,821.0,188738
2019-11-30,334.0,188853
2021-07-31,943.0,188702
2020-06-30,396.0,188829
2022-02-28,974.0,188536
2021-03-31,640.0,188738
2022-01-31,854.0,188576
2021-03-31,517.0,188738
2022-03-31,304.0,188474
2022-04-30,304.0,188404
2021-07-31,1157.0,188702
2019-08-31,335.0,188872
2019-08-31,335.0,188872
2021-04-30,912.0,188730
2021-12-31,1037.0,188594
2022-03-31,974.0,188474
2022-03-31,882.0,188474
2022-04-30,851.0,188404
2019-01-31,92.0,188896
2021-01-31,550.0,188773
2021-02-28,547.0,188759
2022-02-28,304.0,188536
2019-05-31,365.0,188877
2019-09-30,487.0,188865
2020-03-31,456.0,188842
2022-03-31,1155.0,188474
2022-03-31,1155.0,188474
2021-02-28,731.0,188759
2021-04-30,731.0,188730
2021-05-31,639.0,188723
2021-05-31,670.0,188723
2022-01-31,854.0,188576
2022-04-30,912.0,188404
2022-04-30,181.0,188404
2022-02-28,151.0,188536
2022-03-31,182.0,188474
2022-04-30,273.0,188404
2022-01-31,215.0,188576
2022-03-31,243.0,188474
2021-12-31,153.0,188594
2021-12-31,184.0,188594
2022-03-31,212.0,188474
2022-04-30,607.0,188404
2022-03-31,547.0,188474
2022-03-31,212.0,188474
2022-01-31,184.0,188576
2022-03-31,304.0,188474
2022-02-28,546.0,188536
2022-04-30,242.0,188404
2022-01-31,184.0,188576
2022-01-31,215.0,188576
2021-10-31,123.0,188649
2022-01-31,215.0,188576
2022-04-30,242.0,188404
2022-01-31,184.0,188576
2022-03-31,243.0,188474
2022-04-30,304.0,188404
2021-12-31,153.0,188594
2021-11-30,122.0,188622
2022-01-31,215.0,188576
2022-01-31,215.0,188576
2021-11-30,456.0,188622
2022-03-31,304.0,188474
2022-01-31,427.0,188576
2022-01-31,365.0,188576
2021-08-31,578.0,188680
2022-03-31,365.0,188474
2022-02-28,334.0,188536
2022-02-28,485.0,188536
2020-11-30,244.0,188792
2022-01-31,306.0,188576
2022-02-28,365.0,188536
2022-03-31,304.0,188474
2022-02-28,546.0,188536
2022-02-28,546.0,188536
2022-01-31,396.0,188576
2022-04-30,485.0,188404
2021-11-30,395.0,188622
2021-11-30,395.0,188622
2020-10-31,274.0,188799
2022-04-30,426.0,188404
2022-02-28,516.0,188536
2021-09-30,334.0,188667
2022-04-30,485.0,188404
2022-04-30,454.0,188404
2021-12-31,334.0,188594
2022-03-31,396.0,188474
2021-07-31,304.0,188702
2021-07-31,304.0,188702
2021-11-30,640.0,188622
2020-11-30,275.0,188792
2021-07-31,304.0,188702
2021-05-31,243.0,188723
2021-08-31,212.0,188680
2020-11-30,244.0,188792
2020-11-30,275.0,188792
2022-01-31,306.0,188576
2022-01-31,306.0,188576
2021-07-31,304.0,188702
2021-11-30,365.0,188622
2021-01-31,92.0,188773
2021-11-30,365.0,188622
2022-02-28,455.0,188536
2022-04-30,454.0,188404
2022-02-28,365.0,188536
2022-04-30,820.0,188404
2022-01-31,306.0,188576
2022-04-30,395.0,188404
2022-04-30,395.0,188404
2022-04-30,395.0,188404
2021-10-31,518.0,188649
2020-11-30,275.0,188792
2020-11-30,275.0,188792
2022-02-28,730.0,188536
2022-01-31,671.0,188576
2021-02-28,243.0,188759
2022-01-31,396.0,188576
2021-09-30,548.0,188667
2022-01-31,610.0,188576
2021-05-31,335.0,188723
2022-04-30,577.0,188404
2022-04-30,577.0,188404
2022-04-30,546.0,188404
2022-01-31,427.0,188576
2021-06-30,122.0,188713
2020-11-30,275.0,188792
2020-11-30,275.0,188792
2021-12-31,245.0,188594
2021-11-30,548.0,188622
2022-04-30,607.0,188404
2022-01-31,396.0,188576
2022-03-31,396.0,188474
2015-08-31,1187.0,188938
2022-04-30,577.0,188404
2021-11-30,426.0,188622
