DefaultDate,TimeToDefault,NumberOfCredits
2022-04-30,1870.0,109226
2022-02-28,1179.0,114937
2021-10-26,1201.0,115067
2021-12-10,655.0,115050
2022-01-31,1861.0,115014
2022-03-01,762.0,114777
2022-02-28,525.0,114937
2022-03-31,398.0,113482
2022-04-21,279.0,109772
2022-03-31,255.0,113482
2022-02-28,1902.0,114937
2021-12-31,1495.0,115036
2022-01-31,1140.0,115014
2022-03-31,1983.0,113482
2022-03-31,743.0,113482
2021-11-16,951.0,115057
2021-12-17,979.0,115036
2022-04-30,900.0,109226
2022-04-30,1867.0,109226
2022-04-30,766.0,109226
2022-03-09,379.0,114777
2022-04-30,1871.0,109226
2022-04-25,242.0,109603
2022-03-31,2527.0,113482
2022-01-31,1872.0,115014
2022-04-30,1895.0,109226
2022-02-28,1504.0,114937
2021-10-25,1174.0,115067
2022-02-28,1230.0,114937
2022-04-30,1522.0,109226
2022-04-30,1145.0,109226
2022-03-31,391.0,113482
2022-04-30,326.0,109226
2022-02-28,753.0,114937
2022-02-21,714.0,114937
2021-12-17,646.0,115036
2022-04-30,401.0,109226
2022-03-31,364.0,113482
2022-03-31,1554.0,113482
2022-03-28,1431.0,113482
2022-03-17,2372.0,113482
2022-02-28,1896.0,114937
2022-04-30,1263.0,109226
2022-03-31,1149.0,113482
2022-04-28,822.0,109351
2022-04-22,409.0,109687
2022-01-26,167.0,115014
2022-02-28,1872.0,114937
2022-03-31,365.0,113482
2022-02-09,839.0,114996
2022-03-31,1115.0,113482
2021-11-30,1845.0,115057
2022-04-30,1499.0,109226
2022-03-31,1424.0,113482
2022-02-28,1042.0,114937
2022-01-31,676.0,115014
2022-01-17,503.0,115014
2021-12-31,1148.0,115036
2022-03-31,696.0,113482
2022-02-01,217.0,114996
2021-12-31,1876.0,115036
2022-03-04,252.0,114777
2022-03-02,1687.0,114777
2022-03-31,1480.0,113482
2021-11-03,1279.0,115063
2022-04-30,1493.0,109226
2022-01-28,1029.0,115014
2022-01-26,576.0,115014
2022-03-17,815.0,113482
2022-02-10,703.0,114996
2022-04-20,230.0,109868
2022-01-31,1119.0,115014
2022-02-16,1190.0,114937
2022-04-26,1336.0,109503
2021-11-30,1126.0,115057
2022-03-31,1176.0,113482
2021-10-26,917.0,115067
2022-03-31,1154.0,113482
2022-03-23,420.0,113482
2022-02-07,704.0,114996
2021-10-21,447.0,115067
2022-02-28,1509.0,114937
2022-04-30,277.0,109226
2022-02-24,1178.0,114937
2022-02-28,504.0,114937
2022-04-30,886.0,109226
2022-03-31,617.0,113482
2022-01-31,444.0,115014
2022-02-28,248.0,114937
2021-12-31,1498.0,115036
2022-02-28,1859.0,114937
2022-02-28,1860.0,114937
2022-03-10,1239.0,114777
2022-03-31,1144.0,113482
2022-02-28,959.0,114937
2022-03-31,542.0,113482
