DefaultDate,TimeToDefault,NumberOfCredits
2021-12-31,945.0,103532
2021-03-31,1551.0,103820
2020-12-31,1006.0,103897
2021-04-30,912.0,103801
2022-02-28,1124.0,103405
2021-06-30,1187.0,103741
2020-11-30,914.0,103909
2021-06-30,1399.0,103741
2021-07-31,792.0,103715
2021-08-31,854.0,103675
2021-07-31,700.0,103715
2021-07-31,823.0,103715
2021-12-31,1065.0,103532
2021-09-30,1310.0,103639
2021-03-31,882.0,103820
2021-06-30,731.0,103741
2021-02-28,759.0,103853
2021-08-31,1370.0,103675
2021-06-30,973.0,103741
2020-08-31,640.0,103919
2021-02-28,517.0,103853
2022-03-31,1551.0,103332
2021-10-31,915.0,103600
2021-03-31,974.0,103820
2022-02-28,2130.0,103405
2021-05-31,1188.0,103772
2021-05-31,701.0,103772
2020-11-30,1096.0,103909
2021-02-28,882.0,103853
2020-09-30,731.0,103919
2021-06-30,853.0,103741
2020-11-30,1006.0,103909
2021-06-30,761.0,103741
2021-01-31,884.0,103874
2022-01-31,1372.0,103462
2022-02-28,1124.0,103405
2021-11-30,1065.0,103574
2021-11-30,1034.0,103574
2021-05-31,670.0,103772
2021-02-28,517.0,103853
2020-07-31,884.0,103919
2021-03-31,701.0,103820
2020-11-30,914.0,103909
2021-02-28,759.0,103853
2021-08-31,1308.0,103675
2021-06-30,1277.0,103741
2020-12-31,580.0,103897
2020-08-31,823.0,103919
2022-03-31,1431.0,103332
2021-10-31,884.0,103600
2022-03-31,1005.0,103332
2020-10-31,915.0,103919
2020-07-31,700.0,103919
2021-04-30,700.0,103801
2022-02-28,1004.0,103405
2021-03-31,548.0,103820
2021-07-31,1035.0,103715
2021-02-28,547.0,103853
2022-03-31,1339.0,103332
2021-10-31,1066.0,103600
2021-07-31,762.0,103715
2021-09-30,884.0,103639
2020-08-31,578.0,103919
2021-01-31,489.0,103874
2021-04-30,943.0,103801
2021-05-31,1247.0,103772
2020-10-31,489.0,103919
2020-12-31,945.0,103897
2021-09-30,1188.0,103639
2021-08-31,943.0,103675
2021-06-30,792.0,103741
2020-09-30,396.0,103919
2022-02-28,943.0,103405
2021-11-30,884.0,103574
2021-02-28,1004.0,103853
2021-08-31,823.0,103675
2021-08-31,915.0,103675
2020-08-31,1005.0,103919
2021-06-30,761.0,103741
2020-10-31,611.0,103919
2020-07-31,366.0,103919
2022-01-31,1280.0,103462
2020-10-31,823.0,103919
2021-05-31,851.0,103772
2020-07-31,519.0,103919
2021-06-30,1673.0,103741
2021-03-31,974.0,103820
2021-02-28,974.0,103853
2021-08-31,1308.0,103675
2021-09-30,792.0,103639
2020-10-31,1066.0,103919
2020-12-31,611.0,103897
2021-12-31,1310.0,103532
2021-12-31,884.0,103532
2021-10-31,792.0,103600
2020-11-30,1218.0,103909
2021-01-31,946.0,103874
2021-01-31,1068.0,103874
2021-03-31,1066.0,103820
2021-03-31,1217.0,103820
2021-05-31,943.0,103772
2021-06-30,1004.0,103741
2022-03-31,1186.0,103332
2020-08-31,793.0,103919
2021-11-30,1218.0,103574
2021-06-30,1034.0,103741
2021-08-31,1096.0,103675
2021-11-30,1157.0,103574
2021-06-30,792.0,103741
2021-07-31,1035.0,103715
2022-03-31,1339.0,103332
2021-03-31,974.0,103820
2021-10-31,1157.0,103600
2021-12-31,1310.0,103532
2020-07-31,639.0,103919
2021-08-31,762.0,103675
2021-10-31,762.0,103600
2021-09-30,1157.0,103639
2021-02-28,821.0,103853
2021-11-30,945.0,103574
2021-09-30,823.0,103639
2022-02-28,1704.0,103405
2021-04-30,882.0,103801
2022-01-31,1127.0,103462
2021-10-31,823.0,103600
2020-12-31,1096.0,103897
2021-06-30,761.0,103741
2022-01-31,1127.0,103462
2021-08-31,915.0,103675
2021-04-30,943.0,103801
2022-02-28,1186.0,103405
2021-04-30,851.0,103801
2020-09-30,396.0,103919
2021-01-31,1007.0,103874
2021-04-30,1126.0,103801
2021-08-31,793.0,103675
2021-03-31,943.0,103820
2020-05-31,609.0,103919
2021-09-30,973.0,103639
2021-10-31,762.0,103600
2021-04-30,1247.0,103801
2020-10-31,792.0,103919
2022-03-31,1612.0,103332
2021-06-30,943.0,103741
2021-08-31,701.0,103675
2021-01-31,1311.0,103874
2021-03-31,1217.0,103820
2020-12-31,550.0,103897
2022-02-28,1339.0,103405
2021-05-31,1004.0,103772
2020-09-30,427.0,103919
