DefaultDate,TimeToDefault,NumberOfCredits
2021-03-31,548.0,433445
2021-08-31,701.0,431942
2022-04-30,943.0,428471
2021-07-31,700.0,432224
2021-07-31,609.0,432224
2021-08-31,793.0,431942
2021-08-31,762.0,431942
2021-11-30,669.0,430972
2022-01-31,731.0,430454
2021-09-30,608.0,431645
2022-02-28,790.0,430151
2021-09-30,639.0,431645
2021-11-30,731.0,430972
2020-09-30,274.0,435141
2021-09-30,670.0,431645
2021-09-30,639.0,431645
2022-03-31,882.0,429712
2020-09-30,335.0,435141
2021-09-30,670.0,431645
2021-04-30,547.0,433124
2022-04-30,943.0,428471
2021-10-31,762.0,431306
2021-04-30,578.0,433124
2021-11-30,792.0,430972
2021-09-30,731.0,431645
2021-11-30,822.0,430972
2021-06-30,639.0,432511
2020-11-30,488.0,434591
2021-08-31,823.0,431942
2022-03-31,1005.0,429712
2021-03-31,640.0,433445
2020-09-30,519.0,435141
2020-09-30,427.0,435141
2021-02-28,609.0,433740
2021-02-28,639.0,433740
2021-02-28,700.0,433740
2021-04-30,792.0,433124
2021-09-30,639.0,431645
2021-08-31,640.0,431942
2020-05-31,152.0,435859
2021-04-30,517.0,433124
2021-02-28,456.0,433740
2021-03-31,517.0,433445
2020-08-31,305.0,435336
2020-07-31,274.0,435506
2021-02-28,670.0,433740
2021-06-30,761.0,432511
2021-07-31,609.0,432224
2021-01-31,428.0,433983
2021-06-30,578.0,432511
2021-12-31,792.0,430728
2021-09-30,670.0,431645
2020-09-30,335.0,435141
2021-11-30,761.0,430972
2021-03-31,517.0,433445
2021-09-30,700.0,431645
2021-03-31,548.0,433445
2021-03-31,852.0,433445
2020-08-31,336.0,435336
2021-07-31,792.0,432224
2021-12-31,945.0,430728
2021-03-31,548.0,433445
2021-03-31,517.0,433445
2021-07-31,609.0,432224
2021-07-31,670.0,432224
2021-11-30,822.0,430972
2021-04-30,639.0,433124
2021-07-31,884.0,432224
2020-12-31,915.0,434323
2021-12-31,884.0,430728
2021-06-30,700.0,432511
2021-07-31,853.0,432224
2020-07-31,305.0,435506
2021-06-30,608.0,432511
2020-07-31,274.0,435506
2021-07-31,639.0,432224
2020-10-31,366.0,434901
2020-08-31,305.0,435336
2022-03-31,913.0,429712
2022-03-31,913.0,429712
2021-07-31,670.0,432224
2022-03-31,913.0,429712
2020-08-31,305.0,435336
2022-02-28,882.0,430151
2021-10-31,1461.0,431306
2021-09-30,731.0,431645
2020-03-31,183.0,436186
2021-08-31,731.0,431942
2022-03-31,913.0,429712
2021-04-30,670.0,433124
2020-03-31,244.0,436186
2020-07-31,427.0,435506
2022-04-30,1065.0,428471
2021-05-31,731.0,432741
2021-03-31,670.0,433445
2020-07-31,305.0,435506
2021-09-30,761.0,431645
2021-12-31,853.0,430728
2020-08-31,336.0,435336
2022-02-28,882.0,430151
2022-02-28,882.0,430151
2021-03-31,548.0,433445
2021-12-31,823.0,430728
2021-03-31,548.0,433445
2021-09-30,731.0,431645
2021-03-31,548.0,433445
2020-09-30,366.0,435141
2021-08-31,701.0,431942
2020-02-29,182.0,436317
2021-07-31,670.0,432224
2020-07-31,305.0,435506
2020-11-30,427.0,434591
2021-11-30,822.0,430972
2021-02-28,517.0,433740
2020-08-31,336.0,435336
2020-06-30,304.0,435673
2021-10-31,792.0,431306
2020-11-30,488.0,434591
2020-03-31,244.0,436186
2021-10-31,823.0,431306
2020-08-31,366.0,435336
2021-08-31,762.0,431942
2021-09-30,792.0,431645
2020-08-31,428.0,435336
2021-04-30,670.0,433124
2020-07-31,397.0,435506
2022-01-31,946.0,430454
2022-02-28,943.0,430151
2021-08-31,823.0,431942
2020-11-30,549.0,434591
2021-08-31,823.0,431942
2020-09-30,488.0,435141
2020-08-31,458.0,435336
2020-02-29,274.0,436317
2022-02-28,1065.0,430151
2021-09-30,853.0,431645
2021-07-31,792.0,432224
2020-10-31,519.0,434901
2021-10-31,823.0,431306
2022-04-30,1065.0,428471
2022-01-31,976.0,430454
2020-08-31,550.0,435336
2022-04-30,1126.0,428471
2021-09-30,884.0,431645
2021-10-31,884.0,431306
2020-07-31,547.0,435506
2021-09-30,973.0,431645
2020-01-31,153.0,436469
2021-03-31,609.0,433445
2019-12-31,153.0,436623
2021-02-28,547.0,433740
2021-12-31,853.0,430728
2020-08-31,366.0,435336
2021-06-30,669.0,432511
2020-09-30,396.0,435141
2022-02-28,912.0,430151
2022-02-28,912.0,430151
2021-04-30,608.0,433124
2020-10-31,427.0,434901
2020-03-31,213.0,436186
2020-02-29,182.0,436317
2020-08-31,366.0,435336
2022-01-31,884.0,430454
2020-08-31,366.0,435336
2020-10-31,427.0,434901
2022-02-28,912.0,430151
2022-04-30,1004.0,428471
2020-08-31,397.0,435336
2020-07-31,366.0,435506
2022-02-28,943.0,430151
2022-02-28,943.0,430151
2020-08-31,397.0,435336
2022-04-30,1004.0,428471
2020-02-29,213.0,436317
2020-03-31,244.0,436186
2020-11-30,457.0,434591
2021-12-31,884.0,430728
2021-08-31,762.0,431942
2021-06-30,700.0,432511
2021-12-31,884.0,430728
2022-01-31,915.0,430454
2020-09-30,427.0,435141
2021-03-31,578.0,433445
2021-11-30,853.0,430972
2020-08-31,397.0,435336
2021-01-31,550.0,433983
2021-06-30,731.0,432511
2020-09-30,427.0,435141
2021-01-31,550.0,433983
2021-04-30,639.0,433124
2021-08-31,731.0,431942
2021-09-30,823.0,431645
2020-01-31,215.0,436469
2022-01-31,915.0,430454
2022-02-28,974.0,430151
2021-07-31,762.0,432224
2021-01-31,550.0,433983
2021-09-30,792.0,431645
2020-09-30,458.0,435141
2020-02-29,244.0,436317
2021-03-31,640.0,433445
2021-07-31,762.0,432224
2022-04-30,1035.0,428471
2021-10-31,854.0,431306
2021-05-31,701.0,432741
2022-02-28,974.0,430151
2020-08-31,428.0,435336
2021-04-30,670.0,433124
2021-08-31,823.0,431942
2021-08-31,793.0,431942
2020-09-30,458.0,435141
2021-07-31,700.0,432224
2021-10-31,884.0,431306
2021-10-31,884.0,431306
2021-04-30,700.0,433124
2021-12-31,945.0,430728
2021-11-30,914.0,430972
2022-02-28,1004.0,430151
2021-06-30,761.0,432511
2020-07-31,427.0,435506
2021-07-31,792.0,432224
2021-02-28,670.0,433740
2020-10-31,489.0,434901
2021-03-31,670.0,433445
2020-08-31,489.0,435336
2021-08-31,793.0,431942
2021-10-31,915.0,431306
2022-02-28,1035.0,430151
2021-07-31,823.0,432224
2021-07-31,823.0,432224
2021-12-31,853.0,430728
2020-08-31,489.0,435336
2022-02-28,1035.0,430151
2020-02-29,305.0,436317
2021-09-30,884.0,431645
2021-09-30,884.0,431645
2020-07-31,458.0,435506
2021-03-31,731.0,433445
2021-07-31,853.0,432224
2020-08-31,458.0,435336
2021-11-30,975.0,430972
2020-01-31,245.0,436469
2020-08-31,519.0,435336
2020-08-31,519.0,435336
2020-01-31,306.0,436469
2021-04-30,761.0,433124
2020-06-30,396.0,435673
2019-12-31,245.0,436623
2022-04-30,1277.0,428471
2019-12-31,487.0,436623
2021-09-30,1065.0,431645
2021-03-31,1339.0,433445
2022-02-28,1096.0,430151
2020-07-31,366.0,435506
2021-04-30,639.0,433124
2021-06-30,700.0,432511
2021-03-31,609.0,433445
2019-10-31,92.0,437041
2021-05-31,670.0,432741
2020-01-31,215.0,436469
2021-01-31,581.0,433983
2020-11-30,519.0,434591
2019-10-31,92.0,437041
2021-10-31,854.0,431306
2021-12-31,915.0,430728
2021-06-30,761.0,432511
2020-11-30,519.0,434591
2022-01-31,976.0,430454
2022-02-28,1004.0,430151
2021-01-31,611.0,433983
2021-09-30,823.0,431645
2019-12-31,214.0,436623
2021-08-31,823.0,431942
2021-03-31,670.0,433445
2021-04-30,761.0,433124
2020-08-31,489.0,435336
2021-10-31,915.0,431306
2021-04-30,731.0,433124
2021-09-30,884.0,431645
2020-07-31,488.0,435506
2020-10-31,580.0,434901
2020-10-31,580.0,434901
2022-01-31,1096.0,430454
2021-08-31,915.0,431942
2021-05-31,851.0,432741
2021-08-31,793.0,431942
2021-01-31,581.0,433983
2019-12-31,184.0,436623
2021-04-30,700.0,433124
2021-02-28,609.0,433740
2020-08-31,428.0,435336
2020-08-31,458.0,435336
2020-10-31,489.0,434901
2021-06-30,761.0,432511
2020-11-30,549.0,434591
2021-01-31,458.0,433983
2022-04-30,912.0,428471
2021-01-31,672.0,433983
2021-03-31,731.0,433445
2021-03-31,640.0,433445
2019-12-31,245.0,436623
2021-05-31,762.0,432741
2020-07-31,488.0,435506
2020-07-31,488.0,435506
2020-08-31,550.0,435336
2020-07-31,427.0,435506
2020-03-31,548.0,436186
2021-05-31,731.0,432741
2020-11-30,669.0,434591
2022-01-31,1249.0,430454
2022-01-31,976.0,430454
2021-07-31,823.0,432224
2021-08-31,823.0,431942
2020-07-31,427.0,435506
2022-02-28,1004.0,430151
2022-03-31,1066.0,429712
2019-11-30,214.0,436803
2022-02-28,1035.0,430151
2020-01-31,276.0,436469
2021-10-31,915.0,431306
2021-02-28,639.0,433740
2020-01-31,245.0,436469
2021-12-31,976.0,430728
2020-08-31,489.0,435336
2020-07-31,458.0,435506
2022-02-28,1065.0,430151
2020-12-31,672.0,434323
2020-03-31,366.0,436186
2022-01-31,1068.0,430454
2022-03-31,1127.0,429712
