DefaultDate,TimeToDefault,NumberOfCredits
2021-01-31,356.0,83372
2020-08-31,364.0,86334
2021-01-31,657.0,83372
2021-01-31,443.0,83372
2021-12-31,662.0,73299
2021-09-30,897.0,76388
2021-03-31,505.0,81712
2020-12-31,374.0,83957
2020-09-30,202.0,85704
2021-11-30,642.0,74367
2022-01-31,753.0,72319
2021-02-28,454.0,82651
2021-03-31,625.0,81712
2022-02-28,864.0,71204
2021-12-31,1011.0,73299
2021-01-31,374.0,83372
2020-09-30,362.0,85704
2021-12-31,798.0,73299
2022-02-28,713.0,71204
2020-11-30,263.0,84546
2020-12-31,861.0,83957
2020-08-31,489.0,86334
2021-06-30,616.0,79270
2021-08-31,524.0,77460
2021-06-30,590.0,79270
2021-01-31,507.0,83372
2020-12-31,539.0,83957
2022-01-31,747.0,72319
2022-01-31,781.0,72319
2021-01-31,613.0,83372
2020-11-30,454.0,84546
2021-10-31,657.0,75309
2022-03-31,958.0,69942
2021-07-31,647.0,78388
2021-03-31,616.0,81712
2021-03-31,407.0,81712
2020-09-30,470.0,85704
2021-04-30,483.0,80897
2021-06-30,672.0,79270
2021-11-30,844.0,74367
2020-12-31,308.0,83957
2021-05-31,1183.0,80139
2021-01-31,1199.0,83372
2020-09-30,433.0,85704
2020-11-30,642.0,84546
2020-11-30,572.0,84546
2021-03-31,602.0,81712
2021-10-31,618.0,75309
2021-04-30,674.0,80897
2021-06-30,989.0,79270
2020-12-31,430.0,83957
2021-10-31,891.0,75309
2020-12-31,644.0,83957
2022-02-28,769.0,71204
2021-10-31,948.0,75309
2022-02-28,798.0,71204
2021-02-28,481.0,82651
2021-08-31,718.0,77460
2021-04-30,414.0,80897
2021-09-30,972.0,76388
2021-02-28,576.0,82651
2020-08-31,378.0,86334
2021-07-31,785.0,78388
2020-09-30,456.0,85704
2021-01-31,375.0,83372
2020-12-31,1088.0,83957
2021-09-30,1098.0,76388
2022-03-31,849.0,69942
2020-08-31,507.0,86334
2021-02-28,347.0,82651
2021-05-31,560.0,80139
2021-07-31,498.0,78388
2022-02-28,1382.0,71204
2021-05-31,453.0,80139
2020-09-30,232.0,85704
2021-01-31,464.0,83372
2021-10-31,786.0,75309
2021-01-31,969.0,83372
2022-01-31,854.0,72319
2021-04-30,639.0,80897
2021-02-28,501.0,82651
2021-11-30,1225.0,74367
2021-08-31,701.0,77460
2021-08-31,827.0,77460
2020-12-31,377.0,83957
2021-04-30,556.0,80897
2021-05-31,769.0,80139
2021-08-31,944.0,77460
2020-08-31,194.0,86334
2020-10-31,738.0,85114
2021-01-31,706.0,83372
2020-11-30,480.0,84546
2021-09-30,787.0,76388
2021-11-30,782.0,74367
2021-09-30,966.0,76388
