DefaultDate,TimeToDefault,NumberOfCredits
2022-01-31,549.0,95601
2021-11-30,395.0,95632
2021-07-31,243.0,95728
2021-09-30,426.0,95682
2021-12-31,731.0,95615
2021-12-31,1065.0,95615
2021-09-30,426.0,95682
2022-03-31,852.0,95511
2021-12-31,396.0,95615
2021-12-31,731.0,95615
2021-08-31,365.0,95705
2022-02-28,485.0,95551
2021-05-31,212.0,95769
2022-02-28,516.0,95551
2021-12-31,426.0,95615
2021-11-30,365.0,95632
2021-12-31,457.0,95615
2021-01-31,153.0,95868
2021-07-31,334.0,95728
2021-09-30,395.0,95682
2021-12-31,823.0,95615
2021-12-31,823.0,95615
2021-12-31,426.0,95615
2021-10-31,396.0,95658
2021-10-31,426.0,95658
2021-07-31,365.0,95728
2021-12-31,426.0,95615
2021-11-30,426.0,95632
2022-02-28,608.0,95551
2021-12-31,731.0,95615
2022-01-31,457.0,95601
2022-01-31,427.0,95601
2021-12-31,762.0,95615
2021-04-30,181.0,95786
2021-07-31,396.0,95728
2022-01-31,610.0,95601
2022-02-28,669.0,95551
2022-01-31,488.0,95601
2022-02-28,516.0,95551
2021-12-31,396.0,95615
2022-02-28,485.0,95551
2022-03-31,639.0,95511
2021-06-30,303.0,95754
2022-03-31,547.0,95511
2021-07-31,365.0,95728
2022-03-31,547.0,95511
2021-05-31,365.0,95769
2021-05-31,151.0,95769
2022-03-31,608.0,95511
2022-03-31,547.0,95511
2021-12-31,426.0,95615
2022-02-28,516.0,95551
2021-12-31,1065.0,95615
2022-02-28,730.0,95551
2022-03-31,577.0,95511
2022-03-31,608.0,95511
2022-02-28,455.0,95551
2022-02-28,516.0,95551
2021-12-31,426.0,95615
2021-10-31,457.0,95658
2022-03-31,486.0,95511
2022-03-31,547.0,95511
2021-01-31,245.0,95868
2021-07-31,334.0,95728
2022-01-31,610.0,95601
2021-08-31,884.0,95705
2021-12-31,426.0,95615
2022-02-28,485.0,95551
2022-02-28,485.0,95551
2022-03-31,486.0,95511
2021-05-31,182.0,95769
2022-03-31,1066.0,95511
2022-03-31,486.0,95511
2022-02-28,181.0,95551
2022-01-31,365.0,95601
2021-11-30,1249.0,95632
2022-02-28,151.0,95551
2022-03-31,639.0,95511
2022-02-28,212.0,95551
2022-03-31,396.0,95511
2022-03-31,396.0,95511
2022-02-28,577.0,95551
2021-12-31,823.0,95615
2022-02-28,546.0,95551
2022-03-31,608.0,95511
2022-03-31,304.0,95511
2021-09-30,365.0,95682
2021-11-30,426.0,95632
2022-03-31,151.0,95511
2022-02-28,393.0,95551
2022-03-31,396.0,95511
2022-03-31,577.0,95511
2021-12-31,792.0,95615
2022-03-31,335.0,95511
2021-06-30,365.0,95754
2022-01-31,549.0,95601
2021-08-31,488.0,95705
2021-08-31,488.0,95705
2021-12-31,731.0,95615
2021-10-31,488.0,95658
2021-02-28,304.0,95810
2022-03-31,274.0,95511
2022-01-31,306.0,95601
2022-03-31,790.0,95511
2021-11-30,609.0,95632
2021-02-28,394.0,95810
2022-02-28,669.0,95551
2022-03-31,761.0,95511
2021-11-30,518.0,95632
2021-11-30,518.0,95632
2022-03-31,852.0,95511
2021-07-31,547.0,95728
2022-03-31,243.0,95511
2022-02-28,243.0,95551
2022-02-28,455.0,95551
2021-04-30,304.0,95786
2021-07-31,365.0,95728
2021-11-30,153.0,95632
2022-03-31,274.0,95511
2021-11-30,579.0,95632
2021-12-31,853.0,95615
2021-04-30,395.0,95786
2022-01-31,580.0,95601
2022-03-31,608.0,95511
2021-08-31,457.0,95705
2022-02-28,669.0,95551
2021-10-31,488.0,95658
2021-06-30,669.0,95754
2021-04-30,426.0,95786
2022-03-31,669.0,95511
2022-03-31,396.0,95511
2022-02-28,759.0,95551
2022-02-28,424.0,95551
2022-03-31,274.0,95511
2021-12-31,184.0,95615
2022-01-31,365.0,95601
2021-11-30,122.0,95632
2021-04-30,395.0,95786
2021-12-31,731.0,95615
2022-03-31,821.0,95511
2021-06-30,426.0,95754
2021-09-30,92.0,95682
2022-02-28,243.0,95551
2021-11-30,275.0,95632
2021-05-31,365.0,95769
2021-06-30,426.0,95754
2022-03-31,365.0,95511
2022-03-31,730.0,95511
2021-07-31,457.0,95728
2021-12-31,731.0,95615
2022-02-28,730.0,95551
2021-12-31,762.0,95615
2021-11-30,609.0,95632
2020-11-30,1034.0,95982
2020-11-30,884.0,95982
2022-03-31,1035.0,95511
2021-12-31,853.0,95615
2022-01-31,884.0,95601
2021-11-30,822.0,95632
2020-11-30,1034.0,95982
2021-11-30,792.0,95632
2021-11-30,275.0,95632
2022-03-31,943.0,95511
2021-09-30,334.0,95682
2022-02-28,365.0,95551
2021-12-31,426.0,95615
2020-11-30,304.0,95982
2022-03-31,455.0,95511
2021-02-28,700.0,95810
2022-03-31,790.0,95511
2022-03-31,790.0,95511
2021-07-31,487.0,95728
2021-10-31,579.0,95658
2021-10-31,426.0,95658
2022-03-31,608.0,95511
2021-12-31,365.0,95615
2022-03-31,761.0,95511
2022-03-31,882.0,95511
2020-11-30,945.0,95982
2020-11-30,1034.0,95982
2022-02-28,821.0,95551
2022-03-31,761.0,95511
2022-02-28,759.0,95551
2021-04-30,1126.0,95786
2022-03-31,424.0,95511
2022-03-31,790.0,95511
2022-03-31,852.0,95511
2022-03-31,365.0,95511
2022-01-31,1007.0,95601
2022-03-31,424.0,95511
2021-12-31,853.0,95615
2022-02-28,1035.0,95551
2021-04-30,426.0,95786
2021-11-30,731.0,95632
2022-03-31,761.0,95511
2022-02-28,882.0,95551
2022-01-31,731.0,95601
2021-12-31,396.0,95615
2022-03-31,365.0,95511
2022-03-31,943.0,95511
2022-03-31,790.0,95511
2022-03-31,852.0,95511
2021-03-31,396.0,95796
2021-12-31,1065.0,95615
2022-01-31,731.0,95601
2021-11-30,303.0,95632
2022-01-31,731.0,95601
2021-11-30,640.0,95632
2022-03-31,396.0,95511
2022-03-31,486.0,95511
2021-11-30,303.0,95632
2022-03-31,730.0,95511
2022-02-28,699.0,95551
2021-12-31,731.0,95615
2021-11-30,792.0,95632
2021-07-31,639.0,95728
2022-01-31,702.0,95601
2022-03-31,365.0,95511
2022-01-31,731.0,95601
2021-12-31,853.0,95615
2022-02-28,730.0,95551
2021-11-30,761.0,95632
2022-03-31,790.0,95511
2022-02-28,759.0,95551
2022-01-31,731.0,95601
2020-11-30,1034.0,95982
2022-02-28,455.0,95551
2022-01-31,731.0,95601
2022-03-31,790.0,95511
2020-11-30,1796.0,95982
2021-03-31,1339.0,95796
2021-10-31,792.0,95658
2021-11-30,365.0,95632
2022-03-31,790.0,95511
2022-01-31,884.0,95601
2021-12-31,792.0,95615
2022-02-28,882.0,95551
2022-02-28,943.0,95551
2022-03-31,1035.0,95511
2021-11-30,395.0,95632
2021-05-31,182.0,95769
2020-11-30,731.0,95982
2022-02-28,393.0,95551
2021-11-30,395.0,95632
2021-12-31,396.0,95615
2021-12-31,731.0,95615
2021-12-31,365.0,95615
2021-12-31,365.0,95615
2021-08-31,274.0,95705
2021-11-30,395.0,95632
2020-06-30,243.0,96215
2022-01-31,793.0,95601
2022-03-31,882.0,95511
2021-05-31,182.0,95769
2021-09-30,395.0,95682
2021-05-31,182.0,95769
2021-12-31,396.0,95615
2021-07-31,547.0,95728
2021-01-31,428.0,95868
2021-12-31,792.0,95615
2021-03-31,396.0,95796
2022-01-31,731.0,95601
2021-12-31,396.0,95615
2022-01-31,427.0,95601
2021-10-31,426.0,95658
2021-11-30,426.0,95632
2021-12-31,792.0,95615
2021-12-31,1249.0,95615
2022-01-31,731.0,95601
2021-10-31,426.0,95658
2022-02-28,455.0,95551
2021-12-31,853.0,95615
2022-03-31,852.0,95511
2022-02-28,516.0,95551
2020-09-30,366.0,96072
2022-02-28,759.0,95551
2021-12-31,731.0,95615
2021-12-31,731.0,95615
2022-01-31,823.0,95601
2022-01-31,762.0,95601
2022-03-31,790.0,95511
2021-05-31,92.0,95769
2021-12-31,915.0,95615
2021-12-31,731.0,95615
2022-03-31,943.0,95511
2021-06-30,395.0,95754
2021-07-31,396.0,95728
2021-10-31,365.0,95658
2022-03-31,821.0,95511
2020-11-30,1034.0,95982
2022-01-31,884.0,95601
2021-01-31,489.0,95868
2021-11-30,303.0,95632
2021-12-31,731.0,95615
2021-08-31,365.0,95705
2022-01-31,427.0,95601
2022-02-28,485.0,95551
2021-12-31,762.0,95615
2021-09-30,639.0,95682
2022-01-31,610.0,95601
2022-01-31,427.0,95601
2020-11-30,396.0,95982
2021-12-31,518.0,95615
2021-12-31,306.0,95615
2022-01-31,365.0,95601
2021-12-31,334.0,95615
2022-02-28,455.0,95551
2021-11-30,792.0,95632
2020-06-30,182.0,96215
2021-06-30,792.0,95754
2021-04-30,761.0,95786
2019-11-30,214.0,96352
2021-11-30,1096.0,95632
2021-06-30,792.0,95754
2022-03-31,1096.0,95511
2022-02-28,943.0,95551
2021-06-30,761.0,95754
2022-01-31,1068.0,95601
2021-04-30,1308.0,95786
2022-03-31,1155.0,95511
2022-02-28,1124.0,95551
2021-12-31,1065.0,95615
2021-07-31,762.0,95728
2021-12-31,853.0,95615
2021-09-30,792.0,95682
2021-12-31,853.0,95615
2022-02-28,882.0,95551
2021-10-31,1066.0,95658
2022-02-28,1186.0,95551
2021-06-30,853.0,95754
2020-11-30,549.0,95982
2021-12-31,823.0,95615
2021-12-31,884.0,95615
2022-01-31,1068.0,95601
2022-03-31,1127.0,95511
2022-01-31,1007.0,95601
2021-12-31,1065.0,95615
2021-04-30,670.0,95786
2022-02-28,943.0,95551
2021-12-31,731.0,95615
2020-11-30,457.0,95982
2022-03-31,1096.0,95511
2022-01-31,1158.0,95601
2021-10-31,1249.0,95658
2021-12-31,1127.0,95615
2021-12-31,1065.0,95615
2021-09-30,853.0,95682
2021-12-31,853.0,95615
2021-12-31,1065.0,95615
2021-12-31,1065.0,95615
2020-11-30,610.0,95982
2022-01-31,976.0,95601
2020-11-30,488.0,95982
2021-10-31,823.0,95658
2021-09-30,945.0,95682
2021-05-31,1066.0,95769
2020-11-30,580.0,95982
2021-05-31,731.0,95769
2021-11-30,914.0,95632
2020-11-30,457.0,95982
2020-06-30,608.0,96215
2022-02-28,974.0,95551
2022-01-31,915.0,95601
2020-05-31,336.0,96253
2021-12-31,1037.0,95615
2022-02-28,1124.0,95551
2021-10-31,945.0,95658
2021-04-30,731.0,95786
2022-02-28,1065.0,95551
2021-07-31,823.0,95728
2021-03-31,701.0,95796
2021-02-28,731.0,95810
2022-03-31,1066.0,95511
2021-06-30,731.0,95754
2022-01-31,946.0,95601
2021-05-31,1066.0,95769
2021-04-30,820.0,95786
2022-03-31,1066.0,95511
2021-07-31,912.0,95728
2020-11-30,488.0,95982
2021-06-30,761.0,95754
2022-01-31,1188.0,95601
2021-11-30,1096.0,95632
2022-02-28,943.0,95551
2022-02-28,1186.0,95551
2021-12-31,853.0,95615
2021-02-28,700.0,95810
2021-04-30,700.0,95786
2021-11-30,914.0,95632
2020-11-30,549.0,95982
2020-11-30,488.0,95982
2020-11-30,457.0,95982
2021-05-31,792.0,95769
2021-11-30,1006.0,95632
2019-08-31,123.0,96374
2021-11-30,914.0,95632
2021-04-30,731.0,95786
2022-01-31,976.0,95601
2021-05-31,762.0,95769
2020-11-30,1218.0,95982
2021-10-31,823.0,95658
2021-12-31,853.0,95615
2021-11-30,1006.0,95632
2021-01-31,642.0,95868
2021-04-30,731.0,95786
2020-11-30,396.0,95982
2022-01-31,793.0,95601
2021-12-31,1127.0,95615
2019-09-30,242.0,96366
2021-02-28,609.0,95810
2021-02-28,1369.0,95810
2020-12-31,976.0,95921
2021-06-30,700.0,95754
2021-02-28,578.0,95810
2022-02-28,851.0,95551
2020-11-30,1034.0,95982
2022-02-28,1489.0,95551
2019-08-31,853.0,96374
2021-08-31,823.0,95705
2022-03-31,1035.0,95511
2021-01-31,428.0,95868
2021-12-31,884.0,95615
2021-12-31,853.0,95615
2020-07-31,912.0,96154
2021-12-31,1492.0,95615
2019-08-31,518.0,96374
2020-11-30,1006.0,95982
2020-11-30,549.0,95982
2021-02-28,578.0,95810
2021-12-31,731.0,95615
2022-01-31,1461.0,95601
2022-01-31,1461.0,95601
2021-12-31,1430.0,95615
2020-04-30,820.0,96277
2020-02-29,700.0,96309
2020-11-30,1006.0,95982
2020-05-31,701.0,96253
2021-06-30,1187.0,95754
2020-11-30,884.0,95982
2022-03-31,852.0,95511
2021-12-31,1675.0,95615
2021-07-31,639.0,95728
2021-11-30,1399.0,95632
2022-03-31,1492.0,95511
2021-06-30,1187.0,95754
2021-02-28,1096.0,95810
2021-07-31,823.0,95728
2021-10-31,792.0,95658
2022-02-28,974.0,95551
2022-01-31,1461.0,95601
2022-01-31,1372.0,95601
2021-12-31,1706.0,95615
2021-11-30,1583.0,95632
2021-12-31,1341.0,95615
2018-12-31,214.0,96446
2019-04-30,669.0,96423
2022-03-31,1673.0,95511
2020-11-30,884.0,95982
2021-11-30,761.0,95632
2022-02-28,882.0,95551
2022-02-28,1155.0,95551
2021-02-28,609.0,95810
2020-11-30,1006.0,95982
2021-06-30,1308.0,95754
2019-04-30,669.0,96423
2021-12-31,1583.0,95615
2019-12-31,610.0,96337
2020-11-30,427.0,95982
2021-12-31,792.0,95615
