DefaultDate,TimeToDefault,NumberOfCredits
2022-03-31,2023.0,149828
2020-07-31,550.0,165944
2020-09-30,869.0,165944
2020-08-31,1384.0,165944
2020-03-31,1734.0,165944
2019-11-30,1657.0,165944
2021-12-31,2417.0,157660
2020-09-30,1958.0,165944
2020-03-31,1771.0,165944
2021-07-31,2153.0,165944
2021-05-31,2197.0,165944
2020-12-31,2044.0,165944
2021-02-28,2097.0,165944
2020-11-30,2007.0,165944
2020-10-31,1977.0,165944
2022-04-30,2522.0,146984
2020-09-30,1941.0,165944
2020-08-31,1911.0,165944
2021-02-28,2092.0,165944
2020-02-29,1719.0,165944
2020-08-31,1910.0,165944
2019-12-31,1665.0,165944
2020-03-31,1751.0,165944
2021-02-28,2089.0,165944
2020-09-30,1938.0,165944
2021-11-30,2364.0,160474
2021-10-31,2330.0,163419
2020-01-31,1691.0,165944
2021-09-30,2298.0,165944
2022-01-31,2421.0,154932
2021-10-31,2329.0,163419
2020-03-31,1744.0,165944
2020-05-31,1805.0,165944
2020-02-29,1713.0,165944
2020-03-31,1744.0,165944
2020-09-30,1925.0,165944
2020-06-30,1833.0,165944
2022-02-28,2440.0,152411
2020-01-31,1677.0,165944
2020-03-31,1737.0,165944
2020-09-30,1919.0,165944
2021-09-30,1109.0,165944
2021-08-31,1135.0,165944
2020-03-31,1730.0,165944
2021-01-31,2036.0,165944
2020-03-31,1730.0,165944
2020-12-31,2002.0,165944
2021-01-31,2033.0,165944
2020-03-31,1726.0,165944
2021-04-30,2104.0,165944
2020-08-31,1876.0,165944
2021-07-31,2208.0,165944
2021-04-30,820.0,165944
2020-03-31,678.0,165944
2019-11-30,1593.0,165944
2020-12-31,1990.0,165944
2020-08-31,1866.0,165944
2021-11-30,2317.0,160474
2021-09-30,2249.0,165944
2020-07-31,1822.0,165944
2021-10-31,2279.0,163419
2020-06-30,1513.0,165944
2020-03-31,1699.0,165944
2020-03-31,1698.0,165944
2020-05-31,1755.0,165944
2021-01-31,1987.0,165944
2022-03-31,2415.0,149828
2021-02-28,2019.0,165944
2020-06-30,1768.0,165944
2020-09-30,1861.0,165944
2021-01-31,1984.0,165944
2021-07-31,2165.0,165944
2019-10-31,1522.0,165944
2020-02-29,907.0,165944
2020-08-31,1827.0,165944
2020-11-30,1918.0,165944
2020-09-30,1856.0,165944
2021-01-31,1977.0,165944
2020-07-31,452.0,165944
2021-02-28,2001.0,165944
2021-07-31,2151.0,165944
2021-11-30,2272.0,160474
2020-09-30,1395.0,165944
2020-09-30,1118.0,165944
2021-03-31,2025.0,165944
2020-09-30,1843.0,165944
2021-05-31,2086.0,165944
2020-03-31,1660.0,165944
2022-04-30,2048.0,146984
2020-04-30,1689.0,165944
2020-03-31,1658.0,165944
2020-10-31,1871.0,165944
2021-04-30,2052.0,165944
2021-09-30,2204.0,165944
2020-11-30,1900.0,165944
2020-10-31,1867.0,165944
2020-07-31,1775.0,165944
2020-06-30,1744.0,165944
2020-12-31,1927.0,165944
2021-05-31,2076.0,165944
2020-08-31,1802.0,165944
2021-06-30,2102.0,165944
2021-11-30,2255.0,160474
2020-12-31,1919.0,165944
2021-04-30,2037.0,165944
2020-06-30,1730.0,165944
2020-11-30,1883.0,165944
2021-03-31,2004.0,165944
2021-04-30,2033.0,165944
2020-07-31,1759.0,165944
2020-04-30,1661.0,165944
2020-05-31,1474.0,165944
2020-06-30,1727.0,165944
2021-08-31,2154.0,165944
2020-02-29,1604.0,165944
2021-04-30,2027.0,165944
2021-03-31,1989.0,165944
2020-12-31,1906.0,165944
2021-04-30,2025.0,165944
2020-09-30,1813.0,165944
2022-04-30,2389.0,146984
2020-09-30,1807.0,165944
2021-03-31,1989.0,165944
2021-08-31,2142.0,165944
2020-12-31,1898.0,165944
2021-02-28,1957.0,165944
2020-03-31,1622.0,165944
2020-03-31,1450.0,165944
2020-08-31,1764.0,165944
2022-03-31,2347.0,149828
2021-02-28,1951.0,165944
2020-03-31,1616.0,165944
2020-01-31,1555.0,165944
2020-10-31,1823.0,165944
2021-10-31,2190.0,163419
