DefaultDate,TimeToDefault,NumberOfCredits
2020-03-31,2328.0,217807
2021-12-31,2745.0,217491
2021-07-31,2580.0,217643
2020-01-31,2012.0,217813
2017-12-31,1179.0,217834
2019-09-30,1857.0,217820
2020-02-29,2004.0,217813
2021-06-30,2416.0,217668
2019-03-31,1598.0,217828
2017-11-30,1038.0,217834
2021-09-30,2480.0,217600
2019-01-31,1490.0,217830
2022-01-31,2580.0,217444
2020-06-30,1986.0,217794
2019-03-31,1461.0,217828
2019-09-30,1713.0,217820
2020-02-29,1867.0,217813
2021-06-30,2312.0,217668
2020-03-31,1846.0,217807
2020-01-31,1828.0,217813
2019-03-31,1454.0,217828
2018-11-30,1287.0,217832
2020-01-31,1774.0,217813
2017-11-30,945.0,217834
2019-11-30,1650.0,217817
2019-02-28,1402.0,217829
2022-02-28,2450.0,217413
2019-11-30,1684.0,217817
2021-09-30,2325.0,217600
2020-09-30,1930.0,217781
2017-06-30,736.0,217834
2021-08-31,2300.0,217628
2019-08-31,1515.0,217823
2022-03-31,2472.0,216084
2019-10-31,1627.0,217819
2019-03-31,1390.0,217828
2020-05-31,1838.0,217799
2020-04-30,1806.0,217805
2021-01-31,2074.0,217742
2020-11-30,2016.0,217771
2020-06-30,1873.0,217794
2018-04-30,1076.0,217833
2020-10-31,1922.0,217777
2019-04-30,1435.0,217827
2018-08-31,1191.0,217833
2020-10-31,1942.0,217777
2021-07-31,2221.0,217643
2022-01-31,2369.0,217444
2019-07-31,1518.0,217824
2017-10-31,840.0,217834
2020-09-30,1911.0,217781
2019-10-31,1443.0,217819
2022-03-31,2479.0,216084
2020-05-31,1817.0,217799
2022-01-31,2336.0,217444
2022-03-03,2470.0,217396
2021-02-28,2054.0,217735
2020-01-31,1691.0,217813
2019-11-30,1585.0,217817
2022-02-28,2453.0,217413
2019-12-31,1658.0,217815
2018-11-30,1256.0,217832
2020-10-31,1831.0,217777
2021-03-31,2072.0,217721
2019-12-31,1649.0,217815
2021-05-31,2166.0,217682
2022-01-31,2324.0,217444
2017-06-30,735.0,217834
2019-11-30,1580.0,217817
2017-12-31,913.0,217834
2019-11-30,1611.0,217817
2018-10-31,1150.0,217833
2016-08-31,392.0,217834
2016-09-30,389.0,217834
2019-06-30,1439.0,217824
2021-05-31,2152.0,217682
2019-07-31,1464.0,217824
2020-08-31,1797.0,217783
2020-03-31,1714.0,217807
2017-12-31,898.0,217834
2019-01-31,1224.0,217830
2019-02-28,1252.0,217829
2022-03-31,2429.0,216084
2019-01-31,1211.0,217830
2017-12-31,877.0,217834
2020-01-31,1640.0,217813
2019-07-31,1458.0,217824
2021-03-31,2039.0,217721
2020-01-31,1558.0,217813
2020-07-31,1759.0,217788
2021-08-31,2177.0,217628
2017-05-31,638.0,217834
2022-02-28,2260.0,217413
2019-11-30,1536.0,217817
2019-11-30,1548.0,217817
2021-10-31,2224.0,217569
2020-12-31,1912.0,217758
2019-10-31,1512.0,217819
2020-05-31,1712.0,217799
2018-12-31,1208.0,217831
2022-02-28,2345.0,217413
2021-02-28,1983.0,217735
2019-12-31,1448.0,217815
2020-03-31,1644.0,217807
2019-06-30,1371.0,217824
2019-08-31,1431.0,217823
2021-05-31,2068.0,217682
2018-12-31,1179.0,217831
2020-06-30,1736.0,217794
2021-04-30,2024.0,217708
2021-06-30,2091.0,217668
2022-03-31,2303.0,216084
2017-04-30,562.0,217834
2021-07-31,2109.0,217643
2021-05-31,2040.0,217682
2017-06-30,624.0,217834
2017-09-30,704.0,217834
2020-09-30,1745.0,217781
2017-12-31,772.0,217834
2021-02-28,1959.0,217735
2022-02-28,2314.0,217413
2020-07-31,1745.0,217788
2020-12-31,1816.0,217758
2021-09-30,2149.0,217600
2019-11-30,1485.0,217817
2019-01-31,1186.0,217830
2021-02-28,1938.0,217735
2020-01-31,1502.0,217813
2022-03-31,2344.0,216084
2020-12-31,1885.0,217758
2019-06-30,1341.0,217824
2019-08-31,1401.0,217823
2020-01-31,1549.0,217813
2021-10-31,2187.0,217569
2020-05-31,1672.0,217799
2020-04-30,1644.0,217805
2020-05-31,1668.0,217799
2021-12-31,2242.0,217491
2019-09-30,1404.0,217820
2021-10-31,2182.0,217569
2020-05-31,1655.0,217799
2020-06-30,1686.0,217794
2019-08-31,1320.0,217823
2020-10-31,1796.0,217777
2020-05-31,1599.0,217799
2018-10-31,1055.0,217833
2020-06-30,1678.0,217794
2019-11-30,1461.0,217817
2017-06-30,583.0,217834
2017-12-31,762.0,217834
2018-11-30,1103.0,217832
2019-07-31,1322.0,217824
2021-12-31,2179.0,217491
2021-01-31,1889.0,217742
2019-09-30,1378.0,217820
2021-07-31,2070.0,217643
2018-06-30,941.0,217833
2021-02-28,1903.0,217735
2017-02-28,441.0,217834
2020-04-30,1595.0,217805
2019-10-31,1401.0,217819
2019-05-31,1249.0,217825
2018-10-31,1055.0,217833
2021-06-30,2015.0,217668
2021-01-31,1854.0,217742
2021-11-30,2164.0,217541
2021-02-28,1831.0,217735
2017-10-31,648.0,217834
2019-05-31,1247.0,217825
2021-03-31,1904.0,217721
2016-12-31,358.0,217834
2019-07-31,1311.0,217824
2020-08-31,1708.0,217783
2019-06-30,1277.0,217824
2019-03-31,1172.0,217828
2022-01-31,2216.0,217444
2018-07-31,921.0,217833
2021-05-31,1918.0,217682
2020-01-31,1480.0,217813
2021-02-28,1866.0,217735
2022-02-28,2236.0,217413
2016-11-30,314.0,217834
2019-08-31,1313.0,217823
2019-01-31,1100.0,217830
2020-09-30,1716.0,217781
2022-03-31,2256.0,216084
2020-09-30,1658.0,217781
2022-02-28,2223.0,217413
2017-07-31,552.0,217834
2018-10-31,1008.0,217833
2018-11-30,1038.0,217832
2020-07-31,1646.0,217788
2020-11-30,1722.0,217771
2021-10-31,2069.0,217569
2020-12-31,1795.0,217758
2018-10-31,973.0,217833
2020-06-30,1614.0,217794
2020-01-31,1463.0,217813
2019-12-31,1385.0,217815
2019-12-31,1369.0,217815
2021-09-30,2059.0,217600
2022-03-31,2152.0,216084
2021-09-30,2042.0,217600
2020-11-30,1757.0,217771
2022-03-24,2191.0,217324
2020-03-31,1401.0,217807
2022-03-15,2192.0,217367
2020-08-31,1638.0,217783
2019-06-30,1152.0,217824
2019-11-30,1333.0,217817
2020-06-30,1512.0,217794
2020-02-29,1468.0,217813
2018-10-31,975.0,217833
2018-08-31,827.0,217833
2022-03-03,2131.0,217396
2022-03-14,2078.0,217368
2020-08-31,1643.0,217783
2017-12-31,640.0,217834
