DefaultDate,TimeToDefault,NumberOfCredits
2020-09-10,982.0,303426
2021-04-09,463.0,303426
2022-02-09,1132.0,303426
2022-02-09,1132.0,303426
2020-09-10,981.0,303426
2022-03-09,1157.0,303426
2022-02-08,1128.0,303426
2021-07-10,1289.0,303426
2020-09-10,980.0,303426
2021-10-10,639.0,303426
2021-01-09,1466.0,303426
2022-02-09,756.0,303426
2022-02-21,1138.0,303426
2021-05-10,479.0,303426
2022-03-09,1149.0,303426
2020-09-10,1696.0,303426
2020-08-09,941.0,303426
2020-05-10,1214.0,303426
2022-03-09,1143.0,303426
2021-06-17,510.0,303426
2022-03-09,1143.0,303426
2022-03-09,1142.0,303426
2020-08-09,1060.0,303426
2021-12-28,701.0,303426
2021-05-10,469.0,303426
2022-03-09,1140.0,303426
2022-03-09,1140.0,303426
2020-09-10,1333.0,303426
2021-12-23,1437.0,303426
2022-03-09,1140.0,303426
2021-05-10,467.0,303426
2021-12-10,681.0,303426
2019-09-09,1315.0,303426
2022-03-09,1136.0,303426
2022-03-09,1136.0,303426
2022-03-09,1135.0,303426
2021-05-10,466.0,303426
2021-10-10,984.0,303426
2022-03-09,1134.0,303426
2019-04-09,810.0,303426
2020-08-09,1298.0,303426
2022-02-04,1599.0,303426
2021-05-25,845.0,303426
2020-07-09,1266.0,303426
2021-05-10,1571.0,303426
2020-01-09,717.0,303426
2022-03-09,1129.0,303426
2022-03-09,1129.0,303426
2022-03-09,761.0,303426
2018-12-08,443.0,303426
2020-11-09,273.0,303426
2020-10-22,1708.0,303426
2020-09-10,959.0,303426
2021-07-30,1647.0,303426
2020-12-10,1049.0,303426
2020-11-09,1018.0,303426
2022-04-09,1150.0,303426
2016-12-27,974.0,303426
2020-04-09,1168.0,303426
2022-04-09,1149.0,303426
2022-04-09,1146.0,303426
2022-04-09,1145.0,303426
2018-11-09,984.0,303426
2020-07-09,888.0,303426
2020-01-09,1074.0,303426
2021-06-09,1590.0,303426
2019-11-08,1011.0,303426
2021-01-09,319.0,303426
2022-04-09,1143.0,303426
2019-03-08,766.0,303426
2022-04-09,1143.0,303426
2022-04-09,1143.0,303426
2021-10-10,961.0,303426
2020-11-09,257.0,303426
2021-03-22,1845.0,303426
2020-04-09,792.0,303426
2018-09-07,584.0,303426
2021-03-09,1497.0,303426
2021-09-09,559.0,303426
2019-10-09,979.0,303426
2022-04-09,1138.0,303426
2020-05-12,958.0,303426
2022-04-09,1138.0,303426
2022-02-09,1458.0,303426
2019-09-09,948.0,303426
2022-04-09,1137.0,303426
2019-08-09,1243.0,303426
2020-06-09,985.0,303426
2022-03-09,1478.0,303426
2020-07-09,1015.0,303426
2021-02-09,1462.0,303426
2022-03-09,1854.0,303426
2019-07-09,879.0,303426
2021-04-09,1141.0,303426
2021-06-09,1202.0,303426
2020-03-09,1120.0,303426
2019-03-08,1411.0,303426
2021-05-10,362.0,303426
2020-08-09,1354.0,303426
2021-09-09,478.0,303426
2020-08-09,1271.0,303426
2020-07-10,1570.0,303426
2020-08-09,1600.0,303426
2022-03-09,1090.0,303426
2020-10-09,1414.0,303426
2020-06-09,824.0,303426
2021-12-10,561.0,303426
2020-10-09,1103.0,303426
2019-09-09,1575.0,303426
2020-03-09,1756.0,303426
2019-07-09,645.0,303426
2022-03-09,1927.0,303426
2022-04-09,1873.0,303426
2021-03-09,1805.0,303426
2020-07-09,1872.0,303426
2018-12-08,654.0,303426
2020-09-10,1932.0,303426
2021-10-10,1690.0,303426
2020-11-24,977.0,303426
2022-04-01,333.0,303426
2022-04-09,661.0,303426
2019-03-08,1373.0,303426
2020-03-09,1109.0,303426
2020-06-09,977.0,303426
2022-03-22,315.0,303426
2020-10-05,1943.0,303426
2022-04-09,1102.0,303426
2019-11-08,1607.0,303426
2021-10-21,2022.0,303426
2020-05-10,1493.0,303426
2020-07-09,1553.0,303426
2019-06-07,606.0,303426
2019-07-09,1481.0,303426
2022-03-09,1064.0,303426
2022-01-09,1375.0,303426
2022-03-28,307.0,303426
2020-07-24,1857.0,303426
