DefaultDate,TimeToDefault,NumberOfCredits
2021-11-30,417.0,148218
2021-04-30,582.0,148218
2021-03-31,244.0,148218
2022-03-31,595.0,148218
2021-11-30,421.0,148218
2021-12-31,490.0,148218
2021-05-31,284.0,148218
2022-04-30,602.0,148218
2021-12-31,674.0,148218
2022-04-30,1175.0,148218
2021-12-31,1008.0,148218
2022-01-31,497.0,148218
2021-02-28,1053.0,148218
2021-10-31,408.0,148218
2022-04-30,571.0,148218
2021-10-31,394.0,148218
2021-01-31,235.0,148218
2022-02-28,529.0,148218
2022-03-31,547.0,148218
2022-01-31,1370.0,148218
2021-01-31,631.0,148218
2022-02-28,1057.0,148218
2022-03-31,1375.0,148218
2022-04-30,1130.0,148218
2022-03-31,533.0,148218
2021-06-30,270.0,148218
2022-03-31,1119.0,148218
2021-11-30,425.0,148218
2021-12-31,455.0,148218
2022-04-30,560.0,148218
2021-02-28,124.0,148218
2021-09-30,712.0,148218
2021-11-30,414.0,148218
2021-10-31,387.0,148218
2022-03-31,1399.0,148218
2022-04-30,568.0,148218
2021-08-31,316.0,148218
2021-06-30,1349.0,148218
2021-08-31,917.0,148218
2021-02-28,856.0,148218
2021-12-31,1088.0,148218
2021-06-30,982.0,148218
2021-05-31,720.0,148218
2021-06-30,249.0,148218
2021-11-30,424.0,148218
2021-06-30,922.0,148218
2022-02-28,1257.0,148218
2021-10-31,373.0,148218
2022-02-28,823.0,148218
2022-04-30,550.0,148218
2021-03-31,509.0,148218
2021-03-31,504.0,148218
2021-04-30,192.0,148218
2022-01-31,762.0,148218
2021-07-31,589.0,148218
2022-03-31,763.0,148218
2022-04-30,1437.0,148218
2020-12-31,1119.0,148218
2022-02-28,871.0,148218
2021-09-30,1399.0,148218
2022-04-30,1264.0,148218
2021-10-31,953.0,148218
2021-09-30,1077.0,148218
2022-02-28,768.0,148218
2022-03-31,514.0,148218
2021-12-31,414.0,148218
2021-11-30,383.0,148218
2022-03-31,617.0,148218
2021-12-31,431.0,148218
2021-07-31,277.0,148218
2021-12-31,720.0,148218
2022-01-31,551.0,148218
2022-03-31,854.0,148218
2022-01-31,449.0,148218
2021-03-31,287.0,148218
2021-08-31,307.0,148218
2022-02-28,491.0,148218
2021-03-31,146.0,148218
2020-12-31,56.0,148218
2021-09-30,282.0,148218
2022-02-28,468.0,148218
2022-02-28,458.0,148218
2021-11-30,382.0,148218
2021-04-30,164.0,148218
2022-03-31,511.0,148218
