DefaultDate,TimeToDefault,NumberOfCredits
2019-08-31,2304.0,308388
2019-08-31,2207.0,308388
2019-12-31,2308.0,308058
2019-12-31,2247.0,308058
2020-01-31,2278.0,307938
2019-12-31,2186.0,308058
2019-12-31,2181.0,308058
2019-05-31,1998.0,308651
2019-12-31,2186.0,308058
2019-12-31,2217.0,308058
2019-12-31,2176.0,308058
2019-12-31,2181.0,308058
2019-12-31,2217.0,308058
2019-04-30,1941.0,308737
2019-12-31,2160.0,308058
2019-09-30,2089.0,308313
2019-12-31,2186.0,308058
2019-12-31,2181.0,308058
2019-06-30,1971.0,308565
2019-04-30,1900.0,308737
2019-12-31,2155.0,308058
2019-12-31,2127.0,308058
2019-04-30,1882.0,308737
2019-12-31,2096.0,308058
2019-07-31,1974.0,308467
2019-12-31,2117.0,308058
2019-07-31,1974.0,308467
2019-07-31,1974.0,308467
2019-12-31,2132.0,308058
2019-09-30,2004.0,308313
2019-07-31,1969.0,308467
2019-12-31,2122.0,308058
2019-04-30,1877.0,308737
2019-12-31,2096.0,308058
2019-12-31,2096.0,308058
2019-07-31,1872.0,308467
2019-04-30,1790.0,308737
2019-12-31,2035.0,308058
2019-12-31,2096.0,308058
2019-09-30,1943.0,308313
2019-07-31,1913.0,308467
2019-11-30,1999.0,308144
2019-09-30,2004.0,308313
2019-06-30,1912.0,308565
2019-07-31,1913.0,308467
2020-07-31,2279.0,307418
2019-05-31,1791.0,308651
2019-08-31,1944.0,308388
2019-09-30,1974.0,308313
2019-10-31,2000.0,308228
2019-08-31,1954.0,308388
2019-12-31,2076.0,308058
2019-07-31,1903.0,308467
2019-05-31,1821.0,308651
2019-12-31,2010.0,308058
2019-07-31,1913.0,308467
2019-09-30,1974.0,308313
2019-12-31,2066.0,308058
2019-10-31,2005.0,308228
2019-04-30,1821.0,308737
2019-12-31,2061.0,308058
2019-12-31,2035.0,308058
2019-10-31,2000.0,308228
2019-04-30,1816.0,308737
2019-12-31,2035.0,308058
2019-12-31,2061.0,308058
2019-11-30,2030.0,308144
2019-05-31,1821.0,308651
2019-05-31,1821.0,308651
2019-12-31,2025.0,308058
2019-09-30,1938.0,308313
2019-12-31,2035.0,308058
2019-06-30,1851.0,308565
2019-12-31,2005.0,308058
2019-04-30,1755.0,308737
2019-12-31,1821.0,308058
2019-12-31,1974.0,308058
2019-12-31,2005.0,308058
2019-12-31,2005.0,308058
2019-06-30,1841.0,308565
2019-12-31,2005.0,308058
2019-11-30,1974.0,308144
2019-07-31,1852.0,308467
2019-10-31,1944.0,308228
2019-05-31,1791.0,308651
2019-06-30,1841.0,308565
2019-07-31,1852.0,308467
2019-12-31,2005.0,308058
2019-12-31,1974.0,308058
2019-04-30,1760.0,308737
2019-09-30,1913.0,308313
2019-09-30,1882.0,308313
2019-12-31,2000.0,308058
2019-12-31,2005.0,308058
2019-09-30,1882.0,308313
2019-06-30,1790.0,308565
2019-05-31,1760.0,308651
2019-09-30,1882.0,308313
2019-04-30,1719.0,308737
2020-01-31,2005.0,307938
2019-07-31,1811.0,308467
2019-11-30,1938.0,308144
2020-04-30,2095.0,307637
2019-09-30,1851.0,308313
2019-12-31,1943.0,308058
2019-04-30,1703.0,308737
2019-10-31,1887.0,308228
2019-08-31,1847.0,308388
2019-12-31,1943.0,308058
