DefaultDate,TimeToDefault,NumberOfCredits
2021-01-31,204.0,220537
2021-05-31,249.0,220537
2021-12-31,520.0,220537
2021-09-30,378.0,220537
2022-03-31,567.0,220537
2022-04-30,1186.0,220537
2022-02-28,571.0,220537
2021-03-31,168.0,220537
2022-04-30,584.0,220537
2022-01-31,622.0,220537
2021-12-31,489.0,220537
2021-10-31,439.0,220537
2022-03-31,554.0,220537
2021-04-30,197.0,220537
2021-12-31,477.0,220537
2021-11-30,432.0,220537
2021-01-31,125.0,220537
2022-03-31,535.0,220537
2021-03-31,1062.0,220537
2021-11-30,1230.0,220537
2021-07-31,291.0,220537
2022-02-28,1067.0,220537
2020-11-30,557.0,220537
2020-11-30,364.0,220537
2022-03-31,533.0,220537
2021-05-31,263.0,220537
2022-02-28,509.0,220537
2021-09-30,374.0,220537
2021-07-31,323.0,220537
2022-01-31,1048.0,220537
2022-01-31,1055.0,220537
2021-11-30,789.0,220537
2022-04-30,925.0,220537
2022-03-31,534.0,220537
2022-02-28,493.0,220537
2022-03-31,541.0,220537
2022-02-28,768.0,220537
2021-12-31,742.0,220537
2021-12-31,588.0,220537
2022-01-31,459.0,220537
2021-03-31,233.0,220537
2021-01-31,640.0,220537
2022-04-30,565.0,220537
2022-03-31,539.0,220537
2021-04-30,211.0,220537
2021-09-30,365.0,220537
2021-11-30,403.0,220537
2021-06-30,251.0,220537
2021-07-31,282.0,220537
2021-12-31,437.0,220537
2021-09-30,339.0,220537
2021-12-31,448.0,220537
2022-03-31,1400.0,220537
2021-11-30,425.0,220537
2021-12-31,448.0,220537
2022-01-31,488.0,220537
2022-01-31,474.0,220537
2021-10-31,1133.0,220537
2021-09-30,367.0,220537
2022-04-30,549.0,220537
2021-10-31,380.0,220537
2022-03-31,644.0,220537
2021-12-31,807.0,220537
2021-07-31,275.0,220537
2021-11-30,1161.0,220537
2022-04-30,1204.0,220537
2021-09-30,346.0,220537
2021-02-28,234.0,220537
2021-07-31,372.0,220537
2022-03-31,514.0,220537
2021-02-28,698.0,220537
2022-04-30,1086.0,220537
2021-02-28,290.0,220537
2021-08-31,291.0,220537
2021-06-30,244.0,220537
2021-11-30,652.0,220537
2022-03-31,503.0,220537
2022-03-31,504.0,220537
2022-03-31,892.0,220537
2021-06-30,211.0,220537
2021-08-31,288.0,220537
2021-12-31,921.0,220537
2021-11-30,382.0,220537
2021-12-31,400.0,220537
2022-01-31,788.0,220537
2022-03-31,472.0,220537
2021-08-31,253.0,220537
2021-04-30,142.0,220537
2021-01-31,648.0,220537
2022-04-30,908.0,220537
2022-04-30,509.0,220537
2022-03-31,499.0,220537
2022-02-28,753.0,220537
2021-10-31,524.0,220537
2022-04-30,498.0,220537
2021-10-31,313.0,220537
2022-03-31,489.0,220537
2021-11-30,347.0,220537
2022-04-30,487.0,220537
2022-01-31,398.0,220537
2021-05-31,181.0,220537
2021-08-31,250.0,220537
2022-03-31,471.0,220537
2021-09-30,290.0,220537
2021-08-31,230.0,220537
2021-06-30,181.0,220537
2021-08-31,273.0,220537
2022-04-30,464.0,220537
2022-03-31,485.0,220537
2022-04-30,495.0,220537
2021-02-28,79.0,220537
2021-02-28,50.0,220537
2022-02-28,451.0,220537
2021-05-31,152.0,220537
2022-04-30,497.0,220537
2021-05-31,145.0,220537
2022-03-31,475.0,220537
2022-01-31,384.0,220537
2022-02-28,424.0,220537
2021-12-31,339.0,220537
2022-04-30,501.0,220537
2022-04-30,495.0,220537
2022-03-31,464.0,220537
2022-04-30,462.0,220537
2021-10-31,283.0,220537
2022-03-31,1017.0,220537
2022-04-30,486.0,220537
2021-07-31,225.0,220537
2021-08-31,257.0,220537
2022-02-28,440.0,220537
2021-10-31,297.0,220537
2022-04-30,465.0,220537
2022-04-30,464.0,220537
2022-01-31,377.0,220537
2021-06-30,167.0,220537
2021-11-30,325.0,220537
2021-06-30,147.0,220537
2022-03-31,456.0,220537
2021-10-31,286.0,220537
2021-11-30,302.0,220537
2022-02-28,1273.0,220537
2021-11-30,321.0,220537
2022-03-31,448.0,220537
2022-01-31,405.0,220537
2021-12-31,330.0,220537
2022-01-31,360.0,220537
2022-01-31,397.0,220537
2022-02-28,396.0,220537
2022-01-31,356.0,220537
2021-12-31,352.0,220537
2021-11-30,315.0,220537
2022-02-28,411.0,220537
2022-03-31,423.0,220537
2021-10-31,272.0,220537
2021-10-31,283.0,220537
2022-02-28,395.0,220537
2021-07-31,1447.0,220537
2022-03-31,429.0,220537
2021-07-31,158.0,220537
2021-09-30,251.0,220537
2022-03-31,406.0,220537
2021-08-31,194.0,220537
2022-04-30,1345.0,220537
2022-04-30,459.0,220537
2022-02-28,339.0,220537
2021-11-30,298.0,220537
2022-03-31,377.0,220537
2022-04-30,443.0,220537
2022-03-31,409.0,220537
2022-01-31,355.0,220537
2022-04-30,438.0,220537
2022-04-30,142.0,220537
2022-03-31,405.0,220537
2022-03-31,409.0,220537
2021-10-31,272.0,220537
2021-10-31,249.0,220537
2022-04-30,428.0,220537
2021-12-31,372.0,220537
2021-12-31,308.0,220537
2021-11-30,283.0,220537
2022-04-30,435.0,220537
2022-03-31,412.0,220537
2021-06-30,110.0,220537
2022-03-31,111.0,220537
2022-01-31,356.0,220537
2021-12-31,315.0,220537
2022-03-31,393.0,220537
2022-03-31,398.0,220537
2021-08-31,174.0,220537
2021-07-31,127.0,220537
2022-03-31,122.0,220537
2022-01-31,311.0,220537
2022-02-28,304.0,220537
2021-08-31,1405.0,220537
2021-09-30,162.0,220537
2022-01-31,287.0,220537
2022-01-31,336.0,220537
2021-10-31,214.0,220537
2022-03-31,342.0,220537
2021-09-30,164.0,220537
2022-01-31,292.0,220537
2021-12-31,227.0,220537
2022-02-28,306.0,220537
2021-07-31,134.0,220537
2022-01-31,308.0,220537
2021-12-31,274.0,220537
2022-04-30,424.0,220537
2022-02-28,332.0,220537
2021-10-31,216.0,220537
2021-10-31,191.0,220537
2021-11-30,258.0,220537
2022-04-30,379.0,220537
2022-04-30,340.0,220537
2021-07-31,75.0,220537
2021-12-31,245.0,220537
2022-04-30,353.0,220537
2021-12-31,249.0,220537
2021-11-30,208.0,220537
2021-12-31,240.0,220537
2022-03-31,314.0,220537
2021-11-30,216.0,220537
2021-08-31,126.0,220537
2021-08-31,124.0,220537
2021-10-31,207.0,220537
2022-04-30,382.0,220537
2022-03-31,320.0,220537
2021-12-31,193.0,220537
2022-02-28,257.0,220537
2022-03-31,328.0,220537
2021-10-31,150.0,220537
2021-06-30,58.0,220537
2021-12-31,219.0,220537
2021-12-31,224.0,220537
2022-02-28,308.0,220537
2022-02-28,278.0,220537
2022-01-31,261.0,220537
2022-02-28,285.0,220537
2021-10-31,192.0,220537
2022-04-30,311.0,220537
2022-03-31,323.0,220537
2021-11-30,189.0,220537
2021-11-30,279.0,220537
2022-02-28,293.0,220537
2022-01-31,235.0,220537
2022-02-28,244.0,220537
2021-11-30,182.0,220537
2022-03-31,1786.0,220537
2022-02-28,623.0,220537
2021-10-31,233.0,220537
2022-02-28,247.0,220537
2022-04-30,309.0,220537
2022-03-31,300.0,220537
2022-02-28,261.0,220537
2021-12-31,219.0,220537
2021-11-30,166.0,220537
2022-04-30,289.0,220537
2022-03-31,272.0,220537
2022-02-28,249.0,220537
2022-01-31,217.0,220537
2021-08-31,76.0,220537
2021-11-30,175.0,220537
2022-01-31,217.0,220537
2022-03-31,307.0,220537
2022-02-28,270.0,220537
2021-10-31,128.0,220537
2022-04-30,333.0,220537
2021-12-31,197.0,220537
2022-02-28,276.0,220537
2022-04-30,122.0,220537
2022-04-30,142.0,220537
2022-03-31,279.0,220537
2022-04-30,147.0,220537
2022-04-30,285.0,220537
2022-04-30,283.0,220537
2022-03-31,248.0,220537
2021-11-30,137.0,220537
2021-08-31,50.0,220537
2022-01-31,207.0,220537
2022-03-31,273.0,220537
2022-01-31,192.0,220537
2022-02-28,221.0,220537
2022-04-30,302.0,220537
2022-01-31,186.0,220537
2022-04-30,292.0,220537
2022-04-30,289.0,220537
2022-01-31,185.0,220537
2022-03-31,218.0,220537
2022-02-28,237.0,220537
2022-02-28,222.0,220537
2022-02-28,217.0,220537
2022-01-31,186.0,220537
2022-01-31,165.0,220537
2021-11-30,130.0,220537
2022-02-28,215.0,220537
2022-01-31,182.0,220537
2022-02-28,194.0,220537
2022-04-30,1376.0,220537
2022-03-31,1280.0,220537
2022-03-31,237.0,220537
2022-03-31,232.0,220537
2022-02-28,196.0,220537
2022-01-31,203.0,220537
2022-03-31,237.0,220537
2022-04-30,283.0,220537
2022-04-30,271.0,220537
2022-04-30,242.0,220537
2021-09-30,31.0,220537
2022-03-31,238.0,220537
2022-04-30,214.0,220537
2021-11-30,103.0,220537
2022-04-30,213.0,220537
2021-11-30,551.0,220537
2022-01-31,153.0,220537
2022-02-28,166.0,220537
2021-12-31,119.0,220537
2022-02-28,195.0,220537
2022-04-30,217.0,220537
2021-12-31,151.0,220537
2022-03-31,185.0,220537
2022-03-31,253.0,220537
2021-12-31,116.0,220537
2022-01-31,143.0,220537
2022-01-31,136.0,220537
2021-10-31,1643.0,220537
2020-11-30,1293.0,220537
2022-03-31,191.0,220537
2022-04-30,1753.0,220537
2022-03-31,125.0,220537
2022-03-31,153.0,220537
2022-04-30,182.0,220537
2022-03-31,155.0,220537
2021-03-31,1339.0,220537
2022-04-30,198.0,220537
2022-01-31,105.0,220537
2022-04-30,197.0,220537
2022-01-31,122.0,220537
2022-04-30,207.0,220537
2022-04-30,201.0,220537
2022-04-30,186.0,220537
2022-04-30,225.0,220537
2022-03-31,175.0,220537
2020-11-30,1305.0,220537
2022-02-28,1699.0,220537
2022-04-30,1769.0,220537
2022-03-31,1812.0,220537
2022-03-31,1722.0,220537
2022-04-30,187.0,220537
2022-02-28,1727.0,220537
2022-04-30,1720.0,220537
2021-10-31,1493.0,220537
2021-07-31,1444.0,220537
2022-01-31,1705.0,220537
2022-02-28,1735.0,220537
2021-01-31,1298.0,220537
2022-04-30,1723.0,220537
2022-04-30,51.0,220537
2022-03-31,56.0,220537
2022-04-30,60.0,220537
2022-04-30,65.0,220537
2022-04-30,128.0,220537
2021-12-31,1656.0,220537
2021-04-30,1333.0,220537
2022-01-31,1648.0,220537
2022-02-28,1666.0,220537
2022-04-30,71.0,220537
2021-12-31,1507.0,220537
2022-02-28,1551.0,220537
2020-12-31,1169.0,220537
2021-07-31,1452.0,220537
2022-03-31,1633.0,220537
2021-06-30,1412.0,220537
2022-03-31,1679.0,220537
2022-04-30,1635.0,220537
2021-03-31,1162.0,220537
2021-06-30,1335.0,220537
2022-03-31,1590.0,220537
2021-12-31,1526.0,220537
2021-06-30,1320.0,220537
2022-02-28,1496.0,220537
2021-01-31,1213.0,220537
2021-12-31,1551.0,220537
2021-06-30,1163.0,220537
2021-11-30,1481.0,220537
2021-05-31,1300.0,220537
2022-03-31,1616.0,220537
2022-02-28,1550.0,220537
2021-07-31,1333.0,220537
2022-02-28,1508.0,220537
2022-04-30,1466.0,220537
2022-04-30,1639.0,220537
2022-03-31,1606.0,220537
2021-02-28,1178.0,220537
2020-12-31,1106.0,220537
2022-04-30,130.0,220537
2020-12-31,1113.0,220537
2022-04-30,1576.0,220537
2021-10-31,1328.0,220537
2021-11-30,1470.0,220537
2022-01-31,1386.0,220537
2021-07-31,1313.0,220537
2021-07-31,1268.0,220537
2021-03-31,1139.0,220537
2021-07-31,1261.0,220537
2022-04-30,1566.0,220537
2021-12-31,1309.0,220537
2021-08-31,1265.0,220537
2021-05-31,1182.0,220537
2022-01-31,1377.0,220537
2022-02-28,1476.0,220537
2021-12-31,1399.0,220537
2021-10-31,1325.0,220537
2021-08-31,1258.0,220537
2021-04-30,1148.0,220537
2021-11-30,1278.0,220537
2021-06-30,1222.0,220537
2021-08-31,1202.0,220537
2021-12-31,1410.0,220537
2021-06-30,1190.0,220537
2020-12-31,993.0,220537
2021-04-30,1038.0,220537
2021-02-28,1045.0,220537
2022-01-31,1314.0,220537
2020-11-30,906.0,220537
2021-02-28,1062.0,220537
2021-09-30,1266.0,220537
2021-09-30,1273.0,220537
2021-03-31,925.0,220537
2021-05-31,1059.0,220537
2021-12-31,1288.0,220537
2021-04-30,1092.0,220537
2021-02-28,1038.0,220537
2021-08-31,1222.0,220537
2021-12-31,1372.0,220537
2021-12-31,1353.0,220537
2021-06-30,1129.0,220537
2022-02-28,1274.0,220537
2022-01-31,1404.0,220537
2022-02-28,1397.0,220537
2021-10-31,1277.0,220537
2021-10-31,1194.0,220537
2021-09-30,1259.0,220537
2021-03-31,1076.0,220537
2021-07-31,1192.0,220537
2022-01-31,1337.0,220537
2021-04-30,1012.0,220537
2022-02-28,1382.0,220537
2022-04-30,1445.0,220537
2020-12-31,986.0,220537
2022-02-28,1376.0,220537
2021-03-31,1021.0,220537
2022-04-30,1459.0,220537
2020-11-30,930.0,220537
2021-07-31,1198.0,220537
2022-04-30,1431.0,220537
2021-10-31,1224.0,220537
2022-01-31,1369.0,220537
2021-04-30,1059.0,220537
2022-01-31,1378.0,220537
2022-04-30,1447.0,220537
2021-04-30,1087.0,220537
2021-08-31,1153.0,220537
2021-09-30,1213.0,220537
2021-12-31,1120.0,220537
2022-04-30,1466.0,220537
2022-02-28,1357.0,220537
2021-12-31,1341.0,220537
2022-04-30,1388.0,220537
2021-06-30,1133.0,220537
2021-04-30,1047.0,220537
2021-11-30,1204.0,220537
2021-06-30,1086.0,220537
2021-01-31,972.0,220537
2022-03-31,1280.0,220537
2022-04-30,1375.0,220537
2022-04-30,1321.0,220537
2021-12-31,1241.0,220537
2021-03-31,1042.0,220537
2021-03-31,954.0,220537
2022-02-28,1346.0,220537
2021-03-31,1014.0,220537
2021-01-31,968.0,220537
2020-12-31,855.0,220537
2021-02-28,999.0,220537
2022-01-31,1287.0,220537
2020-11-30,900.0,220537
2022-03-31,1352.0,220537
2021-03-31,967.0,220537
2021-06-30,1059.0,220537
2021-02-28,941.0,220537
2022-02-28,1321.0,220537
2021-10-31,1209.0,220537
2021-03-31,971.0,220537
2021-08-31,1026.0,220537
2021-06-30,1052.0,220537
2022-03-31,1343.0,220537
2022-04-30,1361.0,220537
2022-02-28,1315.0,220537
2021-03-31,993.0,220537
2022-02-28,1319.0,220537
2022-04-30,1374.0,220537
2021-12-31,1184.0,220537
2021-11-30,1216.0,220537
2021-02-28,961.0,220537
2021-09-30,1165.0,220537
2021-10-31,1186.0,220537
2021-07-31,1101.0,220537
2021-06-30,940.0,220537
2022-04-30,1297.0,220537
2022-03-31,1339.0,220537
2022-04-30,1236.0,220537
2022-02-28,1319.0,220537
2021-10-31,1138.0,220537
2022-04-30,1261.0,220537
2022-01-31,1224.0,220537
2021-11-30,1147.0,220537
2021-12-31,1178.0,220537
2021-11-30,1079.0,220537
2021-06-30,1015.0,220537
2021-10-31,1068.0,220537
2022-01-31,1196.0,220537
2022-01-31,1144.0,220537
2021-09-30,1102.0,220537
2021-06-30,1044.0,220537
2021-11-30,1154.0,220537
2021-02-28,933.0,220537
2021-10-31,1144.0,220537
2022-03-31,1286.0,220537
2020-11-30,747.0,220537
2021-10-31,1087.0,220537
2021-05-31,999.0,220537
2021-02-28,885.0,220537
2021-12-31,1211.0,220537
2021-04-30,963.0,220537
2021-06-30,975.0,220537
2021-06-30,1015.0,220537
2021-08-31,1075.0,220537
2021-05-31,957.0,220537
2021-11-30,1181.0,220537
2022-03-31,1262.0,220537
2021-03-31,894.0,220537
2022-02-28,1225.0,220537
2022-01-31,1155.0,220537
2021-08-31,1019.0,220537
2021-03-31,911.0,220537
2021-06-30,930.0,220537
2021-11-30,1100.0,220537
2022-03-31,1213.0,220537
2021-08-31,1035.0,220537
2021-06-30,999.0,220537
2021-08-31,1041.0,220537
2022-04-30,1283.0,220537
2020-10-31,701.0,220537
2021-12-31,1185.0,220537
2021-01-31,746.0,220537
2022-03-31,1227.0,220537
2021-11-30,1077.0,220537
2021-06-30,895.0,220537
2022-03-31,1234.0,220537
2021-01-31,723.0,220537
2021-06-30,993.0,220537
2022-01-31,1166.0,220537
2022-03-31,1231.0,220537
2021-08-31,1050.0,220537
2022-02-28,1202.0,220537
2022-04-30,1235.0,220537
2021-04-30,892.0,220537
2021-04-30,735.0,220537
2022-03-31,1207.0,220537
2021-01-31,765.0,220537
2020-11-30,747.0,220537
2022-03-31,1205.0,220537
2022-01-31,1197.0,220537
2021-11-30,1127.0,220537
2021-07-31,926.0,220537
2021-03-31,884.0,220537
2022-04-30,1270.0,220537
2021-10-31,1017.0,220537
2022-04-30,1278.0,220537
2022-02-28,1175.0,220537
2022-04-30,1229.0,220537
2022-04-30,1199.0,220537
2022-04-30,1208.0,220537
2022-04-30,1240.0,220537
2022-02-28,1175.0,220537
2021-05-31,906.0,220537
2022-03-31,1226.0,220537
2022-02-28,1187.0,220537
2022-03-31,1150.0,220537
2021-10-31,989.0,220537
2021-10-31,1052.0,220537
2021-06-30,912.0,220537
2021-10-31,1082.0,220537
2022-02-28,1004.0,220537
2021-05-31,867.0,220537
2022-03-31,1171.0,220537
2022-04-30,1186.0,220537
2021-10-31,1039.0,220537
2021-11-30,1046.0,220537
2022-04-30,1178.0,220537
2021-02-28,782.0,220537
2022-03-31,1123.0,220537
2022-02-28,1144.0,220537
