DefaultDate,TimeToDefault,NumberOfCredits
2022-03-31,1389.0,149636
2022-03-31,514.0,149636
2022-04-30,575.0,148234
2022-04-30,710.0,148234
2022-02-28,746.0,150530
2022-01-31,774.0,150803
2022-03-31,792.0,149636
2022-01-31,531.0,150803
2022-03-31,590.0,149636
2022-01-31,609.0,150803
2022-04-30,438.0,148234
2022-04-30,488.0,148234
2022-03-31,639.0,149636
2021-10-31,915.0,150804
2021-12-31,1009.0,150804
2022-03-31,959.0,149636
2022-03-31,959.0,149636
2022-01-31,916.0,150803
2021-09-30,798.0,150804
2021-12-31,869.0,150804
2022-04-30,960.0,148234
2022-01-31,791.0,150803
2021-11-30,721.0,150804
2022-03-31,813.0,149636
2022-03-31,814.0,149636
2022-03-31,751.0,149636
2021-12-31,696.0,150804
2022-04-30,785.0,148234
2022-02-28,671.0,150530
2022-01-31,685.0,150803
2022-03-31,748.0,149636
2021-12-31,619.0,150804
2022-04-30,731.0,148234
2021-11-30,571.0,150804
2021-08-31,491.0,150804
2021-11-30,566.0,150804
2021-09-30,443.0,150804
2022-03-31,622.0,149636
2022-03-31,593.0,149636
2022-02-28,559.0,150530
2021-12-31,512.0,150804
2022-03-31,561.0,149636
2021-12-31,480.0,150804
2022-04-30,610.0,148234
2022-03-31,556.0,149636
2022-02-28,562.0,150530
2022-01-31,529.0,150803
2022-01-31,525.0,150803
2022-04-30,527.0,148234
2022-01-31,556.0,150803
2021-10-31,349.0,150804
2022-03-31,513.0,149636
2022-04-30,521.0,148234
2021-11-30,299.0,150804
2021-12-31,319.0,150804
2022-03-31,408.0,149636
2021-12-31,319.0,150804
2021-11-30,316.0,150804
2022-01-31,319.0,150803
2022-04-30,408.0,148234
2022-03-31,399.0,149636
2022-01-31,426.0,150803
2022-02-28,452.0,150530
2021-11-30,244.0,150804
2021-12-31,274.0,150804
2022-03-31,371.0,149636
2022-03-31,685.0,149636
2021-11-30,508.0,150804
2022-01-31,564.0,150803
2022-03-31,997.0,149636
2022-03-31,464.0,149636
2022-01-31,752.0,150803
2022-04-30,408.0,148234
2022-04-30,562.0,148234
2021-12-31,427.0,150804
2022-01-31,844.0,150803
2022-04-30,368.0,148234
2021-10-31,906.0,150804
2022-04-30,512.0,148234
2022-02-28,637.0,150530
2022-04-30,472.0,148234
2021-12-31,610.0,150804
2021-12-31,379.0,150804
2022-03-31,514.0,149636
2022-04-30,438.0,148234
2022-03-31,289.0,149636
2022-01-31,343.0,150803
2021-08-31,880.0,150804
2022-03-31,281.0,149636
2022-02-28,852.0,150530
