DefaultDate,TimeToDefault,NumberOfCredits
2022-02-01,1614.0,495698
2022-01-01,1249.0,499744
2021-11-01,1280.0,503751
2022-02-01,1979.0,495698
2021-11-01,1341.0,503751
2021-10-01,1918.0,504022
2021-09-01,1918.0,504318
2021-05-01,1581.0,505572
2021-06-01,1035.0,505144
2021-05-01,1765.0,505572
2022-01-01,1918.0,499744
2021-10-01,761.0,504022
2021-09-01,943.0,504318
2021-03-01,1673.0,506162
2021-05-01,1430.0,505572
2021-09-01,793.0,504318
2021-10-01,1096.0,504022
2021-03-01,1673.0,506162
2021-05-01,1369.0,505572
2021-02-01,1402.0,508361
2021-02-01,1037.0,508361
2021-03-01,1642.0,506162
2021-02-01,1007.0,508361
2021-09-01,1066.0,504318
2021-11-01,1249.0,503751
2020-12-01,1583.0,508361
2021-05-01,1308.0,505572
2020-12-01,1583.0,508361
2021-05-01,1703.0,505572
2021-01-01,823.0,508361
2021-12-01,761.0,503455
2021-03-01,1216.0,506162
2022-02-01,1188.0,495698
2021-11-01,1826.0,503751
2021-10-01,700.0,504022
2021-12-01,761.0,503455
2021-01-01,1157.0,508361
2021-03-01,1581.0,506162
2021-05-01,1277.0,505572
2021-01-01,1157.0,508361
2021-07-01,608.0,504843
2021-10-01,1887.0,504022
2021-01-01,611.0,508361
2021-11-01,762.0,503751
2021-06-01,762.0,505144
2021-10-01,1553.0,504022
2021-11-01,915.0,503751
2022-01-01,1522.0,499744
2021-09-01,1765.0,504318
2021-07-01,1583.0,504843
2021-01-01,1430.0,508361
2021-08-01,670.0,504580
2021-09-01,1826.0,504318
2022-01-01,853.0,499744
2022-01-01,1492.0,499744
2021-09-01,1735.0,504318
2021-07-01,578.0,504843
2021-05-01,517.0,505572
2021-03-01,1551.0,506162
2021-10-01,1035.0,504022
2021-06-01,1278.0,505144
2021-01-01,1127.0,508361
2021-07-01,912.0,504843
2021-10-01,884.0,504022
2021-01-01,853.0,508361
2021-11-01,823.0,503751
2021-10-01,639.0,504022
2020-12-01,669.0,508361
2021-08-01,974.0,504580
2021-06-01,517.0,505144
2021-06-01,882.0,505144
2021-04-01,1431.0,505865
2021-05-01,1308.0,505572
2021-04-01,821.0,505865
2021-09-01,1704.0,504318
2021-11-01,670.0,503751
2021-06-01,1247.0,505144
2021-05-01,1581.0,505572
2021-03-01,1520.0,506162
2022-01-01,1461.0,499744
2021-03-01,1489.0,506162
2022-01-01,2010.0,499744
2021-12-01,761.0,503455
2021-12-01,1675.0,503455
2021-08-01,1127.0,504580
2021-12-01,975.0,503455
2022-01-01,1310.0,499744
2021-08-01,1277.0,504580
2022-01-01,1795.0,499744
2021-03-01,1155.0,506162
2022-01-01,945.0,499744
2022-01-01,1037.0,499744
2021-01-01,1341.0,508361
2021-01-01,1188.0,508361
2021-10-01,1004.0,504022
2021-12-01,1705.0,503455
2022-02-01,1523.0,495698
2021-12-01,1006.0,503455
2022-02-01,1553.0,495698
2021-12-01,884.0,503455
2022-02-01,1219.0,495698
2022-01-01,1371.0,499744
2022-02-01,1949.0,495698
2021-12-01,1399.0,503455
2022-02-01,1461.0,495698
2021-12-01,1917.0,503455
2022-01-01,762.0,499744
2021-11-01,1310.0,503751
2021-12-01,1461.0,503455
2022-02-01,622.0,495698
2022-01-01,1310.0,499744
2022-01-01,1887.0,499744
2022-02-01,1767.0,495698
2021-07-01,1338.0,504843
2022-02-01,1280.0,495698
2021-11-01,1341.0,503751
2021-11-01,670.0,503751
2021-07-01,608.0,504843
2021-12-01,1310.0,503455
2022-02-01,946.0,495698
2022-01-01,1310.0,499744
2022-01-01,1157.0,499744
2022-01-01,976.0,499744
2021-11-01,1127.0,503751
2021-10-01,639.0,504022
2022-01-01,1188.0,499744
2022-01-01,1157.0,499744
2022-02-01,1737.0,495698
2022-01-01,1857.0,499744
2021-11-01,1645.0,503751
2021-09-01,609.0,504318
2021-09-01,1523.0,504318
2022-02-01,1372.0,495698
2021-09-01,1461.0,504318
2021-10-01,1249.0,504022
2021-12-01,700.0,503455
2021-11-01,1066.0,503751
2021-11-01,762.0,503751
2022-01-01,1280.0,499744
2021-09-01,943.0,504318
2021-10-01,1703.0,504022
2022-01-01,2040.0,499744
2021-09-01,1796.0,504318
2022-02-01,1798.0,495698
2022-02-01,1767.0,495698
2021-07-01,1826.0,504843
2022-02-01,1188.0,495698
2022-02-01,1280.0,495698
2021-09-01,884.0,504318
2021-08-01,1642.0,504580
2021-08-01,578.0,504580
2021-12-01,1675.0,503455
2022-02-01,1372.0,495698
2021-08-01,1188.0,504580
2022-01-01,1706.0,499744
2021-09-01,1584.0,504318
2021-09-01,578.0,504318
2022-02-01,823.0,495698
2021-07-01,1246.0,504843
2022-02-01,1949.0,495698
2022-01-01,853.0,499744
2022-01-01,1736.0,499744
2021-11-01,915.0,503751
2021-12-01,945.0,503455
2021-08-01,1492.0,504580
2021-11-01,1887.0,503751
2021-12-01,1340.0,503455
2021-12-01,669.0,503455
2021-09-01,1461.0,504318
2022-01-01,1430.0,499744
2022-01-01,1614.0,499744
2022-02-01,1433.0,495698
2022-01-01,1736.0,499744
2021-10-01,1644.0,504022
2021-05-01,486.0,505572
2022-01-01,976.0,499744
2021-10-01,1614.0,504022
2021-09-01,1826.0,504318
2021-12-01,1218.0,503455
2021-08-01,1461.0,504580
2021-11-01,1645.0,503751
2021-07-01,1461.0,504843
2021-11-01,1645.0,503751
2021-06-01,517.0,505144
2021-12-01,1705.0,503455
2021-12-01,731.0,503455
2021-08-01,1035.0,504580
2021-09-01,915.0,504318
2022-01-01,1037.0,499744
2021-08-01,1400.0,504580
2022-02-01,1584.0,495698
2022-01-01,884.0,499744
2021-09-01,884.0,504318
2021-07-01,516.0,504843
2021-11-01,701.0,503751
2021-07-01,1611.0,504843
2021-06-01,974.0,505144
2021-12-01,1795.0,503455
2022-01-01,853.0,499744
2021-08-01,884.0,504580
2021-12-01,1371.0,503455
2021-12-01,1065.0,503455
2022-01-01,1979.0,499744
2021-10-01,1035.0,504022
2021-06-01,639.0,505144
2021-10-01,1188.0,504022
2021-08-01,1096.0,504580
2021-08-01,1004.0,504580
2021-11-01,823.0,503751
2021-11-01,494.0,503751
2021-07-01,1034.0,504843
2022-01-01,1402.0,499744
2021-07-01,943.0,504843
2021-11-01,639.0,503751
2021-07-01,731.0,504843
2022-01-01,1767.0,499744
2022-02-01,1706.0,495698
2021-05-01,1277.0,505572
2021-07-01,547.0,504843
2021-09-01,1673.0,504318
2021-06-01,1796.0,505144
2021-05-01,547.0,505572
2021-11-01,1584.0,503751
2021-10-01,1614.0,504022
2021-06-01,762.0,505144
2021-06-01,1369.0,505144
2021-10-01,1035.0,504022
2021-10-01,884.0,504022
2021-10-01,1795.0,504022
2022-01-01,1706.0,499744
2021-10-01,608.0,504022
2021-11-01,1522.0,503751
2021-11-01,1035.0,503751
