DefaultDate,TimeToDefault,NumberOfCredits
2022-01-05,485.0,463147
2022-03-02,546.0,436198
2022-02-10,485.0,447776
2022-03-27,516.0,425527
2022-01-19,348.0,458435
2021-11-25,1892.0,482012
2022-02-25,1668.0,440890
2022-02-25,1542.0,440890
2022-02-25,1372.0,440890
2021-12-26,1249.0,467329
2022-01-14,1185.0,460278
2022-02-25,1165.0,440890
2021-11-16,851.0,482398
2021-09-19,668.0,483938
2021-12-30,668.0,464497
2021-09-08,455.0,484077
2021-12-26,563.0,467329
2022-02-25,283.0,440890
2022-02-25,252.0,440890
2021-12-28,151.0,465257
2021-11-27,485.0,481872
2022-02-03,546.0,450863
2021-12-22,455.0,468822
2021-11-25,315.0,482012
2022-02-26,365.0,440259
2022-01-01,303.0,464028
2022-02-22,334.0,442350
2022-01-25,298.0,455887
2022-01-09,212.0,462108
2022-03-27,283.0,425527
2022-02-25,1563.0,440890
2021-12-29,1399.0,464940
2022-01-25,1342.0,455887
2022-02-22,1096.0,442350
2021-12-25,821.0,467492
2022-03-27,808.0,425527
2022-03-04,729.0,435043
2021-12-24,547.0,467776
2022-03-04,515.0,435043
2021-12-17,394.0,471105
2021-11-17,301.0,482358
2022-01-25,372.0,455887
2022-01-06,3226.0,462881
2022-01-12,1916.0,461191
2021-12-26,263.0,467329
2021-12-29,243.0,464940
2022-02-23,273.0,441865
2022-01-25,216.0,455887
2022-03-29,242.0,422602
2021-11-23,1762.0,482089
2021-08-25,1426.0,484191
2022-03-27,1236.0,425527
2021-12-20,1035.0,469807
2021-12-26,1007.0,467329
2022-01-25,1012.0,455887
2022-02-25,962.0,440890
2022-02-05,821.0,449836
2022-01-25,788.0,455887
2022-03-27,846.0,425527
2022-03-27,670.0,425527
2021-11-25,363.0,482012
2022-02-19,3893.0,443515
2021-11-25,283.0,482012
2021-11-15,251.0,482434
2022-03-01,334.0,436624
2022-01-07,273.0,462703
2022-03-22,242.0,427679
2022-02-25,1444.0,440890
2022-01-25,1232.0,455887
2022-01-25,1215.0,455887
2021-12-26,1133.0,467329
2021-11-18,1063.0,482327
2022-02-25,1059.0,440890
2022-01-04,973.0,463359
2022-02-25,1022.0,440890
2021-12-26,790.0,467329
2022-01-25,783.0,455887
2021-12-28,729.0,465257
2022-02-21,759.0,442981
2022-03-28,607.0,422976
2022-01-27,485.0,454999
2022-01-07,515.0,462703
2021-11-25,455.0,482012
2022-03-18,395.0,429055
2022-03-19,515.0,428538
2022-03-23,546.0,427199
2021-11-06,332.0,482694
2022-02-27,2251.0,439961
2021-11-14,212.0,482462
2022-03-27,292.0,425527
2022-03-27,279.0,425527
2022-03-06,242.0,434296
2021-12-26,1671.0,467329
2022-02-25,1382.0,440890
2022-03-14,1369.0,431194
2022-02-25,1277.0,440890
2021-10-25,1112.0,483200
2022-01-25,1167.0,455887
2022-03-17,1185.0,429570
2022-01-25,1051.0,455887
2021-12-05,760.0,476215
2022-03-27,843.0,425527
2022-03-27,807.0,425527
2022-02-25,743.0,440890
2021-12-26,515.0,467329
2021-12-16,363.0,471621
2022-03-27,1241.0,425527
2022-02-25,1166.0,440890
2021-12-19,1094.0,470179
2021-11-07,1004.0,482676
2021-12-26,1021.0,467329
2022-03-29,1034.0,422602
2021-11-25,638.0,482012
2022-01-26,334.0,455498
2022-02-25,373.0,440890
2022-03-07,364.0,434143
2022-02-25,357.0,440890
2022-02-25,255.0,440890
2022-02-20,212.0,443235
2022-01-06,181.0,462881
2022-03-12,621.0,431550
2022-03-27,606.0,425527
2022-02-09,516.0,448273
2022-03-25,515.0,426248
2022-03-26,423.0,425781
2021-12-26,324.0,467329
2022-02-25,2272.0,440890
2022-03-24,395.0,426757
2021-12-29,232.0,464940
2022-01-28,242.0,453183
2022-01-25,235.0,455887
2021-12-26,1637.0,467329
2022-03-13,1703.0,431358
2022-03-27,1424.0,425527
2022-01-25,1286.0,455887
2021-11-19,1093.0,482283
2021-12-12,943.0,473436
2022-01-18,973.0,458799
2021-09-14,637.0,484002
2021-12-26,545.0,467329
2022-03-16,546.0,430104
2021-11-23,424.0,482089
2022-03-07,515.0,434143
2021-11-16,393.0,482398
2022-03-25,515.0,426248
2021-12-26,340.0,467329
2022-02-21,3254.0,442981
2021-12-19,283.0,470179
2022-03-24,273.0,426757
2022-02-24,1673.0,441379
2022-03-27,1285.0,425527
2021-11-25,1031.0,482012
2021-10-10,912.0,483529
2022-02-08,943.0,448774
2022-02-25,865.0,440890
2022-03-27,618.0,425527
2022-03-27,495.0,425527
2021-11-28,310.0,479524
2022-02-25,393.0,440890
2022-03-27,215.0,425527
2021-11-27,2341.0,481872
2022-03-29,2220.0,422602
2022-02-16,365.0,445185
2021-11-25,265.0,482012
2022-02-25,311.0,440890
2022-01-01,212.0,464028
2022-02-19,243.0,443515
2021-12-26,1537.0,467329
2022-02-25,1429.0,440890
2022-01-25,1384.0,455887
2021-11-25,1141.0,482012
2022-02-25,914.0,440890
2022-02-21,851.0,442981
2022-01-26,776.0,455498
2021-12-15,729.0,472186
2022-03-27,629.0,425527
2021-12-26,541.0,467329
2021-12-22,485.0,468822
2022-02-28,516.0,437871
2022-02-25,456.0,440890
2022-02-28,455.0,437871
2021-12-30,3755.0,464497
2022-03-27,2279.0,425527
2022-01-25,322.0,455887
2022-02-25,297.0,440890
2022-02-28,243.0,437871
2022-03-27,1692.0,425527
2022-02-16,1400.0,445185
2021-12-05,1308.0,476215
2022-02-25,1227.0,440890
2022-03-27,1126.0,425527
2022-03-27,1074.0,425527
2022-02-25,981.0,440890
2022-03-26,1004.0,425781
2021-11-25,791.0,482012
2022-03-27,907.0,425527
2022-03-27,866.0,425527
2022-03-22,820.0,427679
2022-01-25,743.0,455887
2022-03-21,768.0,428219
2022-01-20,668.0,457904
2021-12-09,547.0,474903
2022-01-25,531.0,455887
2021-11-25,393.0,482012
2022-02-25,443.0,440890
2022-01-03,334.0,463642
2022-02-25,311.0,440890
2022-02-15,243.0,445702
