DefaultDate,TimeToDefault,NumberOfCredits
2022-03-31,10601.0,341070
2022-03-31,9633.0,341070
2022-03-31,206.0,341070
2022-01-31,1229.0,342602
2022-03-31,8471.0,341070
2022-03-31,846.0,341070
2022-01-31,7812.0,342602
2022-03-31,7538.0,341070
2022-03-31,1073.0,341070
2022-02-28,7537.0,341910
2022-03-31,1891.0,341070
2022-03-31,736.0,341070
2021-12-31,7347.0,343199
2022-02-28,7006.0,341910
2022-03-31,4007.0,341070
2022-03-31,3818.0,341070
2022-02-28,1221.0,341910
2022-03-31,6324.0,341070
2022-03-31,1242.0,341070
2022-03-31,5869.0,341070
2022-02-28,5684.0,341910
2022-03-31,5242.0,341070
2022-03-31,5550.0,341070
2022-03-31,1549.0,341070
2022-03-31,5337.0,341070
2022-02-28,4547.0,341910
2022-03-31,5236.0,341070
2022-01-31,4886.0,342602
2021-09-30,470.0,343976
2022-02-28,885.0,341910
2022-02-28,4694.0,341910
2022-01-31,4633.0,342602
2022-03-31,4651.0,341070
2021-10-29,3266.0,343911
2021-05-31,4326.0,344139
2022-03-31,4619.0,341070
2022-03-31,1172.0,341070
2022-03-31,748.0,341070
2022-03-31,4375.0,341070
2022-03-31,3426.0,341070
2022-03-31,1564.0,341070
2022-02-28,3661.0,341910
2022-01-31,4066.0,342602
2022-01-31,4039.0,342602
2022-03-31,4048.0,341070
2022-02-28,4014.0,341910
2022-03-31,542.0,341070
2022-02-28,469.0,341910
2022-03-31,573.0,341070
2022-01-31,1585.0,342602
2022-02-28,3923.0,341910
2022-02-28,2061.0,341910
2022-03-31,3909.0,341070
2022-03-31,3886.0,341070
2021-05-31,308.0,344139
2022-03-31,779.0,341070
2022-01-31,3764.0,342602
2022-03-31,3801.0,341070
2021-08-31,3575.0,344022
2022-01-31,3695.0,342602
2022-02-28,3714.0,341910
2021-12-31,3600.0,343199
2022-02-28,2065.0,341910
2021-08-31,3249.0,344022
2022-03-31,3571.0,341070
2022-03-31,3562.0,341070
2022-02-28,3429.0,341910
2021-10-29,3307.0,343911
2022-03-31,3412.0,341070
2022-02-28,2562.0,341910
2022-03-31,1508.0,341070
2022-03-31,883.0,341070
2022-03-31,3307.0,341070
2022-02-28,3262.0,341910
2022-02-28,3261.0,341910
2022-02-28,868.0,341910
2021-06-30,1532.0,344108
2022-03-31,784.0,341070
2022-03-31,3153.0,341070
2022-03-31,2942.0,341070
2022-03-31,1423.0,341070
2022-02-28,1565.0,341910
2022-03-31,3118.0,341070
2022-02-28,3073.0,341910
2022-01-31,3002.0,342602
