DefaultDate,TimeToDefault,NumberOfCredits
2020-11-30,1370.0,551236
2017-11-30,760.0,555918
2017-07-31,1613.0,556179
2019-01-31,2587.0,554490
2021-02-28,1246.0,550602
2018-09-30,943.0,554991
2017-09-30,547.0,556023
2019-07-31,1613.0,553635
2019-07-31,1552.0,553635
2020-06-30,1337.0,552130
2021-03-31,1065.0,550337
2019-03-31,911.0,554228
2018-11-30,1643.0,554731
2017-12-31,2009.0,555848
2020-02-29,1612.0,552576
2021-02-28,669.0,550602
2020-10-31,1887.0,551417
2019-07-31,1886.0,553635
2019-07-31,821.0,553635
2021-04-30,1521.0,550082
2019-11-30,943.0,553044
2021-06-30,638.0,549582
2022-01-31,822.0,539558
2019-05-31,2221.0,553916
2016-09-30,1429.0,556695
2016-11-30,1856.0,556629
2021-07-31,883.0,549311
2021-03-31,486.0,550337
2020-06-30,821.0,552130
2019-08-31,1491.0,553514
2019-12-31,1369.0,552911
2021-09-30,2160.0,549089
2019-02-28,1307.0,554378
2019-03-31,1399.0,554228
2021-06-30,1245.0,549582
2018-09-30,972.0,554991
2021-09-30,2008.0,549089
2017-03-31,1947.0,556447
2022-02-28,1338.0,530863
2022-02-28,515.0,530863
2019-09-30,1582.0,553351
2020-05-31,2617.0,552265
2020-11-30,1643.0,551236
2018-07-31,1217.0,555178
2021-08-31,1825.0,549120
2021-03-31,577.0,550337
2021-04-30,2525.0,550082
2019-08-31,791.0,553514
2017-07-31,1248.0,556179
2019-04-30,1155.0,554100
2018-03-31,1734.0,555593
2018-01-31,2528.0,555756
2017-07-31,973.0,556179
2017-07-31,272.0,556179
2016-11-30,791.0,556629
2019-03-31,2921.0,554228
2017-03-31,547.0,556447
2021-07-31,2007.0,549311
2019-08-31,699.0,553514
2021-01-31,853.0,550863
2019-09-30,1825.0,553351
2020-12-31,1552.0,551067
2018-02-28,1338.0,555690
2021-06-30,2464.0,549582
2021-06-30,1916.0,549582
2016-11-30,852.0,556629
2019-07-31,851.0,553635
2020-04-30,881.0,552351
2017-10-31,883.0,555977
2021-12-31,2436.0,547181
2021-07-31,1733.0,549311
2021-12-31,3166.0,547181
2017-11-30,760.0,555918
2020-03-31,1643.0,552434
2020-03-31,1095.0,552434
2017-08-31,2161.0,556086
2020-02-29,1154.0,552576
2020-02-29,1003.0,552576
2020-02-29,850.0,552576
2019-07-31,2737.0,553635
2021-09-30,2313.0,549089
2022-01-31,701.0,539558
2020-01-31,1094.0,552741
2020-01-31,2647.0,552741
2018-11-30,759.0,554731
2021-01-31,671.0,550863
2021-11-30,2770.0,548478
2019-04-30,2890.0,554100
2019-07-31,1276.0,553635
2021-09-30,425.0,549089
2021-07-31,730.0,549311
2019-08-31,941.0,553514
2019-04-30,1155.0,554100
2019-08-31,2099.0,553514
2019-08-31,1734.0,553514
2021-06-30,1886.0,549582
2018-08-31,1004.0,555076
2019-04-30,1399.0,554100
2019-04-30,2951.0,554100
2021-03-31,639.0,550337
2019-02-28,1733.0,554378
2021-09-30,3621.0,549089
2018-08-31,576.0,555076
2020-12-31,2952.0,551067
2021-07-31,395.0,549311
2019-04-30,2037.0,554100
2018-01-31,1401.0,555756
2018-01-31,336.0,555756
2016-08-31,1552.0,556725
2021-09-30,607.0,549089
2018-11-30,1855.0,554731
2020-02-29,577.0,552576
2019-03-31,1094.0,554228
2020-07-31,1217.0,551961
2018-06-30,2098.0,555304
2019-12-31,395.0,552911
2018-12-31,2770.0,554673
2018-07-31,545.0,555178
2018-05-31,1491.0,555412
2018-10-31,1156.0,554870
2019-03-31,1430.0,554228
2018-07-31,1521.0,555178
2021-12-31,2313.0,547181
2021-12-31,914.0,547181
2018-10-31,760.0,554870
2019-11-30,2982.0,553044
2020-10-31,1065.0,551417
2019-10-31,1978.0,553201
2017-07-31,761.0,556179
2022-03-31,2037.0,520799
2020-12-31,1340.0,551067
2017-05-31,2099.0,556324
2017-07-31,883.0,556179
2018-05-31,2526.0,555412
2021-03-31,395.0,550337
2019-07-31,3043.0,553635
2019-09-30,1643.0,553351
2021-03-31,2100.0,550337
2016-11-30,668.0,556629
2017-08-31,1004.0,556086
2017-12-31,1005.0,555848
2020-11-30,3135.0,551236
2021-01-31,2041.0,550863
2018-10-31,1460.0,554870
2017-05-31,1187.0,556324
2019-10-31,1155.0,553201
2020-11-30,3225.0,551236
2018-11-30,1613.0,554731
2020-10-31,3440.0,551417
2021-05-31,881.0,549877
2018-06-30,2037.0,555304
2021-08-31,1248.0,549120
2017-08-31,1095.0,556086
2019-01-31,974.0,554490
2020-12-31,1918.0,551067
2020-12-31,2862.0,551067
2019-06-30,2251.0,553775
2017-09-30,1552.0,556023
2018-03-31,1642.0,555593
2019-08-31,1583.0,553514
2020-11-30,3287.0,551236
2021-05-31,881.0,549877
2021-07-31,2709.0,549311
2021-05-31,1460.0,549877
2021-01-31,1736.0,550863
2018-10-31,2495.0,554870
2021-12-31,1705.0,547181
2018-01-31,853.0,555756
2021-03-31,2130.0,550337
2019-12-31,2070.0,552911
2016-12-31,1429.0,556589
2022-03-31,1460.0,520799
2021-05-31,1187.0,549877
2021-10-31,1705.0,548796
2017-01-31,1371.0,556544
2019-06-30,1551.0,553775
2019-02-28,941.0,554378
2017-01-31,1095.0,556544
2017-12-31,2313.0,555848
2021-08-31,2495.0,549120
2017-06-30,515.0,556243
2019-07-31,2037.0,553635
2021-08-31,1825.0,549120
2021-09-30,3013.0,549089
2021-10-31,1705.0,548796
2021-05-31,1338.0,549877
2017-12-31,578.0,555848
2021-02-28,1519.0,550602
2021-02-28,973.0,550602
2018-10-31,1978.0,554870
2022-04-30,1764.0,509496
2019-09-30,1978.0,553351
2020-06-30,1734.0,552130
2019-10-31,1247.0,553201
2021-10-31,3500.0,548796
2019-06-30,1032.0,553775
2020-12-31,2436.0,551067
2020-05-31,3226.0,552265
2019-02-28,880.0,554378
2019-01-31,2832.0,554490
2018-10-31,882.0,554870
2020-04-30,1521.0,552351
2019-04-30,2616.0,554100
2019-08-31,1825.0,553514
2021-02-28,1307.0,550602
2018-03-31,1856.0,555593
2016-06-30,699.0,556804
2021-04-30,2737.0,550082
2020-09-30,426.0,551638
2021-11-30,517.0,548478
2018-10-31,1430.0,554870
2018-04-30,1307.0,555517
2018-10-31,882.0,554870
2017-06-30,1916.0,556243
2018-10-31,1491.0,554870
2019-08-31,2860.0,553514
2021-09-30,3500.0,549089
2021-02-28,1550.0,550602
2021-02-28,1185.0,550602
2017-02-28,1123.0,556486
2020-09-30,2464.0,551638
2020-09-30,1095.0,551638
2017-07-31,1217.0,556179
2021-06-30,2951.0,549582
2019-10-31,2313.0,553201
2019-10-31,1978.0,553201
2019-10-31,1795.0,553201
2017-06-30,2282.0,556243
2018-01-31,1491.0,555756
2020-03-31,1673.0,552434
2018-12-31,851.0,554673
2018-07-31,1248.0,555178
2017-02-28,2160.0,556486
2017-10-31,1065.0,555977
2021-04-30,2951.0,550082
2022-01-31,3623.0,539558
2021-08-31,364.0,549120
2019-12-31,1644.0,552911
2019-04-30,2737.0,554100
2018-03-31,1246.0,555593
2018-06-30,1733.0,555304
2020-11-30,1156.0,551236
2021-09-30,1460.0,549089
2021-12-31,852.0,547181
2016-08-31,853.0,556725
2021-03-31,1034.0,550337
2017-01-31,702.0,556544
2018-03-31,1672.0,555593
2020-12-31,2648.0,551067
2019-10-31,2435.0,553201
2017-10-31,700.0,555977
2020-12-31,457.0,551067
2019-08-31,2739.0,553514
2018-04-30,425.0,555517
2019-09-30,1643.0,553351
2018-01-31,1552.0,555756
2019-01-31,791.0,554490
2021-01-31,2832.0,550863
2021-09-30,1613.0,549089
2017-05-31,608.0,556324
2022-03-31,1884.0,520799
2022-03-31,1611.0,520799
2020-12-31,3196.0,551067
2018-06-30,820.0,555304
2017-06-30,1460.0,556243
2020-10-31,1034.0,551417
2021-05-31,2860.0,549877
2020-11-30,1339.0,551236
