DefaultDate,TimeToDefault,NumberOfCredits
2021-10-05,1216.0,491264
2021-07-05,1739.0,491264
2021-08-05,1142.0,491264
2021-07-05,1392.0,491264
2022-03-04,1725.0,491245
2021-06-04,2474.0,491264
2021-10-05,986.0,491264
2022-04-05,2624.0,491195
2021-09-03,2166.0,491264
2021-09-03,1543.0,491264
2021-09-03,1128.0,491264
2021-04-06,1607.0,491264
2021-09-03,1025.0,491264
2022-01-05,2280.0,491261
2021-08-05,2681.0,491264
2022-03-04,1961.0,491245
2021-11-05,1254.0,491264
2021-04-06,2297.0,491264
2021-04-06,1813.0,491264
2021-09-03,938.0,491264
2022-02-04,1822.0,491256
2022-04-05,1888.0,491195
2021-12-03,1022.0,491262
2021-10-05,1078.0,491264
2021-11-05,2305.0,491264
2022-02-04,1562.0,491256
2021-12-29,2109.0,491261
2021-08-05,1163.0,491264
2021-06-04,2389.0,491264
2021-08-05,1393.0,491264
2021-05-05,2169.0,491264
2022-02-24,2855.0,491245
2021-12-03,2611.0,491262
2021-03-05,1592.0,491264
2021-07-05,1323.0,491264
2022-01-27,1380.0,491256
2021-07-05,1013.0,491264
2021-09-03,1387.0,491264
2022-03-29,1595.0,491195
2022-03-29,1489.0,491195
2021-06-04,934.0,491264
2021-09-03,1059.0,491264
2021-08-05,1165.0,491264
2021-12-29,1687.0,491261
2021-03-05,1439.0,491264
2022-01-05,1679.0,491261
2021-12-03,1540.0,491262
2021-10-05,1288.0,491264
2021-09-03,945.0,491264
2022-03-04,1474.0,491245
2021-09-03,1653.0,491264
2022-03-04,1746.0,491245
2021-06-04,1506.0,491264
2021-06-04,955.0,491264
2021-09-03,1130.0,491264
2022-03-04,1999.0,491245
2021-12-03,1134.0,491262
2021-12-03,2038.0,491262
2021-12-03,1989.0,491262
2021-12-03,1614.0,491262
2021-07-05,1603.0,491264
2021-07-05,1475.0,491264
2021-12-03,1387.0,491262
2021-12-03,1249.0,491262
2021-12-03,1136.0,491262
2022-03-04,1176.0,491245
2022-01-05,1414.0,491261
2021-05-05,1373.0,491264
2021-08-05,1616.0,491264
2021-08-05,2158.0,491264
2022-03-04,1488.0,491245
2021-09-03,1631.0,491264
2022-01-27,2184.0,491256
2022-02-04,1698.0,491256
2022-02-04,1193.0,491256
2022-04-05,1419.0,491195
2021-11-05,1438.0,491264
2022-03-04,2460.0,491245
2021-10-27,1392.0,491264
2021-10-05,1421.0,491264
2022-01-05,1910.0,491261
2021-11-05,1963.0,491264
2022-02-04,1900.0,491256
2022-02-04,1449.0,491256
2021-07-28,1916.0,491264
