DefaultDate,TimeToDefault,NumberOfCredits
2021-05-05,313.0,204095
2021-04-05,403.0,214060
2021-08-05,377.0,156525
2021-12-05,831.0,98011
2021-04-05,313.0,214060
2021-04-05,1378.0,214060
2021-04-05,1335.0,214060
2021-12-05,475.0,98011
2022-03-05,785.0,57925
2021-04-05,229.0,214060
2021-11-05,725.0,109854
2021-03-05,171.0,227366
2021-10-05,1260.0,122034
2022-03-05,1808.0,57925
2021-09-05,1131.0,139069
2022-04-05,1547.0,43570
2021-11-05,1470.0,109854
2021-11-05,605.0,109854
2021-04-05,650.0,214060
2021-12-05,1221.0,98011
2021-06-05,1430.0,191823
2022-01-05,1051.0,85444
2021-03-05,941.0,227366
2021-06-05,1160.0,191823
2021-08-05,411.0,156525
2021-08-05,317.0,156525
2022-01-05,768.0,85444
2021-06-05,1103.0,191823
2021-08-05,1168.0,156525
2021-08-05,561.0,156525
2021-09-05,422.0,139069
2022-03-05,962.0,57925
2021-08-05,369.0,156525
2022-04-05,1126.0,43570
2022-01-05,1387.0,85444
2021-07-05,695.0,173602
2021-07-05,363.0,173602
2021-07-05,557.0,173602
2021-10-05,797.0,122034
2021-06-05,389.0,191823
2021-06-05,380.0,191823
2021-05-05,275.0,204095
2022-01-05,690.0,85444
2022-03-05,816.0,57925
2022-01-05,1553.0,85444
2021-12-05,1816.0,98011
2021-05-05,1154.0,204095
2021-12-05,1028.0,98011
2022-04-05,1060.0,43570
2021-09-05,698.0,139069
2022-01-05,1652.0,85444
2022-01-05,1647.0,85444
2021-11-05,1295.0,109854
2021-07-05,849.0,173602
2022-04-05,798.0,43570
2021-12-05,453.0,98011
2022-01-05,872.0,85444
2022-03-05,739.0,57925
2021-12-05,885.0,98011
2022-02-05,540.0,72677
2022-03-05,809.0,57925
2021-12-05,779.0,98011
2021-07-05,615.0,173602
2022-04-05,636.0,43570
2022-02-05,715.0,72677
2021-05-05,650.0,204095
2022-03-05,969.0,57925
2021-06-05,1005.0,191823
2022-03-05,1901.0,57925
2021-08-05,622.0,156525
2021-08-05,386.0,156525
2021-04-05,214.0,214060
2021-09-05,520.0,139069
2022-01-05,658.0,85444
2021-05-05,1114.0,204095
2022-04-05,700.0,43570
2022-01-05,967.0,85444
2021-10-05,476.0,122034
2021-07-05,371.0,173602
2021-07-05,513.0,173602
2022-01-05,1898.0,85444
2021-03-05,1253.0,227366
2021-12-05,888.0,98011
2021-10-05,1448.0,122034
2021-11-05,606.0,109854
2021-06-05,502.0,191823
2021-04-05,215.0,214060
2021-10-05,1420.0,122034
2021-07-05,1243.0,173602
2021-07-05,727.0,173602
2021-11-05,1477.0,109854
2021-07-05,567.0,173602
2021-08-05,566.0,156525
2021-12-05,804.0,98011
2021-04-05,611.0,214060
2021-08-05,748.0,156525
2021-09-05,516.0,139069
2021-11-05,862.0,109854
2021-09-05,503.0,139069
2021-08-05,1787.0,156525
2021-11-05,807.0,109854
2021-11-05,422.0,109854
2021-10-05,862.0,122034
2021-05-05,366.0,204095
2022-02-05,868.0,72677
2021-10-05,944.0,122034
2021-12-05,590.0,98011
2021-06-05,715.0,191823
2021-09-05,969.0,139069
2022-04-05,577.0,43570
2022-02-05,814.0,72677
2022-01-05,1394.0,85444
2021-09-05,1005.0,139069
2022-02-05,873.0,72677
2021-11-05,410.0,109854
2021-05-05,239.0,204095
2022-04-05,1309.0,43570
2021-06-05,946.0,191823
2022-02-05,784.0,72677
2022-03-05,886.0,57925
2021-09-05,768.0,139069
2021-12-05,778.0,98011
2022-01-05,834.0,85444
2022-02-05,915.0,72677
2021-12-05,829.0,98011
2022-04-05,2665.0,43570
2021-09-05,935.0,139069
2022-01-05,1255.0,85444
2021-09-05,396.0,139069
2021-10-05,479.0,122034
2021-04-05,251.0,214060
2021-07-05,518.0,173602
2021-12-05,874.0,98011
2022-01-05,609.0,85444
2021-08-05,338.0,156525
2021-06-05,577.0,191823
2022-01-05,1157.0,85444
2022-03-05,2663.0,57925
2021-04-05,205.0,214060
2022-02-05,928.0,72677
2021-07-05,849.0,173602
2021-09-05,1005.0,139069
2021-10-05,414.0,122034
2021-04-05,236.0,214060
2021-09-05,454.0,139069
2022-03-05,607.0,57925
2021-06-05,541.0,191823
2021-04-05,861.0,214060
2022-03-05,854.0,57925
2021-07-05,335.0,173602
2021-05-05,396.0,204095
2022-01-05,880.0,85444
2022-04-05,756.0,43570
2021-04-05,919.0,214060
2022-03-05,717.0,57925
2021-04-05,367.0,214060
2021-05-05,1079.0,204095
2021-11-05,602.0,109854
2021-07-05,314.0,173602
2021-10-05,462.0,122034
2021-09-05,446.0,139069
2021-05-05,298.0,204095
2022-01-05,1203.0,85444
2022-04-05,783.0,43570
2021-10-05,685.0,122034
2021-09-05,642.0,139069
2021-12-05,467.0,98011
2022-03-05,1012.0,57925
2021-10-05,384.0,122034
2021-10-05,1664.0,122034
2021-08-05,1080.0,156525
2021-10-05,1651.0,122034
2022-03-05,880.0,57925
2021-04-05,734.0,214060
2021-06-05,509.0,191823
2021-08-05,479.0,156525
2021-07-05,328.0,173602
2022-04-05,965.0,43570
2021-09-05,1300.0,139069
2021-10-05,1023.0,122034
2021-05-05,772.0,204095
2022-01-05,720.0,85444
2021-09-05,1238.0,139069
2021-11-05,459.0,109854
2021-03-05,277.0,227366
2022-01-05,860.0,85444
2022-01-05,1311.0,85444
2021-05-05,442.0,204095
2021-10-05,641.0,122034
2021-10-05,1617.0,122034
2021-04-05,250.0,214060
2022-04-05,575.0,43570
2021-11-05,808.0,109854
2022-03-05,1369.0,57925
2021-12-05,669.0,98011
2022-03-05,638.0,57925
2021-12-05,669.0,98011
2021-04-05,298.0,214060
2021-04-05,650.0,214060
2021-04-05,644.0,214060
2022-01-05,1203.0,85444
2021-06-05,702.0,191823
2021-07-05,511.0,173602
2021-08-05,1267.0,156525
2021-10-05,487.0,122034
2021-05-05,818.0,204095
2021-05-05,459.0,204095
2021-12-05,913.0,98011
2022-02-05,1377.0,72677
2022-02-05,526.0,72677
2021-06-05,277.0,191823
2022-01-05,727.0,85444
2021-08-05,713.0,156525
2021-04-05,200.0,214060
2021-04-05,523.0,214060
2021-05-05,593.0,204095
2022-02-05,967.0,72677
2022-01-05,548.0,85444
2022-01-05,667.0,85444
2021-12-05,793.0,98011
2021-09-05,416.0,139069
2021-09-05,570.0,139069
2021-10-05,447.0,122034
2021-04-05,327.0,214060
2022-03-05,535.0,57925
2021-05-05,453.0,204095
2021-07-05,578.0,173602
2022-04-05,1754.0,43570
2021-07-05,503.0,173602
2021-05-05,225.0,204095
2021-07-05,296.0,173602
2021-05-05,231.0,204095
2021-07-05,290.0,173602
2022-03-05,1711.0,57925
2022-03-05,735.0,57925
2021-05-05,237.0,204095
2021-05-05,454.0,204095
2021-04-05,270.0,214060
2021-07-05,395.0,173602
2022-01-05,790.0,85444
2021-06-05,457.0,191823
2021-09-05,564.0,139069
2021-05-05,247.0,204095
2022-04-05,638.0,43570
2021-06-05,1348.0,191823
2021-08-05,325.0,156525
2021-05-05,1080.0,204095
2022-03-05,557.0,57925
2022-03-05,547.0,57925
2021-08-05,1673.0,156525
2022-04-05,1806.0,43570
2022-02-05,505.0,72677
2022-04-05,1260.0,43570
2022-01-05,565.0,85444
2021-12-05,1497.0,98011
2021-07-05,852.0,173602
2022-04-05,789.0,43570
2022-02-05,688.0,72677
2021-04-05,794.0,214060
2022-01-05,1456.0,85444
2022-03-05,718.0,57925
2021-12-05,1357.0,98011
2021-11-05,632.0,109854
2021-12-05,859.0,98011
2022-02-05,617.0,72677
2021-07-05,614.0,173602
