DefaultDate,TimeToDefault,NumberOfCredits
2022-04-13,3387.0,298122
2022-04-15,3154.0,297801
2022-04-13,3120.0,298122
2022-04-04,2916.0,300933
2022-04-14,2788.0,297949
2022-04-25,2625.0,295371
2022-04-13,2613.0,298122
2022-04-13,2583.0,298122
2022-04-12,2566.0,298313
2022-04-13,2479.0,298122
2022-04-06,2507.0,300749
2022-04-06,2480.0,300749
2022-04-25,2485.0,295371
2022-04-08,2458.0,300452
2022-04-07,2439.0,300589
2022-04-12,2433.0,298313
2022-04-04,2411.0,300933
2022-04-15,2410.0,297801
2022-04-25,2413.0,295371
2022-04-15,2354.0,297801
2022-04-07,2316.0,300589
2022-04-22,2334.0,295667
2022-04-26,2349.0,295350
2022-04-06,2316.0,300749
2022-04-15,2306.0,297801
2022-04-14,2313.0,297949
2022-04-26,2323.0,295350
2022-04-04,2289.0,300933
2022-04-04,2252.0,300933
2022-04-14,2257.0,297949
2022-04-20,2256.0,297485
2022-04-14,2246.0,297949
2022-04-21,2246.0,295884
2022-04-25,2208.0,295371
2022-04-14,2178.0,297949
2022-04-25,2184.0,295371
2022-04-14,2173.0,297949
2022-04-11,2166.0,298363
2022-04-04,2145.0,300933
2022-04-14,2149.0,297949
2022-04-27,2102.0,295192
2022-04-25,2142.0,295371
2022-04-14,2128.0,297949
2022-04-20,2121.0,297485
2022-04-20,2121.0,297485
2022-04-12,2101.0,298313
2022-04-26,2115.0,295350
2022-04-21,2103.0,295884
2022-04-13,2074.0,298122
2022-04-22,2073.0,295667
2022-04-21,2030.0,295884
2022-04-11,2019.0,298363
2022-04-26,2029.0,295350
2022-04-13,2018.0,298122
2022-04-15,2005.0,297801
2022-04-14,1995.0,297949
2022-04-13,1988.0,298122
2022-04-04,1977.0,300933
2022-04-08,1971.0,300452
2022-04-21,1984.0,295884
2022-04-14,1975.0,297949
2022-04-19,1968.0,297645
2022-04-25,1966.0,295371
2022-04-04,1949.0,300933
2022-04-12,1947.0,298313
2022-04-26,1958.0,295350
2022-04-08,1921.0,300452
2022-04-15,1940.0,297801
2022-04-13,1931.0,298122
2022-04-15,1915.0,297801
2022-04-13,1909.0,298122
2022-04-14,1896.0,297949
2022-04-04,1886.0,300933
2022-04-13,1892.0,298122
2022-04-12,1884.0,298313
2022-04-05,1862.0,300904
2022-04-25,1897.0,295371
2022-04-14,1863.0,297949
2022-04-14,1855.0,297949
2022-04-13,1860.0,298122
2022-04-11,1840.0,298363
2022-04-14,1842.0,297949
2022-04-07,1833.0,300589
2022-04-26,1834.0,295350
2022-04-10,1817.0,300246
2022-04-13,1800.0,298122
2022-04-08,1795.0,300452
2022-04-22,1781.0,295667
2022-04-11,1783.0,298363
2022-04-22,1794.0,295667
2022-04-15,1785.0,297801
2022-04-11,1781.0,298363
2022-04-20,1787.0,297485
2022-04-04,1768.0,300933
2022-04-20,1787.0,297485
2022-04-15,1782.0,297801
2022-04-14,1781.0,297949
2022-04-22,1758.0,295667
2022-04-22,1778.0,295667
2022-04-25,1774.0,295371
2022-04-15,1765.0,297801
2022-04-13,1762.0,298122
2022-04-04,1750.0,300933
2022-04-21,1765.0,295884
2022-04-15,1747.0,297801
2022-04-21,1751.0,295884
2022-04-13,1741.0,298122
2022-04-15,1743.0,297801
2022-04-26,1754.0,295350
2022-04-27,1752.0,295192
2022-04-27,1742.0,295192
2022-04-13,1717.0,298122
2022-04-20,1728.0,297485
2022-04-14,1722.0,297949
2022-04-04,1708.0,300933
2022-04-22,1710.0,295667
2022-04-25,1708.0,295371
2022-04-14,1690.0,297949
2022-04-14,1687.0,297949
2022-04-25,1687.0,295371
2022-04-28,1683.0,295046
2022-04-11,1666.0,298363
2022-04-04,1650.0,300933
2022-04-15,1658.0,297801
2022-04-27,1661.0,295192
2022-04-28,1624.0,295046
2022-04-25,1650.0,295371
2022-04-25,1652.0,295371
2022-04-26,1651.0,295350
2022-04-25,1645.0,295371
2022-04-10,1627.0,300246
2022-04-27,1645.0,295192
2022-04-14,1630.0,297949
2022-04-21,1609.0,295884
2022-04-21,1599.0,295884
2022-04-11,1589.0,298363
2022-04-13,1584.0,298122
2022-04-25,1592.0,295371
2022-04-26,1538.0,295350
2022-04-26,1581.0,295350
2022-04-26,1567.0,295350
2022-04-13,1549.0,298122
2022-04-26,1558.0,295350
2022-04-19,1551.0,297645
2022-04-08,1535.0,300452
2022-04-04,1524.0,300933
2022-04-15,1527.0,297801
2022-04-25,1531.0,295371
2022-04-11,1519.0,298363
2022-04-06,1507.0,300749
2022-04-21,1526.0,295884
2022-04-07,1492.0,300589
2022-04-21,1522.0,295884
2022-04-26,1525.0,295350
2022-04-14,1504.0,297949
2022-04-27,1507.0,295192
2022-04-25,1495.0,295371
2022-04-27,1500.0,295192
2022-04-28,1499.0,295046
2022-04-14,1484.0,297949
2022-04-28,1498.0,295046
2022-04-04,1468.0,300933
2022-04-13,1474.0,298122
2022-04-25,1483.0,295371
2022-04-15,1465.0,297801
2022-04-27,1476.0,295192
2022-04-25,1470.0,295371
2022-04-01,1442.0,301255
2022-04-11,1454.0,298363
2022-04-11,1453.0,298363
2022-04-21,1459.0,295884
2022-04-27,1447.0,295192
2022-04-14,1434.0,297949
2022-04-14,1431.0,297949
2022-04-06,1409.0,300749
2022-04-04,1407.0,300933
2022-04-14,1413.0,297949
2022-04-15,1409.0,297801
2022-04-13,1400.0,298122
2022-04-15,1404.0,297801
2022-04-15,1404.0,297801
2022-04-11,1370.0,298363
2022-04-11,1393.0,298363
2022-04-21,1396.0,295884
2022-04-15,1387.0,297801
2022-04-19,1391.0,297645
2022-04-10,1378.0,300246
2022-04-12,1380.0,298313
2022-04-12,1378.0,298313
2022-04-19,1385.0,297645
2022-04-04,1370.0,300933
2022-04-11,1370.0,298363
2022-04-27,1385.0,295192
2022-04-11,1369.0,298363
2022-04-15,1348.0,297801
2022-04-27,1377.0,295192
2022-04-14,1364.0,297949
2022-04-19,1364.0,297645
2022-04-10,1353.0,300246
2022-04-20,1363.0,297485
2022-04-04,1344.0,300933
2022-04-14,1354.0,297949
2022-04-21,1352.0,295884
2022-04-15,1345.0,297801
2022-04-27,1356.0,295192
2022-04-08,1337.0,300452
2022-04-14,1337.0,297949
2022-04-04,1319.0,300933
2022-04-15,1317.0,297801
2022-04-11,1316.0,298363
2022-04-13,1317.0,298122
2022-04-15,1318.0,297801
2022-04-15,1313.0,297801
2022-04-14,1309.0,297949
2022-04-15,1306.0,297801
2022-04-27,1318.0,295192
2022-04-14,1291.0,297949
2022-04-20,1309.0,297485
2022-04-04,1286.0,300933
2022-04-11,1293.0,298363
2022-04-14,1280.0,297949
2022-04-14,1282.0,297949
2022-04-21,1281.0,295884
2022-04-21,1284.0,295884
2022-04-15,1276.0,297801
2022-04-27,1283.0,295192
2022-04-08,1264.0,300452
2022-04-25,1263.0,295371
2022-04-11,1264.0,298363
2022-04-20,1272.0,297485
2022-04-13,1261.0,298122
2022-04-14,1263.0,297949
2022-04-11,1260.0,298363
2022-04-21,1270.0,295884
2022-04-27,1269.0,295192
2022-04-27,1269.0,295192
2022-04-11,1250.0,298363
2022-04-11,1244.0,298363
2022-04-14,1246.0,297949
2022-04-13,1239.0,298122
2022-04-27,1253.0,295192
2022-04-13,1239.0,298122
2022-04-14,1240.0,297949
2022-04-26,1251.0,295350
2022-04-27,1248.0,295192
2022-04-11,1225.0,298363
2022-04-08,1219.0,300452
2022-04-07,1203.0,300589
2022-04-21,1224.0,295884
2022-04-14,1217.0,297949
