DefaultDate,TimeToDefault,NumberOfCredits
2021-11-30,987.0,173812
2021-11-30,732.0,173812
2021-11-30,249.0,173812
2021-11-30,1567.0,173812
2021-11-30,519.0,173812
2021-11-30,785.0,173812
2021-11-30,827.0,173812
2021-11-30,1510.0,173812
2021-11-30,705.0,173812
2021-11-30,1526.0,173812
2021-11-30,1330.0,173812
2021-11-30,840.0,173812
2021-11-30,1943.0,173812
2021-11-30,1117.0,173812
2022-01-31,1691.0,160998
2022-01-31,740.0,160998
2021-11-30,693.0,173812
2022-01-31,1442.0,160998
2022-01-31,333.0,160998
2022-01-31,448.0,160998
2022-01-31,1783.0,160998
2022-01-31,538.0,160998
2022-01-31,1447.0,160998
2022-01-31,663.0,160998
2022-01-31,475.0,160998
2021-08-31,497.0,191674
2021-08-31,258.0,191674
2021-08-31,837.0,191674
2021-08-31,991.0,191674
2021-08-31,1441.0,191674
2021-08-31,340.0,191674
2021-08-31,1030.0,191674
2021-09-30,710.0,186242
2021-09-30,1305.0,186242
2021-09-30,1088.0,186242
2021-09-30,927.0,186242
2021-09-30,1052.0,186242
2021-09-30,1189.0,186242
2022-02-28,685.0,154712
2022-02-28,950.0,154712
2022-02-28,447.0,154712
2022-02-28,553.0,154712
2022-02-28,1253.0,154712
2022-02-28,2104.0,154712
2022-02-28,466.0,154712
2022-02-28,1029.0,154712
2022-02-28,875.0,154712
2021-12-31,1030.0,167332
2021-12-31,653.0,167332
2021-12-31,562.0,167332
2021-12-31,1345.0,167332
2021-12-31,1396.0,167332
2021-12-31,1113.0,167332
2021-12-31,1530.0,167332
2021-12-31,883.0,167332
2021-12-31,427.0,167332
2021-12-31,974.0,167332
2021-12-31,1617.0,167332
2021-12-31,801.0,167332
2021-12-31,773.0,167332
2021-12-31,1290.0,167332
2021-08-31,901.0,191674
2022-03-31,1252.0,147215
2022-03-31,560.0,147215
2022-03-31,765.0,147215
2022-03-31,1283.0,147215
2022-03-31,980.0,147215
2022-04-29,1116.0,139304
2022-04-29,325.0,139304
2022-04-29,1260.0,139304
2022-04-29,1338.0,139304
2022-04-29,1620.0,139304
2022-04-29,701.0,139304
2022-04-29,399.0,139304
2022-04-29,1368.0,139304
2022-03-31,2123.0,147215
2022-04-29,1096.0,139304
2022-03-31,1284.0,147215
2022-02-28,188.0,154712
2022-02-28,1020.0,154712
2022-02-28,1179.0,154712
2022-02-28,1538.0,154712
2021-12-31,994.0,167332
2021-12-31,1136.0,167332
2021-12-31,1586.0,167332
2021-12-31,1246.0,167332
2021-12-31,381.0,167332
2022-01-31,781.0,160998
2022-01-31,696.0,160998
2022-01-31,770.0,160998
2022-01-31,1260.0,160998
2022-01-31,1110.0,160998
2022-01-31,1588.0,160998
2022-01-31,712.0,160998
2022-01-31,1300.0,160998
2022-02-28,572.0,154712
2022-03-31,762.0,147215
2022-03-31,1095.0,147215
2022-03-31,1248.0,147215
2022-03-31,951.0,147215
2022-03-31,1128.0,147215
2022-03-31,1427.0,147215
2022-03-31,660.0,147215
2022-03-31,912.0,147215
2022-03-31,1659.0,147215
2022-03-31,1284.0,147215
2022-01-31,1414.0,160998
2021-08-31,1643.0,191674
2021-08-31,721.0,191674
2021-12-31,1408.0,167332
2021-12-31,1744.0,167332
2021-12-31,438.0,167332
2021-12-31,316.0,167332
2021-12-31,961.0,167332
2021-07-30,611.0,197749
2021-06-30,1223.0,203636
2022-02-28,510.0,154712
2021-11-30,462.0,173812
2022-02-28,825.0,154712
2022-02-28,1294.0,154712
2022-02-28,1251.0,154712
2022-02-28,1274.0,154712
2022-02-28,1341.0,154712
2022-03-31,1280.0,147215
2022-03-31,570.0,147215
2022-03-31,409.0,147215
2021-11-30,1288.0,173812
2021-11-30,816.0,173812
2021-11-30,1481.0,173812
2021-11-30,693.0,173812
2021-11-30,792.0,173812
2021-11-30,523.0,173812
2021-11-30,1371.0,173812
2022-04-29,891.0,139304
2022-04-29,780.0,139304
2022-04-29,609.0,139304
2021-11-30,400.0,173812
2021-11-30,1313.0,173812
2021-12-31,1017.0,167332
2021-12-31,560.0,167332
2022-01-31,844.0,160998
2022-01-31,56.0,160998
2022-01-31,1182.0,160998
2022-02-28,1187.0,154712
2022-02-28,371.0,154712
2022-02-28,1004.0,154712
2022-02-28,1193.0,154712
2022-02-28,707.0,154712
2022-02-28,1067.0,154712
2021-11-30,686.0,173812
2022-02-28,473.0,154712
2022-02-28,1182.0,154712
2022-02-28,906.0,154712
2022-03-31,1288.0,147215
2022-03-31,1583.0,147215
2022-03-31,846.0,147215
2022-03-31,1084.0,147215
2022-03-31,716.0,147215
2022-03-31,525.0,147215
2022-03-31,513.0,147215
2022-03-31,883.0,147215
2022-03-31,807.0,147215
2022-03-31,280.0,147215
2022-03-31,1114.0,147215
2022-02-28,1498.0,154712
2021-11-30,707.0,173812
2021-11-30,194.0,173812
2021-11-30,617.0,173812
