DefaultDate,TimeToDefault,NumberOfCredits
2021-10-31,1377.0,227400
2022-01-31,917.0,222396
2022-01-31,731.0,222396
2022-01-31,524.0,222396
2022-02-28,1026.0,219123
2021-05-31,677.0,229094
2021-06-30,1244.0,228766
2021-12-31,877.0,225341
2021-11-30,743.0,227073
2021-06-30,551.0,228766
2021-06-30,526.0,228766
2021-12-31,705.0,225341
2021-12-31,541.0,225341
2021-07-31,330.0,228350
2021-10-31,970.0,227400
2021-08-31,765.0,228076
2022-01-31,839.0,222396
2021-10-31,912.0,227400
2022-01-31,684.0,222396
2021-07-31,828.0,228350
2021-07-31,801.0,228350
2021-06-30,568.0,228766
2021-05-31,598.0,229094
2021-06-30,733.0,228766
2021-11-30,820.0,227073
2021-11-30,822.0,227073
2021-11-30,812.0,227073
2021-08-31,544.0,228076
2021-07-31,1671.0,228350
2022-01-05,1337.0,224933
2021-05-31,838.0,229094
2022-01-31,987.0,222396
2021-09-30,668.0,227727
2021-12-31,668.0,225341
2021-08-31,540.0,228076
2022-02-28,831.0,219123
2021-10-31,793.0,227400
2021-12-31,1027.0,225341
2021-12-31,778.0,225341
2021-12-31,492.0,225341
2021-12-31,1796.0,225341
2022-02-28,1019.0,219123
2022-01-31,1085.0,222396
2021-06-30,823.0,228766
2022-01-31,965.0,222396
2021-08-31,762.0,228076
2021-11-30,733.0,227073
2021-11-30,924.0,227073
2021-12-31,730.0,225341
2021-06-30,853.0,228766
2021-05-31,927.0,229094
2021-10-31,928.0,227400
2021-11-30,502.0,227073
2021-08-31,873.0,228076
2021-08-31,666.0,228076
2021-07-31,1120.0,228350
2021-07-31,757.0,228350
2021-06-30,340.0,228766
2021-08-31,825.0,228076
2021-05-31,1277.0,229094
2022-02-28,1129.0,219123
2021-09-30,657.0,227727
2021-11-30,600.0,227073
2021-08-31,463.0,228076
2021-07-31,353.0,228350
2021-11-30,637.0,227073
2021-08-31,644.0,228076
2021-09-30,1309.0,227727
2021-11-30,434.0,227073
2021-05-31,305.0,229094
2021-07-31,329.0,228350
2021-12-31,552.0,225341
2021-10-31,1518.0,227400
2021-11-30,582.0,227073
2021-07-31,911.0,228350
2021-08-31,825.0,228076
2022-01-31,805.0,222396
2021-11-30,1314.0,227073
2021-08-31,773.0,228076
2021-06-30,827.0,228766
2021-12-31,492.0,225341
2021-11-30,796.0,227073
2021-07-31,641.0,228350
2021-08-31,1299.0,228076
2021-06-30,274.0,228766
2021-09-30,385.0,227727
2021-06-30,834.0,228766
2021-06-30,741.0,228766
2021-10-31,1447.0,227400
2021-09-30,763.0,227727
2021-10-31,744.0,227400
2021-12-31,855.0,225341
2021-10-31,603.0,227400
2021-09-30,517.0,227727
2021-10-31,481.0,227400
2021-10-31,1322.0,227400
2021-08-31,760.0,228076
2022-01-31,827.0,222396
2021-09-30,565.0,227727
2021-11-30,931.0,227073
2021-11-30,962.0,227073
2022-02-28,1677.0,219123
2021-05-31,1368.0,229094
2021-06-30,791.0,228766
2022-02-28,795.0,219123
2022-02-28,766.0,219123
2022-02-28,584.0,219123
2021-09-30,371.0,227727
2022-02-28,1130.0,219123
2021-12-31,863.0,225341
2021-06-30,880.0,228766
2021-11-30,613.0,227073
2022-01-31,543.0,222396
2021-11-30,428.0,227073
2022-02-28,1081.0,219123
2021-09-30,812.0,227727
2021-12-31,1653.0,225341
2021-12-31,1299.0,225341
2021-12-31,1093.0,225341
2022-01-31,841.0,222396
2022-02-28,827.0,219123
2022-01-31,673.0,222396
2022-01-31,542.0,222396
2021-09-30,625.0,227727
2021-09-30,401.0,227727
2021-09-30,1147.0,227727
2021-09-30,919.0,227727
2021-05-31,765.0,229094
2021-08-31,638.0,228076
2021-12-31,870.0,225341
2021-09-30,721.0,227727
2021-07-31,557.0,228350
2021-08-31,568.0,228076
2021-12-31,721.0,225341
2021-12-31,1070.0,225341
2021-12-31,825.0,225341
2022-02-28,849.0,219123
2021-05-31,523.0,229094
2021-06-30,370.0,228766
2021-07-31,888.0,228350
2021-11-30,728.0,227073
2021-09-30,604.0,227727
2022-01-31,1070.0,222396
2022-02-28,1553.0,219123
2022-02-28,859.0,219123
2022-01-31,817.0,222396
2021-09-30,828.0,227727
2022-01-31,523.0,222396
2021-09-30,590.0,227727
2021-11-30,735.0,227073
2022-02-28,1042.0,219123
2022-01-31,575.0,222396
2021-11-30,762.0,227073
2022-02-28,873.0,219123
2021-05-31,877.0,229094
2021-05-31,599.0,229094
2021-08-31,667.0,228076
2021-10-31,734.0,227400
2021-06-30,642.0,228766
2022-01-31,768.0,222396
2022-01-31,726.0,222396
2022-02-28,739.0,219123
2022-02-28,551.0,219123
2021-05-31,1085.0,229094
2021-12-31,1068.0,225341
2021-10-31,854.0,227400
2021-06-30,317.0,228766
2022-01-31,818.0,222396
2022-02-28,1493.0,219123
