DefaultDate,TimeToDefault,NumberOfCredits
2022-01-31,6009.0,8391
2021-02-28,5603.0,8392
2022-03-31,5544.0,8390
2019-11-30,4664.0,8393
2020-05-31,4820.0,8393
2020-05-31,4461.0,8393
2021-03-31,5150.0,8392
2020-11-30,4996.0,8393
2020-12-31,4879.0,8393
2021-01-31,4938.0,8393
2020-07-31,4747.0,8393
2021-01-31,4855.0,8393
2022-01-31,5240.0,8391
2020-10-31,4733.0,8393
2020-10-31,4790.0,8393
2020-07-31,4656.0,8393
2020-05-31,4609.0,8393
2022-01-31,5240.0,8391
2020-05-31,4490.0,8393
2021-08-31,5004.0,8392
2021-03-31,4811.0,8392
2021-02-28,4763.0,8392
2021-07-31,4882.0,8392
2021-07-31,4903.0,8392
2021-04-30,4747.0,8392
2021-05-31,4785.0,8392
2020-11-30,4555.0,8393
2022-01-31,4858.0,8391
2020-10-31,4467.0,8393
2022-01-31,4931.0,8391
2020-05-31,4293.0,8393
2019-11-30,3943.0,8393
2021-11-30,2458.0,8391
2020-05-31,1865.0,8393
2020-05-31,1865.0,8393
2021-02-28,2061.0,8392
2021-02-28,2061.0,8392
2019-08-31,1500.0,8393
2020-09-30,1749.0,8393
2020-05-31,1516.0,8393
2021-09-30,1953.0,8391
2020-04-30,1372.0,8393
2021-11-30,1996.0,8391
2020-05-31,1325.0,8393
2020-12-31,1568.0,8393
2020-02-29,1297.0,8393
2021-05-31,1608.0,8392
2021-11-30,1772.0,8391
2020-10-31,1368.0,8393
2021-10-31,1657.0,8391
2021-04-30,1548.0,8392
2021-11-30,1757.0,8391
2021-05-31,1481.0,8392
2021-06-30,1576.0,8392
2021-05-31,1495.0,8392
2021-04-30,1436.0,8392
2022-03-31,1778.0,8390
2021-02-28,1403.0,8392
2020-05-31,1138.0,8393
2021-10-31,1563.0,8391
2022-01-31,1698.0,8391
2021-02-28,1375.0,8392
2020-12-31,1253.0,8393
2019-08-31,709.0,8393
2021-02-28,1230.0,8392
2021-06-30,1412.0,8392
2019-09-30,805.0,8393
2022-01-31,1600.0,8391
2020-07-31,1009.0,8393
2020-11-30,1187.0,8393
2022-03-31,1644.0,8390
2022-03-31,1644.0,8390
2022-01-31,1544.0,8391
2019-12-31,866.0,8393
2020-11-30,1159.0,8393
2020-08-31,1096.0,8393
2021-08-31,1406.0,8392
2020-11-30,1054.0,8393
2021-08-31,1391.0,8392
2020-05-31,845.0,8393
2020-09-30,1062.0,8393
2020-04-30,794.0,8393
2020-05-31,781.0,8393
2020-12-31,1084.0,8393
2022-01-31,1505.0,8391
2021-07-31,1223.0,8392
2022-02-28,1532.0,8390
2020-10-31,971.0,8393
2021-08-31,1327.0,8392
2020-04-30,787.0,8393
2021-04-30,1114.0,8392
2020-05-31,808.0,8393
2021-05-31,1152.0,8392
2022-01-31,1313.0,8391
2022-01-31,1355.0,8391
2022-03-31,1407.0,8390
2020-12-31,988.0,8393
2020-01-31,648.0,8393
2020-10-31,857.0,8393
2020-09-30,884.0,8393
2020-05-31,703.0,8393
2022-02-28,1362.0,8390
2022-03-31,1407.0,8390
2021-03-31,1035.0,8392
2022-01-31,1340.0,8391
2020-11-30,907.0,8393
2022-03-31,1368.0,8390
2019-09-30,480.0,8393
2021-01-31,937.0,8393
2022-01-31,1232.0,8391
2020-05-31,648.0,8393
2021-03-31,964.0,8392
2020-11-30,823.0,8393
2020-11-30,823.0,8393
2021-02-28,4689.0,8392
2019-08-31,4126.0,8393
2020-05-31,4329.0,8393
2020-05-31,4007.0,8393
2021-07-31,4649.0,8392
2021-11-30,4687.0,8391
2020-04-30,4182.0,8393
2021-04-30,4489.0,8392
2020-11-30,3651.0,8393
2020-05-31,3160.0,8393
2020-05-31,3160.0,8393
2021-05-31,3582.0,8392
2020-08-31,2936.0,8393
2021-09-30,2981.0,8391
2021-02-28,2663.0,8392
2020-12-31,1953.0,8393
2022-03-31,2393.0,8390
2019-11-30,4335.0,8393
