DefaultDate,TimeToDefault,NumberOfCredits
2022-03-22,4450.0,58247
2022-03-04,4160.0,58976
2021-12-02,3892.0,79709
2021-11-24,3551.0,80523
2022-04-28,3501.0,56240
2022-04-28,3501.0,56240
2022-04-29,3473.0,56032
2022-04-08,3433.0,57254
2022-03-22,3098.0,58247
2022-01-14,2755.0,66618
2022-01-14,2755.0,66618
2021-12-30,2723.0,75327
2022-03-28,2804.0,58049
2022-03-25,2460.0,58089
2022-03-25,2460.0,58089
2022-03-15,2416.0,58556
2021-12-22,2247.0,77173
2021-11-08,2142.0,81299
2022-01-17,2187.0,66353
2022-04-28,2127.0,56240
2021-12-30,1962.0,75327
2022-03-30,2018.0,57767
2022-04-30,2007.0,55826
2022-02-18,1899.0,60061
2021-12-30,1780.0,75327
2022-02-09,1654.0,60548
2022-02-22,1503.0,59850
2022-02-22,1484.0,59850
2021-12-30,1375.0,75327
2022-02-23,1413.0,59745
2022-02-23,1413.0,59745
2022-01-06,1347.0,69866
2022-02-22,1344.0,59850
2022-03-28,1312.0,58049
2022-03-28,1312.0,58049
2022-04-30,1291.0,55826
2021-11-30,1051.0,80017
2021-12-30,1080.0,75327
2022-04-26,1202.0,56500
2022-02-21,726.0,59999
2022-04-13,503.0,57059
2022-04-12,456.0,57118
