DefaultDate,TimeToDefault,NumberOfCredits
2021-05-31,5123.0,137968
2021-07-31,709.0,136661
2021-09-30,1596.0,135328
2022-01-31,5143.0,122250
2021-07-31,1213.0,136661
2021-07-31,2054.0,136661
2021-05-31,5060.0,137968
2021-08-31,1371.0,136075
2021-09-30,1535.0,135328
2021-06-30,2443.0,137378
2021-11-30,901.0,132997
2021-10-31,937.0,134369
2021-08-31,1014.0,136075
2021-10-31,1017.0,134369
2021-12-31,1352.0,126014
2021-09-30,990.0,135328
2021-06-30,624.0,137378
2021-07-31,4727.0,136661
2021-10-31,748.0,134369
2021-04-30,1584.0,138564
2021-01-31,689.0,140216
2021-04-30,654.0,138564
2021-06-30,916.0,137378
2021-04-30,2313.0,138564
2021-06-30,516.0,137378
2021-07-31,1037.0,136661
2021-08-31,4443.0,136075
2021-05-31,5922.0,137968
2021-10-31,1216.0,134369
2021-05-31,5877.0,137968
2021-08-31,1575.0,136075
2021-07-31,934.0,136661
2021-10-31,1137.0,134369
2021-10-31,969.0,134369
2021-05-31,5712.0,137968
2021-01-31,514.0,140216
2021-10-31,5697.0,134369
2021-05-31,1099.0,137968
2022-01-31,1230.0,122250
2021-07-31,6506.0,136661
2021-12-31,1815.0,126014
2022-01-31,1091.0,122250
2021-05-31,1614.0,137968
2021-03-31,1804.0,139167
2022-01-31,1349.0,122250
2021-05-31,5493.0,137968
2021-07-31,2612.0,136661
2021-09-30,1031.0,135328
2021-12-31,1355.0,126014
2021-08-31,1286.0,136075
2021-04-30,715.0,138564
2021-07-31,5695.0,136661
2021-05-31,649.0,137968
2021-08-31,756.0,136075
2021-06-30,1343.0,137378
2021-09-30,734.0,135328
2021-05-31,609.0,137968
2021-09-30,5606.0,135328
2021-08-31,718.0,136075
2021-08-31,313.0,136075
2021-10-31,4673.0,134369
2021-03-31,747.0,139167
2022-02-28,2852.0,119250
2021-05-31,5492.0,137968
2022-02-28,1054.0,119250
2021-05-31,2160.0,137968
2021-05-31,1489.0,137968
2021-08-31,2164.0,136075
2021-05-31,3478.0,137968
2021-10-31,992.0,134369
2021-04-30,5453.0,138564
2021-09-30,857.0,135328
2021-09-30,3747.0,135328
2021-10-31,6170.0,134369
2021-05-31,885.0,137968
2021-07-31,659.0,136661
2021-09-30,1987.0,135328
2022-01-31,1650.0,122250
2021-06-30,2765.0,137378
2021-10-31,5484.0,134369
2021-10-31,1243.0,134369
2021-06-30,1153.0,137378
2022-01-31,5529.0,122250
2021-06-30,2046.0,137378
2021-05-31,1424.0,137968
2021-11-30,1222.0,132997
2021-11-30,5114.0,132997
2021-06-30,2291.0,137378
2021-10-31,1616.0,134369
2021-03-31,4290.0,139167
2021-09-30,658.0,135328
2021-05-31,1169.0,137968
2021-09-30,2215.0,135328
2021-05-31,1130.0,137968
2021-06-30,581.0,137378
2021-05-31,5103.0,137968
2021-11-30,928.0,132997
2021-09-30,3787.0,135328
2021-05-31,4400.0,137968
2021-09-30,973.0,135328
2021-04-30,708.0,138564
2021-03-31,4633.0,139167
2021-08-31,1047.0,136075
2021-06-30,639.0,137378
2021-12-31,1729.0,126014
2021-05-31,1326.0,137968
2021-12-31,994.0,126014
2021-05-31,5178.0,137968
2021-06-30,3065.0,137378
2021-08-31,727.0,136075
2021-11-30,1329.0,132997
2021-08-31,1824.0,136075
2021-08-31,1287.0,136075
2021-05-31,5110.0,137968
2021-07-31,722.0,136661
