DefaultDate,TimeToDefault,NumberOfCredits
2018-09-30,1616.0,515001
2022-03-31,1219.0,506114
2019-05-31,2429.0,513906
2019-08-31,4501.0,513508
2016-11-30,1087.0,517653
2018-01-31,4075.0,515967
2020-01-31,5966.0,512826
2020-07-31,5824.0,512101
2021-01-31,2767.0,511270
2019-03-31,968.0,514189
2018-09-30,4105.0,515001
2019-11-30,2892.0,513110
2019-04-30,1660.0,514057
2019-12-31,2035.0,512978
2017-11-30,791.0,516213
2020-11-30,3527.0,511564
2022-03-31,2156.0,506114
2018-06-30,390.0,515364
2021-01-31,844.0,511270
2021-04-30,1906.0,510786
2018-04-30,1102.0,515598
2017-11-30,3779.0,516213
2017-06-30,3008.0,516791
2022-04-30,5382.0,504609
2016-08-31,1972.0,518029
2020-05-31,543.0,512358
2016-03-31,5140.0,518592
2021-08-31,1740.0,510169
2019-10-31,754.0,513238
2017-10-31,2947.0,516328
2021-06-30,1918.0,510464
2018-03-31,1572.0,515706
2015-12-31,3192.0,518929
2015-12-31,1254.0,518929
2016-09-30,1395.0,517907
2021-01-31,888.0,511270
2018-06-30,3750.0,515364
2022-03-31,1487.0,506114
2017-08-31,1030.0,516574
2015-09-30,1318.0,519299
2019-02-28,2703.0,514340
2019-01-31,1270.0,514490
2020-12-31,2768.0,511421
2018-09-30,2278.0,515001
2019-05-31,1347.0,513906
2018-06-30,1547.0,515364
2018-08-31,787.0,515121
2018-11-30,5900.0,514749
2020-07-31,4847.0,512101
2017-12-31,1850.0,516086
2018-06-30,3852.0,515364
2018-01-31,4129.0,515967
2017-03-31,3598.0,517128
2021-02-28,2342.0,511127
2017-08-31,1424.0,516574
2016-04-30,1251.0,518481
2016-12-31,1392.0,517524
2021-01-31,4496.0,511270
2019-11-30,1522.0,513110
2021-10-31,1227.0,509842
2019-12-31,1527.0,512978
2020-05-31,2279.0,512358
2020-02-29,2243.0,512664
2015-10-31,600.0,519158
2017-10-31,762.0,516328
2018-05-31,1598.0,515480
2017-07-31,1167.0,516668
2020-08-31,3060.0,511997
2021-01-31,2831.0,511270
2020-07-31,1638.0,512101
2020-08-31,3891.0,511997
2020-05-31,2613.0,512358
2022-03-31,3277.0,506114
2017-08-31,3184.0,516574
2020-06-30,3617.0,512234
2018-12-31,3814.0,514624
2017-02-28,698.0,517269
2018-08-31,2142.0,515121
2019-07-31,2245.0,513630
2016-08-31,1429.0,518029
2016-09-30,1670.0,517907
2021-11-30,614.0,509697
2017-04-30,1517.0,517017
2019-01-31,5251.0,514490
2021-01-31,2509.0,511270
2019-12-31,4653.0,512978
2015-10-31,4672.0,519158
2022-01-31,3435.0,509243
2017-12-31,1487.0,516086
2020-11-30,4008.0,511564
2020-12-31,1885.0,511421
2017-08-31,1061.0,516574
2021-07-31,3034.0,510285
2018-01-31,1244.0,515967
2021-05-31,5052.0,510621
2021-01-31,5266.0,511270
2022-04-30,5590.0,504609
2019-12-31,1640.0,512978
2019-01-31,2516.0,514490
2019-12-31,1913.0,512978
2020-07-31,2095.0,512101
2020-02-29,4093.0,512664
2017-11-30,2879.0,516213
2017-10-31,2675.0,516328
2021-12-31,1244.0,509535
2020-01-31,2248.0,512826
2019-01-31,2552.0,514490
2019-09-30,1943.0,513384
2022-02-28,1272.0,507812
2016-08-31,1638.0,518029
2017-03-31,3707.0,517128
2019-11-30,2509.0,513110
2022-04-30,2181.0,504609
2019-05-31,5560.0,513906
2020-01-31,2339.0,512826
2022-02-28,2313.0,507812
2020-12-31,1297.0,511421
2022-03-31,1972.0,506114
2021-12-31,3615.0,509535
2022-04-30,1950.0,504609
2016-10-31,1134.0,517763
2018-05-31,1972.0,515480
2022-02-28,3078.0,507812
2017-11-30,1546.0,516213
2022-03-31,1212.0,506114
2019-05-31,3037.0,513906
2019-11-30,3282.0,513110
2016-12-31,4928.0,517524
2016-09-30,2409.0,517907
2018-02-28,1531.0,515827
2021-08-31,2813.0,510169
2021-01-31,5444.0,511270
2018-09-30,908.0,515001
2018-11-30,4193.0,514749
2022-02-28,3794.0,507812
2022-04-30,5230.0,504609
2018-11-30,1182.0,514749
2018-09-30,4926.0,515001
2019-11-30,3070.0,513110
2016-03-31,1061.0,518592
2019-10-31,1213.0,513238
2015-12-31,3162.0,518929
2020-06-30,855.0,512234
2019-01-31,1088.0,514490
2020-06-30,4850.0,512234
2020-04-30,5321.0,512446
2017-03-31,1170.0,517128
2021-07-31,2938.0,510285
2022-01-31,3926.0,509243
2016-01-31,2341.0,518832
2017-09-30,1184.0,516455
2022-03-31,2095.0,506114
