DefaultDate,TimeToDefault,NumberOfCredits
2020-05-31,1271.0,63950
2019-09-30,1151.0,64112
2021-04-30,2040.0,63687
2019-07-31,1254.0,64151
2021-04-30,1677.0,63687
2021-07-31,1790.0,63608
2020-06-30,1376.0,63936
2018-11-30,708.0,64303
2019-07-31,1359.0,64151
2018-06-30,953.0,64377
2020-02-29,1608.0,63999
2018-05-31,1273.0,64395
2020-03-31,1395.0,63980
2019-04-30,1629.0,64217
2020-04-30,1541.0,63960
2020-01-31,1116.0,64026
2019-06-30,1152.0,64177
2021-09-30,2143.0,63566
2019-05-31,975.0,64198
2019-07-31,919.0,64151
2018-04-30,541.0,64406
2020-03-31,1716.0,63980
2020-01-31,1150.0,64026
2019-02-28,1204.0,64261
2021-06-30,3000.0,63638
2021-01-31,1573.0,63776
2020-05-31,1577.0,63950
2020-01-31,1280.0,64026
2020-01-31,1150.0,64026
2020-04-30,1337.0,63960
2018-05-31,786.0,64395
2020-01-31,1150.0,64026
2019-04-30,935.0,64217
2019-04-30,1211.0,64217
2022-04-30,2335.0,62787
2021-08-31,1665.0,63591
2019-05-31,2263.0,64198
2018-08-31,1178.0,64351
2019-12-31,1267.0,64044
2020-02-29,1881.0,63999
2021-01-31,1428.0,63776
2019-10-31,1052.0,64091
2019-07-31,1604.0,64151
2021-08-31,1788.0,63591
2021-11-30,2010.0,63508
2019-06-30,1381.0,64177
2018-06-30,695.0,64377
2019-03-31,776.0,64236
2019-12-31,1454.0,64044
2018-07-31,764.0,64363
2018-09-30,4828.0,64329
2020-12-31,1787.0,63811
2021-09-30,2283.0,63566
2018-11-30,2011.0,64303
2021-04-30,1702.0,63687
2017-08-31,1117.0,64559
2021-04-30,1696.0,63687
2019-07-31,1063.0,64151
2019-04-30,791.0,64217
2021-02-28,2084.0,63745
2020-02-29,1671.0,63999
2021-04-30,1760.0,63687
2018-05-31,1273.0,64395
2020-02-29,1145.0,63999
2020-05-31,1551.0,63950
2022-01-31,1852.0,63429
2021-04-30,1702.0,63687
2018-05-31,3914.0,64395
2018-09-30,1269.0,64329
2020-07-31,1319.0,63917
2020-05-31,1700.0,63950
2018-10-31,1122.0,64313
2019-10-31,1548.0,64091
2020-09-30,1490.0,63885
2019-12-31,3282.0,64044
2021-01-31,2050.0,63776
2018-05-31,1334.0,64395
2021-07-31,1898.0,63608
2020-01-31,1521.0,64026
2020-05-31,2187.0,63950
2020-09-30,1521.0,63885
2021-01-31,2011.0,63776
2019-09-30,1702.0,64112
2021-07-31,2491.0,63608
2022-04-30,2440.0,62787
2018-01-31,910.0,64455
2021-07-31,1615.0,63608
2022-01-31,2285.0,63429
2018-10-31,825.0,64313
2017-11-30,355.0,64498
2018-02-28,877.0,64447
2022-02-28,2069.0,63234
2021-11-30,1900.0,63508
2020-09-30,2108.0,63885
2019-12-31,1177.0,64044
2019-02-28,1371.0,64261
2018-04-30,466.0,64406
2020-05-31,1278.0,63950
2019-04-30,1151.0,64217
2019-07-31,1604.0,64151
2020-06-30,1791.0,63936
2021-12-31,2262.0,63470
2019-07-31,937.0,64151
2019-06-30,1425.0,64177
2019-08-31,1487.0,64134
2021-06-30,2185.0,63638
2022-04-30,2491.0,62787
2020-04-30,1598.0,63960
2018-10-31,3101.0,64313
2020-06-30,1272.0,63936
2020-04-30,1242.0,63960
2019-11-30,1151.0,64073
2021-07-31,2550.0,63608
2020-12-31,1909.0,63811
2020-07-31,1402.0,63917
2019-08-31,1102.0,64134
2019-07-31,1553.0,64151
2022-01-31,2246.0,63429
2018-01-31,3040.0,64455
2019-04-30,952.0,64217
2019-02-28,777.0,64261
2020-09-30,1730.0,63885
2018-03-31,1575.0,64422
2019-02-28,937.0,64261
2022-02-28,2348.0,63234
2020-06-30,1730.0,63936
2018-09-30,781.0,64329
2019-11-30,1247.0,64073
2020-05-31,1703.0,63950
2021-06-30,1801.0,63638
2021-10-31,3705.0,63541
2021-01-31,1410.0,63776
2020-03-31,1700.0,63980
2018-07-31,658.0,64363
2021-06-30,2947.0,63638
2021-07-31,2230.0,63608
2018-10-31,902.0,64313
2019-05-31,3793.0,64198
2018-04-30,613.0,64406
2019-08-31,2056.0,64134
2020-10-31,1761.0,63863
2019-12-31,1243.0,64044
2019-11-30,1038.0,64073
2018-02-28,445.0,64447
2019-08-31,968.0,64134
2018-08-31,703.0,64351
2018-05-31,786.0,64395
2018-04-30,781.0,64406
2019-11-30,1519.0,64073
2019-08-31,1334.0,64134
2020-09-30,2279.0,63885
2018-05-31,1081.0,64395
2019-02-28,815.0,64261
2022-03-31,3129.0,62985
2019-08-31,1121.0,64134
2019-09-30,1195.0,64112
2020-06-30,1510.0,63936
2018-10-31,944.0,64313
2022-01-31,2463.0,63429
2018-07-31,749.0,64363
2020-02-29,4190.0,63999
2019-12-31,1177.0,64044
2020-12-31,1786.0,63811
2018-11-30,2011.0,64303
2019-09-30,1420.0,64112
2019-10-31,1090.0,64091
2018-04-30,3596.0,64406
2018-12-31,839.0,64289
2018-07-31,753.0,64363
2018-08-31,1066.0,64351
2021-05-31,2065.0,63660
2022-03-31,2030.0,62985
2018-05-31,511.0,64395
2021-01-31,1550.0,63776
2021-04-30,1802.0,63687
2020-03-31,1664.0,63980
2019-10-31,1058.0,64091
2019-05-31,1334.0,64198
2019-05-31,1246.0,64198
2018-11-30,847.0,64303
2019-09-30,1028.0,64112
2022-04-30,2321.0,62787
2022-01-31,2462.0,63429
2021-01-31,1537.0,63776
2020-07-31,1914.0,63917
2017-12-31,386.0,64478
2019-08-31,968.0,64134
2019-05-31,1246.0,64198
2022-04-30,2912.0,62787
2021-11-30,2309.0,63508
2021-07-31,1790.0,63608
2019-04-30,979.0,64217
2020-12-31,1762.0,63811
2018-04-30,601.0,64406
2022-01-31,2463.0,63429
2018-10-31,2492.0,64313
2021-10-31,6449.0,63541
2018-06-30,507.0,64377
2022-02-28,2399.0,63234
2018-11-30,2035.0,64303
2022-04-30,2423.0,62787
2019-10-31,997.0,64091
2021-04-30,1584.0,63687
2020-04-30,2126.0,63960
2020-03-31,1574.0,63980
2020-09-30,1883.0,63885
2018-08-31,1134.0,64351
2022-04-30,2471.0,62787
2019-12-31,3647.0,64044
2020-04-30,1583.0,63960
2018-06-30,1059.0,64377
2021-04-30,1696.0,63687
2019-02-28,968.0,64261
2020-01-31,1280.0,64026
2017-12-31,421.0,64478
2021-05-31,2593.0,63660
2019-02-28,808.0,64261
2019-04-30,838.0,64217
2018-09-30,4526.0,64329
2022-03-31,2030.0,62985
2018-06-30,633.0,64377
2020-07-31,1834.0,63917
2020-06-30,1669.0,63936
2018-08-31,1760.0,64351
2020-02-29,1405.0,63999
2022-01-31,2047.0,63429
2020-09-30,1730.0,63885
2019-10-31,1123.0,64091
2021-11-30,2401.0,63508
2019-01-31,797.0,64278
2018-02-28,1607.0,64447
2018-10-31,1122.0,64313
2018-09-30,1613.0,64329
2020-05-31,1426.0,63950
2018-09-30,1244.0,64329
2019-07-31,3031.0,64151
2018-12-31,847.0,64289
2020-07-31,1304.0,63917
2020-12-31,1555.0,63811
2018-12-31,909.0,64289
2018-03-31,425.0,64422
2021-07-31,3867.0,63608
2021-01-31,2019.0,63776
2021-11-30,1851.0,63508
2018-09-30,602.0,64329
2021-10-31,1705.0,63541
2021-01-31,2042.0,63776
2018-08-31,1178.0,64351
2019-07-31,1604.0,64151
2020-02-29,1577.0,63999
2018-11-30,873.0,64303
2018-04-30,600.0,64406
2022-04-30,2577.0,62787
2022-01-31,2603.0,63429
2018-05-31,542.0,64395
2019-02-28,937.0,64261
2019-08-31,2099.0,64134
2019-10-31,1090.0,64091
2020-07-31,1329.0,63917
2021-10-31,2340.0,63541
2019-04-30,1211.0,64217
2019-06-30,904.0,64177
2018-06-30,935.0,64377
2018-01-31,355.0,64455
2018-10-31,784.0,64313
2021-01-31,1969.0,63776
2018-05-31,542.0,64395
2018-12-31,847.0,64289
2021-12-31,2611.0,63470
2021-01-31,1795.0,63776
2021-05-31,2141.0,63660
2018-10-31,939.0,64313
2017-10-31,391.0,64510
2021-06-30,1582.0,63638
2018-08-31,2123.0,64351
2018-04-30,592.0,64406
2021-05-31,2173.0,63660
2021-03-31,1770.0,63708
2018-10-31,970.0,64313
2022-04-30,2304.0,62787
2019-12-31,1640.0,64044
2019-10-31,1554.0,64091
2019-11-30,1212.0,64073
2019-01-31,2278.0,64278
2018-02-28,877.0,64447
2018-11-30,1269.0,64303
2019-06-30,878.0,64177
2018-08-31,1198.0,64351
2020-11-30,1529.0,63842
2019-01-31,937.0,64278
2021-01-31,2208.0,63776
2022-04-30,2186.0,62787
2019-04-30,1090.0,64217
2019-02-28,1122.0,64261
2018-09-30,704.0,64329
2017-11-30,1244.0,64498
2021-03-31,2461.0,63708
2021-04-30,2212.0,63687
2020-11-30,1588.0,63842
2019-08-31,1121.0,64134
