DefaultDate,TimeToDefault,NumberOfCredits
2018-11-30,5112.0,73094
2019-01-31,3439.0,73025
2016-04-30,2007.0,74237
2019-12-31,3896.0,72565
2020-02-29,3772.0,72473
2020-05-31,5629.0,72366
2017-05-31,3072.0,73708
2015-11-30,1582.0,74392
2021-12-31,4078.0,66184
2016-02-29,1673.0,74303
2016-01-31,3286.0,74324
2018-10-31,3865.0,73120
2017-10-31,4140.0,73514
2021-07-31,3925.0,69046
2018-11-30,2190.0,73094
2016-05-31,3772.0,74195
2018-11-30,2190.0,73094
2019-05-31,2190.0,72883
2019-05-31,3833.0,72883
2021-04-30,5174.0,70777
2019-04-30,2645.0,72929
2015-11-30,2343.0,74392
2018-12-31,3408.0,73063
2016-06-30,2464.0,74150
2021-01-31,4109.0,71840
2018-03-31,4929.0,73351
2021-02-28,4017.0,71762
2020-05-31,2891.0,72366
2017-11-30,2709.0,73481
2020-07-31,3683.0,72241
2020-09-30,3621.0,72134
2020-09-30,3621.0,72134
2018-05-31,2799.0,73307
2020-08-31,3440.0,72182
2018-12-31,2525.0,73063
2021-01-31,3287.0,71840
2019-10-31,3013.0,72645
2021-01-31,3440.0,71840
2020-12-31,3196.0,71923
2015-04-30,1063.0,74528
2016-09-30,1399.0,74012
2019-04-30,2798.0,72929
2015-06-30,851.0,74501
2016-02-29,2099.0,74303
2017-09-30,2770.0,73554
2020-09-30,4109.0,72134
2018-03-31,3133.0,73351
2017-12-31,2982.0,73455
2017-04-30,2737.0,73743
2017-01-31,1797.0,73845
2020-06-30,3713.0,72313
2020-12-31,4170.0,71923
2020-06-30,3743.0,72313
2018-05-31,2464.0,73307
2016-11-30,2252.0,73930
2018-07-31,2860.0,73245
2016-05-31,1552.0,74195
2019-08-31,3743.0,72753
2017-06-30,2038.0,73676
2018-06-30,2647.0,73277
2022-02-28,3895.0,65607
2018-06-30,2220.0,73277
2021-11-30,3866.0,66737
2017-06-30,2706.0,73676
2019-09-30,2555.0,72699
2017-04-30,2191.0,73743
2022-02-28,3345.0,65607
2019-01-31,2221.0,73025
2017-12-31,2160.0,73455
2014-12-31,1035.0,74586
2019-12-31,3196.0,72565
2020-04-30,2617.0,72409
2020-08-31,2740.0,72182
2020-04-30,3011.0,72409
2020-03-31,2830.0,72441
2015-04-30,1033.0,74528
2020-09-30,2648.0,72134
2020-04-30,3103.0,72409
2017-03-31,2707.0,73776
2020-02-29,3438.0,72473
2015-09-30,851.0,74456
2019-09-30,3013.0,72699
2020-11-30,3590.0,71990
2018-12-31,3500.0,73063
2017-12-31,3105.0,73455
2019-12-31,3804.0,72565
2016-11-30,2739.0,73930
2020-08-31,3683.0,72182
2020-06-30,3833.0,72313
2016-01-31,2162.0,74324
2018-12-31,3166.0,73063
2018-01-31,2832.0,73421
2015-01-31,2040.0,74578
2016-04-30,2130.0,74237
2020-09-30,3744.0,72134
2017-03-31,2615.0,73776
2017-01-31,2344.0,73845
2018-05-31,2768.0,73307
2015-04-30,1611.0,74528
2018-11-30,2890.0,73094
2019-07-31,3133.0,72793
2020-04-30,3348.0,72409
2015-12-31,1735.0,74360
2015-11-30,1704.0,74392
2021-09-30,3956.0,67857
2017-05-31,2283.0,73708
2020-06-30,3409.0,72313
2019-06-30,2982.0,72842
2019-09-30,3439.0,72699
2022-02-28,3255.0,65607
2017-11-30,2405.0,73481
2018-07-31,2648.0,73245
2016-07-31,1826.0,74115
2021-12-31,3958.0,66184
2017-11-30,2282.0,73481
2020-03-31,3073.0,72441
2019-02-28,2646.0,72997
2020-01-31,2983.0,72523
2018-03-31,2221.0,73351
2021-06-30,3621.0,69679
2021-12-31,3592.0,66184
2017-02-28,2130.0,73816
2015-06-30,1337.0,74501
2021-11-30,3652.0,66737
2017-12-31,2009.0,73455
2021-11-30,3500.0,66737
2019-09-30,3074.0,72699
2020-04-30,2798.0,72409
2020-12-31,2890.0,71923
2016-01-31,1125.0,74324
2015-03-31,1825.0,74549
2017-05-31,1430.0,73708
2018-04-30,2860.0,73331
2018-05-31,2738.0,73307
2017-04-30,2038.0,73743
2020-02-29,3530.0,72473
2017-12-31,3196.0,73455
2017-07-31,1978.0,73638
2021-12-31,3074.0,66184
2021-12-31,3074.0,66184
2020-08-31,3226.0,72182
2016-04-30,3348.0,74237
2016-08-31,3196.0,74065
2017-02-28,2768.0,73816
2018-03-31,2250.0,73351
2019-09-30,3347.0,72699
2020-10-31,3471.0,72075
2017-06-30,2433.0,73676
2017-02-28,2464.0,73816
2019-07-31,4839.0,72793
2021-01-31,3593.0,71840
2019-08-31,3074.0,72753
2017-02-28,1307.0,73816
2020-06-30,2768.0,72313
2019-09-30,4930.0,72699
2016-07-31,3986.0,74115
2020-06-30,6786.0,72313
2019-02-28,2006.0,72997
2021-12-31,5631.0,66184
2018-12-31,1766.0,73063
2021-02-28,1854.0,71762
2021-06-30,2007.0,69679
2020-01-31,5449.0,72523
2017-07-31,1641.0,73638
2018-01-31,1948.0,73421
2021-01-31,6485.0,71840
2021-11-30,5661.0,66737
2016-05-31,212.0,74195
2017-08-31,4079.0,73602
2021-07-31,2007.0,69046
2020-12-31,1918.0,71923
2016-08-31,2709.0,74065
2017-05-31,2434.0,73708
2019-09-30,4624.0,72699
2021-09-30,5296.0,67857
2020-05-31,4382.0,72366
2019-07-31,3194.0,72793
2020-05-31,2982.0,72366
