DefaultDate,TimeToDefault,NumberOfCredits
2021-08-31,1971.0,210157
2020-09-30,1798.0,225545
2021-09-30,2323.0,208495
2020-12-31,3650.0,221317
2020-09-30,3320.0,225545
2021-02-28,1395.0,218893
2021-05-31,1768.0,215085
2020-02-29,2046.0,233356
2020-06-30,1295.0,229466
2022-01-31,2526.0,202627
2022-01-31,2600.0,202627
2021-05-31,3856.0,215085
2021-12-31,1929.0,204021
2022-02-28,1635.0,201333
2021-12-31,892.0,204021
2022-02-28,2428.0,201333
2021-10-31,1908.0,206936
2021-12-31,1639.0,204021
2021-03-31,947.0,217662
2021-04-30,3408.0,216425
2022-02-28,2496.0,201333
2020-07-31,2207.0,228236
2021-03-31,1517.0,217662
2020-12-31,1281.0,221317
2020-11-30,1427.0,222694
2022-02-28,1620.0,201333
2021-06-30,995.0,213507
2020-10-31,2703.0,223934
2020-08-31,2385.0,227062
2020-12-31,2023.0,221317
2021-07-31,2158.0,211565
2021-06-30,1664.0,213507
2021-06-30,1664.0,213507
2022-01-31,1711.0,202627
2021-09-30,1473.0,208495
2021-09-30,1473.0,208495
2021-05-31,1343.0,215085
2020-08-31,3931.0,227062
2019-07-31,2169.0,239910
2021-07-31,2418.0,211565
2020-05-31,1741.0,230669
2020-09-30,1826.0,225545
2022-02-28,2146.0,201333
2021-11-30,1852.0,205627
2021-11-30,1593.0,205627
2020-09-30,1178.0,225545
2021-10-31,1403.0,206936
2020-02-29,2635.0,233356
2021-03-31,1506.0,217662
2021-12-31,1607.0,204021
2021-01-31,1223.0,220071
2021-01-31,1223.0,220071
2021-10-31,1195.0,206936
2021-12-31,1187.0,204021
2021-08-31,979.0,210157
2022-01-31,3930.0,202627
2021-10-31,4280.0,206936
2021-05-31,2441.0,215085
2021-06-30,2128.0,213507
2022-01-31,2343.0,202627
2022-01-31,2219.0,202627
2021-03-31,1630.0,217662
2020-10-31,1160.0,223934
2021-10-31,1434.0,206936
2021-03-31,1608.0,217662
2019-10-31,1283.0,237350
2020-08-31,1475.0,227062
2021-10-31,2484.0,206936
2020-11-30,1775.0,222694
2020-09-30,1399.0,225545
2022-01-31,1232.0,202627
2022-01-31,647.0,202627
2021-12-31,4603.0,204021
2022-01-31,951.0,202627
2021-08-31,4015.0,210157
2019-12-31,3028.0,235487
2021-05-31,3345.0,215085
2019-12-31,2651.0,235487
2021-09-30,2044.0,208495
2020-01-31,2235.0,234449
2020-08-31,4099.0,227062
2021-11-30,4395.0,205627
2021-10-31,4244.0,206936
2021-10-31,4204.0,206936
2022-01-31,3482.0,202627
2020-07-31,2940.0,228236
2021-01-31,2067.0,220071
2019-12-31,2211.0,235487
2020-12-31,1844.0,221317
2019-09-30,1344.0,238289
2022-01-31,1655.0,202627
