DefaultDate,TimeToDefault,NumberOfCredits
2021-08-31,7034.0,30508
2022-04-30,6282.0,30494
2022-04-30,6871.0,30494
2021-08-31,6395.0,30508
2021-08-31,7236.0,30508
2022-01-31,2187.0,30508
2021-12-31,8031.0,30508
2021-12-31,6664.0,30508
2021-07-31,7613.0,30508
2021-07-31,7865.0,30508
2021-11-30,6556.0,30508
2022-02-28,2182.0,30508
2021-08-31,5521.0,30508
2022-03-31,7958.0,30501
2021-08-31,6703.0,30508
2021-04-30,5553.0,30508
2021-12-31,4795.0,30508
2021-11-30,7272.0,30508
2021-04-30,6146.0,30508
2021-08-31,7511.0,30508
2022-01-31,7579.0,30508
2022-03-31,7667.0,30501
2021-08-31,7225.0,30508
2021-11-30,7505.0,30508
2021-11-30,6574.0,30508
2022-04-30,7596.0,30494
2021-11-30,7208.0,30508
2021-04-30,6875.0,30508
2021-11-30,7104.0,30508
2021-08-31,1511.0,30508
2022-01-31,7102.0,30508
2021-11-30,1378.0,30508
2022-03-31,1241.0,30501
2021-08-31,5388.0,30508
2021-04-30,1024.0,30508
2021-07-31,6836.0,30508
2021-04-30,1102.0,30508
2022-01-31,7129.0,30508
2022-03-31,1252.0,30501
2022-02-28,6961.0,30508
2021-07-31,5314.0,30508
2021-04-30,6598.0,30508
2021-11-30,6762.0,30508
2022-03-31,6860.0,30501
2022-03-31,6798.0,30501
2021-12-31,6639.0,30508
2022-03-31,6840.0,30501
2021-09-30,6638.0,30508
2022-03-31,1018.0,30501
2021-12-31,6548.0,30508
2021-12-31,6415.0,30508
2022-04-30,5989.0,30494
2022-01-31,6625.0,30508
2021-08-31,5758.0,30508
2021-04-30,6156.0,30508
2022-02-28,5458.0,30508
2021-04-30,6203.0,30508
2021-04-30,5279.0,30508
2021-07-31,4568.0,30508
2021-08-31,6222.0,30508
2021-12-31,6373.0,30508
2022-04-30,6368.0,30494
2022-01-31,6223.0,30508
2022-03-31,6254.0,30501
2021-08-31,5838.0,30508
2021-11-30,5948.0,30508
2021-12-31,6099.0,30508
2021-07-31,5897.0,30508
2021-10-31,5945.0,30508
2022-01-31,6026.0,30508
2022-02-28,6144.0,30508
2021-10-31,5994.0,30508
2021-04-30,5783.0,30508
2022-04-30,6088.0,30494
2021-10-31,5952.0,30508
2021-12-31,6126.0,30508
2022-01-31,6097.0,30508
2022-04-30,6023.0,30494
2022-02-28,5999.0,30508
2022-04-30,5351.0,30494
2021-11-30,5851.0,30508
2021-12-31,5894.0,30508
2022-01-31,6076.0,30508
2022-02-28,5913.0,30508
2021-07-31,5637.0,30508
2022-04-30,5744.0,30494
2021-12-31,1680.0,30508
2021-07-31,5295.0,30508
2021-08-31,5556.0,30508
2021-08-31,5578.0,30508
2021-04-30,5610.0,30508
2022-02-28,5732.0,30508
2021-12-31,812.0,30508
2022-03-31,5844.0,30501
2021-07-31,5629.0,30508
2022-02-28,5722.0,30508
2022-03-31,5579.0,30501
2021-07-31,5639.0,30508
2022-04-30,5717.0,30494
2022-01-31,5599.0,30508
2021-04-30,5506.0,30508
2021-12-31,5596.0,30508
2021-12-31,5628.0,30508
2022-01-31,5632.0,30508
2021-08-31,5331.0,30508
2021-04-30,5366.0,30508
2021-04-30,5407.0,30508
2021-12-31,5651.0,30508
2021-12-31,5650.0,30508
2021-07-31,5255.0,30508
2021-09-30,5531.0,30508
2021-12-31,5538.0,30508
2021-11-30,5289.0,30508
2021-04-30,5099.0,30508
2021-07-31,5121.0,30508
2022-03-31,5246.0,30501
2021-12-31,5330.0,30508
2021-09-30,5195.0,30508
2022-04-30,869.0,30494
2022-03-31,5336.0,30501
2021-11-30,5171.0,30508
2021-12-31,5057.0,30508
2022-02-28,5330.0,30508
2021-12-31,644.0,30508
2021-12-31,4865.0,30508
2021-11-30,5005.0,30508
2022-03-31,5091.0,30501
2021-09-30,4875.0,30508
2021-04-30,4589.0,30508
2022-03-31,5202.0,30501
2021-08-31,4974.0,30508
2021-07-31,4723.0,30508
2021-12-31,5043.0,30508
2021-08-31,4732.0,30508
2021-04-30,4588.0,30508
2022-03-31,4991.0,30501
2021-07-31,4630.0,30508
2021-10-31,4826.0,30508
2022-04-30,4628.0,30494
2021-04-30,4662.0,30508
2022-04-30,4902.0,30494
2021-12-31,4789.0,30508
2021-09-30,3759.0,30508
2022-01-31,3426.0,30508
2022-03-31,3178.0,30501
2022-03-31,3107.0,30501
2022-02-28,2657.0,30508
2021-12-31,487.0,30508
2022-02-28,494.0,30508
