DefaultDate,TimeToDefault,NumberOfCredits
2020-06-30,6301.0,277278
2020-06-30,6301.0,277278
2020-06-30,6026.0,277278
2020-06-30,6026.0,277278
2020-06-30,6026.0,277278
2021-06-30,6117.0,270878
2021-06-30,6117.0,270878
2021-06-30,6117.0,270878
2020-06-30,5205.0,277278
2020-06-30,5205.0,277278
2020-06-30,5205.0,277278
2020-06-30,5205.0,277278
2021-03-31,5296.0,272743
2021-03-31,5296.0,272743
2021-03-31,5296.0,272743
2021-03-31,5296.0,272743
2020-06-30,5114.0,277278
2020-06-30,4657.0,277278
2020-06-30,4657.0,277278
2020-06-30,4657.0,277278
2021-12-31,8401.0,265919
2021-12-31,8401.0,265919
2021-12-31,8401.0,265919
2021-03-31,7853.0,272743
2021-03-31,7853.0,272743
2021-03-31,7853.0,272743
2021-12-31,8036.0,265919
2021-12-31,4932.0,265919
2021-12-31,8036.0,265919
2021-12-31,8036.0,265919
2021-12-31,8036.0,265919
2020-06-30,6391.0,277278
2020-06-30,3834.0,277278
2020-06-30,6391.0,277278
2020-06-30,6391.0,277278
2020-06-30,5660.0,277278
2020-06-30,5660.0,277278
2020-06-30,5660.0,277278
2020-06-30,5660.0,277278
2020-09-30,5206.0,275662
2020-09-30,5206.0,275662
2020-09-30,5206.0,275662
2021-12-31,5023.0,265919
2021-12-31,5023.0,265919
2020-06-30,4291.0,277278
2020-06-30,4291.0,277278
2020-06-30,4291.0,277278
2021-12-31,8585.0,265919
2021-12-31,7945.0,265919
2021-12-31,8585.0,265919
2021-12-31,8585.0,265919
2020-09-30,5479.0,275662
2020-09-30,6210.0,275662
2020-09-30,5479.0,275662
2021-09-30,6392.0,268952
2021-09-30,5571.0,268952
2021-09-30,6392.0,268952
2021-09-30,6392.0,268952
2021-03-31,5479.0,272743
2021-03-31,5479.0,272743
2021-03-31,5479.0,272743
2021-06-30,7305.0,270878
2021-06-30,4748.0,270878
2021-06-30,7305.0,270878
2021-06-30,7305.0,270878
2020-06-30,4291.0,277278
2020-06-30,4291.0,277278
2020-06-30,4291.0,277278
2020-06-30,4291.0,277278
2020-06-30,4291.0,277278
2020-06-30,4291.0,277278
2021-06-30,4564.0,270878
2021-06-30,4564.0,270878
2021-06-30,4564.0,270878
2021-06-30,4564.0,270878
2021-06-30,6848.0,270878
2021-06-30,6848.0,270878
2021-06-30,6848.0,270878
2021-06-30,6848.0,270878
2021-03-31,6209.0,272743
2021-03-31,6209.0,272743
2021-03-31,6209.0,272743
2020-12-31,5571.0,274526
2020-12-31,2741.0,274526
2020-12-31,5571.0,274526
2020-12-31,5571.0,274526
2020-12-31,5571.0,274526
2020-09-30,5387.0,275662
2020-09-30,4657.0,275662
2020-09-30,5387.0,275662
2020-09-30,5387.0,275662
2020-09-30,5387.0,275662
2020-06-30,6391.0,277278
2020-06-30,8492.0,277278
2020-06-30,8492.0,277278
2021-12-31,6301.0,265919
2021-12-31,6301.0,265919
2021-06-30,5752.0,270878
2021-06-30,5752.0,270878
2020-12-31,5024.0,274526
2020-12-31,5024.0,274526
2021-12-31,4932.0,265919
2021-12-31,5389.0,265919
2021-12-31,4932.0,265919
2021-12-31,5206.0,265919
2021-12-31,5206.0,265919
2021-12-31,5206.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2020-06-30,6301.0,277278
2020-06-30,6301.0,277278
2020-06-30,6301.0,277278
2021-03-31,6118.0,272743
2021-03-31,6118.0,272743
2021-03-31,6118.0,272743
2020-06-30,4199.0,277278
2020-06-30,4199.0,277278
2020-06-30,4199.0,277278
2020-06-30,4199.0,277278
2020-09-30,4291.0,275662
2020-09-30,4291.0,275662
2020-09-30,4291.0,275662
2020-09-30,4291.0,275662
2020-09-30,4291.0,275662
2020-06-30,3744.0,277278
2020-06-30,3744.0,277278
2020-06-30,3744.0,277278
2020-06-30,3744.0,277278
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-12-31,4658.0,265919
2021-06-30,6117.0,270878
2021-06-30,6117.0,270878
2021-06-30,6117.0,270878
2021-06-30,6117.0,270878
2020-12-31,4475.0,274526
2020-12-31,4475.0,274526
2020-12-31,4475.0,274526
2020-12-31,4475.0,274526
2020-06-30,4199.0,277278
2020-06-30,4199.0,277278
2020-06-30,4199.0,277278
2020-06-30,4199.0,277278
2020-06-30,4199.0,277278
2020-06-30,4018.0,277278
2020-06-30,4018.0,277278
2020-06-30,4018.0,277278
2020-06-30,4018.0,277278
2020-06-30,4018.0,277278
2020-06-30,4018.0,277278
2020-06-30,4018.0,277278
2020-06-30,4018.0,277278
2020-09-30,4018.0,275662
2020-09-30,4018.0,275662
2020-09-30,4018.0,275662
2020-09-30,4018.0,275662
2021-06-30,8766.0,270878
2021-06-30,8766.0,270878
2020-12-31,6302.0,274526
2020-12-31,6302.0,274526
2020-12-31,6302.0,274526
2020-12-31,6302.0,274526
2020-12-31,6302.0,274526
2020-09-30,5844.0,275662
2020-09-30,5844.0,275662
2020-09-30,5844.0,275662
2021-12-31,5389.0,265919
2021-12-31,5389.0,265919
2021-09-30,4748.0,268952
2021-09-30,4748.0,268952
2021-09-30,4748.0,268952
2020-06-30,3744.0,277278
2020-06-30,3744.0,277278
2020-06-30,3744.0,277278
2020-06-30,3744.0,277278
2021-09-30,1096.0,268952
2021-03-31,5753.0,272743
2021-03-31,5296.0,272743
2021-03-31,5296.0,272743
2021-03-31,5753.0,272743
2021-03-31,5753.0,272743
2021-03-31,5844.0,272743
2021-03-31,5844.0,272743
2021-03-31,5844.0,272743
2020-06-30,4474.0,277278
2020-06-30,4474.0,277278
2021-06-30,5295.0,270878
2021-06-30,5022.0,270878
2021-06-30,5295.0,270878
2021-06-30,5295.0,270878
2021-03-31,4565.0,272743
2021-03-31,4565.0,272743
2021-03-31,4565.0,272743
2021-03-31,4565.0,272743
2020-06-30,7031.0,277278
2020-06-30,4657.0,277278
2020-06-30,7031.0,277278
2020-06-30,7031.0,277278
2021-06-30,6940.0,270878
2021-06-30,6940.0,270878
2021-09-30,6758.0,268952
2021-09-30,6758.0,268952
2021-09-30,6758.0,268952
2021-06-30,6756.0,270878
2021-06-30,6209.0,270878
2021-06-30,6756.0,270878
2021-06-30,6756.0,270878
2020-12-31,6302.0,274526
2020-12-31,6302.0,274526
