DefaultDate,TimeToDefault,NumberOfCredits
2022-01-01,528.0,48596
2021-12-01,482.0,48619
2021-04-01,237.0,48747
2021-12-01,478.0,48619
2021-02-01,165.0,48764
2021-11-01,440.0,48639
2022-02-01,502.0,48574
2022-02-01,434.0,48574
2022-04-01,465.0,47639
2022-04-01,414.0,47639
2022-04-01,366.0,47639
2021-09-01,811.0,48689
2022-04-01,1018.0,47639
2022-04-01,1018.0,47639
2021-06-01,711.0,48730
2022-04-01,1016.0,47639
2021-12-01,895.0,48619
2021-04-01,647.0,48747
2020-12-01,525.0,48775
2021-04-01,646.0,48747
2021-06-01,690.0,48730
2022-04-01,991.0,47639
2021-08-01,748.0,48700
2022-01-01,899.0,48596
2021-10-01,806.0,48666
2022-04-01,989.0,47639
2021-07-01,708.0,48720
2021-04-01,616.0,48747
2022-04-01,975.0,47639
2021-09-01,764.0,48689
2021-08-01,732.0,48700
2022-04-01,970.0,47639
2022-04-01,966.0,47639
2021-11-01,810.0,48639
2021-11-01,804.0,48639
2021-10-01,766.0,48666
2022-04-01,947.0,47639
2022-04-01,945.0,47639
2021-06-01,641.0,48730
2022-01-01,855.0,48596
2022-04-01,939.0,47639
2022-04-01,939.0,47639
2022-04-01,932.0,47639
2021-08-01,688.0,48700
2021-11-01,776.0,48639
2022-04-01,928.0,47639
2022-04-01,927.0,47639
2021-12-01,798.0,48619
2021-11-01,768.0,48639
2022-04-01,917.0,47639
2022-02-01,853.0,48574
2022-01-01,817.0,48596
2022-04-01,907.0,47639
2022-04-01,904.0,47639
2022-04-01,904.0,47639
2022-03-01,873.0,48176
2021-06-01,600.0,48730
2022-01-01,813.0,48596
2021-09-01,686.0,48689
2022-04-01,897.0,47639
2022-04-01,900.0,47639
2022-01-01,807.0,48596
2022-04-01,896.0,47639
2022-04-01,891.0,47639
2022-02-01,831.0,48574
2021-12-01,768.0,48619
2022-03-01,855.0,48176
2022-04-01,885.0,47639
2021-12-01,763.0,48619
2022-04-01,884.0,47639
2021-06-01,567.0,48730
2022-04-01,871.0,47639
2022-04-01,869.0,47639
2021-12-01,749.0,48619
2022-04-01,865.0,47639
2022-04-01,863.0,47639
2022-03-01,832.0,48176
2022-04-01,857.0,47639
2022-04-01,862.0,47639
2021-04-01,496.0,48747
2022-04-01,861.0,47639
2022-04-01,857.0,47639
2021-07-01,583.0,48720
2022-04-01,855.0,47639
2022-04-01,854.0,47639
2021-12-01,727.0,48619
2022-03-01,817.0,48176
2021-12-01,720.0,48619
2021-03-01,444.0,48754
2022-04-01,835.0,47639
2022-01-01,747.0,48596
2022-04-01,830.0,47639
2022-02-01,761.0,48574
2022-04-01,819.0,47639
2022-04-01,819.0,47639
2021-09-01,602.0,48689
2022-04-01,812.0,47639
2022-04-01,806.0,47639
2022-04-01,805.0,47639
2022-04-01,805.0,47639
2022-04-01,802.0,47639
2022-01-01,712.0,48596
2022-04-01,801.0,47639
2022-04-01,799.0,47639
2021-12-01,671.0,48619
2021-09-01,574.0,48689
2021-08-01,537.0,48700
2021-12-01,657.0,48619
2021-12-01,651.0,48619
2022-02-01,713.0,48574
2022-03-01,740.0,48176
2022-04-01,771.0,47639
2022-04-01,770.0,47639
2022-02-01,711.0,48574
2022-03-01,739.0,48176
2021-12-01,646.0,48619
2021-06-01,462.0,48730
2021-10-01,581.0,48666
2022-04-01,758.0,47639
2021-09-01,539.0,48689
2021-11-01,598.0,48639
2022-02-01,683.0,48574
2021-12-01,617.0,48619
2021-03-01,341.0,48754
2021-10-01,555.0,48666
2021-07-01,458.0,48720
2022-04-01,736.0,47639
2022-03-01,704.0,48176
2022-01-01,645.0,48596
2021-12-01,609.0,48619
2021-09-01,517.0,48689
2021-11-01,577.0,48639
2021-10-01,547.0,48666
2022-04-01,723.0,47639
2022-02-01,664.0,48574
2021-10-01,540.0,48666
2021-10-01,534.0,48666
2022-01-01,626.0,48596
2021-12-01,589.0,48619
2021-11-01,559.0,48639
2022-01-01,618.0,48596
2022-02-01,648.0,48574
2022-01-01,617.0,48596
2022-03-01,670.0,48176
2021-12-01,575.0,48619
2022-03-01,664.0,48176
2021-12-01,567.0,48619
2022-01-01,599.0,48596
2021-08-01,445.0,48700
2021-12-01,567.0,48619
2021-09-01,470.0,48689
2022-02-01,614.0,48574
2021-12-01,538.0,48619
2021-10-01,476.0,48666
2021-10-01,472.0,48666
2022-03-01,621.0,48176
2021-10-01,466.0,48666
2022-02-01,586.0,48574
2022-04-01,647.0,47639
2022-03-01,615.0,48176
2022-03-01,614.0,48176
2021-06-01,340.0,48730
2021-09-01,428.0,48689
2021-05-01,306.0,48736
2022-03-01,609.0,48176
2022-03-01,599.0,48176
2021-10-01,449.0,48666
2021-12-01,511.0,48619
2021-10-01,444.0,48666
2022-03-01,596.0,48176
2022-04-01,625.0,47639
2022-01-01,533.0,48596
2021-08-01,377.0,48700
2021-08-01,377.0,48700
2022-01-01,968.0,48596
2021-12-01,937.0,48619
2022-04-01,1053.0,47639
2022-03-01,1023.0,48176
2022-04-01,1051.0,47639
2022-03-01,1014.0,48176
2022-04-01,1047.0,47639
2021-11-01,894.0,48639
2022-01-01,949.0,48596
2022-04-01,1038.0,47639
2022-04-01,1037.0,47639
2022-01-01,946.0,48596
2022-04-01,1036.0,47639
2022-03-01,1000.0,48176
2022-02-01,972.0,48574
2021-08-01,780.0,48700
2020-12-01,1251.0,48775
2021-10-01,1464.0,48666
2022-04-01,1631.0,47639
2021-02-01,1203.0,48764
2021-12-01,1492.0,48619
2022-04-01,1472.0,47639
2022-04-01,1463.0,47639
2021-12-01,1336.0,48619
2022-02-01,1316.0,48574
2022-03-01,1317.0,48176
2022-04-01,1344.0,47639
2021-07-01,1067.0,48720
2021-06-01,1036.0,48730
2022-04-01,1324.0,47639
2021-02-01,886.0,48764
2021-11-01,1140.0,48639
2021-11-01,1138.0,48639
2022-04-01,1281.0,47639
2021-12-01,1149.0,48619
2021-08-01,1019.0,48700
2021-08-01,1011.0,48700
2021-10-01,1066.0,48666
2022-04-01,1246.0,47639
2022-02-01,1176.0,48574
2022-02-01,1176.0,48574
2021-10-01,1053.0,48666
2021-05-01,898.0,48736
2022-04-01,1229.0,47639
2021-11-01,1077.0,48639
2022-03-01,1195.0,48176
2021-10-01,1045.0,48666
2021-09-01,1009.0,48689
2021-12-01,1099.0,48619
2022-04-01,1219.0,47639
