DefaultDate,TimeToDefault,NumberOfCredits
2022-02-11,694.0,42143
2021-04-21,2520.0,44228
2021-03-22,1361.0,44317
2022-03-16,1388.0,40653
2021-07-22,763.0,43992
2020-09-15,518.0,44699
2022-03-25,1288.0,40311
2021-11-23,1364.0,43632
2022-03-30,1170.0,40154
2021-02-16,467.0,44411
2021-12-13,2498.0,43536
2022-01-19,1164.0,42992
2022-01-07,1292.0,43377
2020-02-20,581.0,45130
2020-02-20,448.0,45130
2021-03-19,827.0,44322
2019-11-14,0.0,45309
2021-07-19,920.0,44001
2021-03-22,535.0,44317
2021-01-19,369.0,44470
2021-12-15,670.0,43526
2021-04-22,1583.0,44226
2021-07-28,792.0,43981
2022-01-21,1368.0,42911
2022-01-21,1298.0,42911
2022-02-11,1220.0,42143
2021-02-23,855.0,44391
2021-12-15,889.0,43526
2021-08-30,592.0,43918
2021-09-08,1176.0,43896
2021-05-20,1423.0,44159
2021-07-20,1126.0,43998
2021-05-20,428.0,44159
2021-04-22,1016.0,44226
2022-03-28,1630.0,40235
2021-03-22,1208.0,44317
2021-03-22,479.0,44317
2022-01-13,1441.0,43219
2020-11-11,1077.0,44600
2021-11-23,1114.0,43632
2022-03-08,2132.0,41048
2020-06-23,852.0,44854
2022-02-23,1804.0,41665
2021-04-20,511.0,44231
2021-04-20,523.0,44231
2021-04-21,1478.0,44228
2022-03-28,1188.0,40235
2022-02-14,832.0,42057
2017-10-27,2916.0,45890
2021-11-17,1120.0,43663
2021-11-17,1728.0,43663
2020-11-16,678.0,44593
2019-12-12,755.0,45257
2021-06-18,886.0,44083
2021-09-30,2374.0,43811
2022-03-14,1385.0,40802
2021-04-21,513.0,44228
2022-03-14,1250.0,40802
2021-01-12,726.0,44484
2021-11-24,481.0,43627
2022-01-26,1190.0,42716
2021-08-12,1879.0,43957
2022-03-28,1244.0,40235
2021-09-14,1684.0,43873
2021-04-21,5075.0,44228
2022-03-14,3959.0,40802
2021-04-22,1260.0,44226
2021-01-26,1099.0,44456
2022-01-13,519.0,43219
2021-03-16,718.0,44333
2022-01-17,927.0,43080
2021-04-21,1101.0,44228
2021-03-22,1126.0,44317
2021-03-22,992.0,44317
2021-03-22,808.0,44317
2021-01-19,776.0,44470
2021-04-21,714.0,44228
2021-10-01,2249.0,43800
2022-02-23,1371.0,41665
2022-03-03,1246.0,41287
2021-04-21,569.0,44228
2021-07-22,1143.0,43992
2022-01-25,1240.0,42762
2021-11-12,1282.0,43678
2022-03-25,1620.0,40311
2022-03-03,2172.0,41287
2022-03-29,1156.0,40187
2022-01-20,969.0,42963
2019-10-15,729.0,45346
2021-03-22,684.0,44317
2022-02-11,1253.0,42143
2021-07-22,828.0,43992
2021-07-22,780.0,43992
2021-02-08,1099.0,44423
2020-05-19,525.0,44967
2021-04-21,1146.0,44228
2021-10-04,1132.0,43795
2022-03-14,742.0,40802
2022-01-27,1042.0,42684
2021-12-15,679.0,43526
2022-01-27,1463.0,42684
2022-01-27,875.0,42684
2021-09-10,609.0,43883
2021-04-20,1138.0,44231
2022-01-04,1257.0,43418
2022-01-21,904.0,42911
2020-12-16,786.0,44536
2021-08-03,1538.0,43968
2022-01-21,1155.0,42911
2022-03-25,959.0,40311
2022-03-30,1405.0,40154
2022-03-25,1113.0,40311
2022-01-25,866.0,42762
2021-06-02,800.0,44126
2021-12-21,1533.0,43498
2022-03-07,2072.0,41123
2021-07-22,1695.0,43992
2021-05-20,4263.0,44159
2021-03-22,1361.0,44317
2022-03-29,1762.0,40187
2020-12-29,614.0,44506
2021-04-21,484.0,44228
2021-03-22,1041.0,44317
2021-03-22,5548.0,44317
2021-03-22,865.0,44317
2021-04-21,727.0,44228
2021-07-22,6545.0,43992
2021-04-13,1169.0,44253
2021-03-02,1097.0,44367
2021-09-07,743.0,43899
2022-03-11,879.0,40899
2021-04-21,1310.0,44228
2022-03-16,1426.0,40653
2021-07-09,1156.0,44021
2021-03-22,983.0,44317
2021-05-21,683.0,44158
2022-03-16,841.0,40653
2022-02-23,618.0,41665
2021-05-20,731.0,44159
2020-06-11,969.0,44879
2022-03-30,2192.0,40154
2021-03-22,1001.0,44317
2021-07-28,1374.0,43981
2021-03-22,1510.0,44317
2021-03-22,857.0,44317
2021-09-24,1400.0,43833
2021-03-26,886.0,44294
2022-03-30,1350.0,40154
2021-09-21,614.0,43852
2020-10-14,803.0,44651
2020-05-21,547.0,44959
2021-04-21,1073.0,44228
2021-04-22,1092.0,44226
2022-02-11,996.0,42143
2021-07-26,1195.0,43985
2021-10-18,702.0,43750
2021-11-05,1248.0,43701
2021-04-21,754.0,44228
2022-01-07,1526.0,43377
2022-02-24,912.0,41621
2021-04-21,1015.0,44228
2019-03-22,2.0,45543
2021-07-28,678.0,43981
2021-11-19,736.0,43643
2021-09-01,4663.0,43907
2022-03-11,1465.0,40899
2020-11-06,409.0,44610
2021-03-22,460.0,44317
2022-03-14,769.0,40802
2017-02-24,2802.0,45977
2020-11-17,650.0,44589
2021-06-11,611.0,44101
2022-03-25,1452.0,40311
2021-06-08,1294.0,44113
2021-04-21,631.0,44228
2022-03-25,655.0,40311
2020-04-16,657.0,45031
2021-04-22,563.0,44226
2021-05-20,1420.0,44159
2021-03-22,1837.0,44317
2022-01-10,1329.0,43316
2022-03-11,1214.0,40899
2021-03-22,1013.0,44317
2022-03-11,1318.0,40899
2021-03-22,1048.0,44317
2021-03-22,1015.0,44317
2021-09-13,831.0,43877
2021-03-22,1083.0,44317
2021-10-08,763.0,43782
2021-06-11,560.0,44101
2022-03-30,1352.0,40154
2021-06-14,5305.0,44099
2021-04-22,878.0,44226
2020-12-11,1066.0,44544
2022-02-16,854.0,41943
2021-04-21,1245.0,44228
2022-01-13,808.0,43219
2022-03-14,1389.0,40802
2016-11-17,3548.0,46010
2021-04-21,3288.0,44228
2021-04-21,2252.0,44228
2021-12-21,1197.0,43498
2021-07-15,653.0,44007
2020-07-30,562.0,44784
2021-03-22,480.0,44317
2021-10-29,2438.0,43723
2020-08-06,1043.0,44772
2021-05-07,948.0,44191
2022-03-14,969.0,40802
2022-02-11,2012.0,42143
2021-06-14,803.0,44099
2022-02-14,873.0,42057
2022-03-23,2693.0,40394
2021-07-28,366.0,43981
2021-04-21,1286.0,44228
2022-02-08,845.0,42252
2020-10-27,1222.0,44635
2020-05-19,518.0,44967
2021-04-22,1077.0,44226
2021-06-14,329.0,44099
2022-02-15,950.0,42015
2021-03-22,977.0,44317
2021-04-21,1037.0,44228
2021-04-21,1190.0,44228
2021-03-22,480.0,44317
2021-07-26,1858.0,43985
2020-02-20,510.0,45130
2021-07-23,381.0,43989
2020-12-15,838.0,44537
2021-02-16,596.0,44411
2021-04-21,457.0,44228
2021-11-30,1097.0,43600
2021-06-21,1085.0,44077
2021-07-15,989.0,44007
2021-10-05,1111.0,43794
2022-02-25,975.0,41592
2022-03-30,1223.0,40154
2021-10-15,704.0,43756
2021-03-01,675.0,44368
2021-05-14,1281.0,44173
2022-03-31,1079.0,40113
2022-03-22,5873.0,40439
2022-02-16,1973.0,41943
2021-09-27,790.0,43827
2021-09-22,1400.0,43846
2022-01-13,667.0,43219
2022-01-13,1413.0,43219
2020-12-31,890.0,44502
2022-01-31,944.0,42563
2021-11-03,1680.0,43714
2022-02-04,1187.0,42380
2022-03-11,1192.0,40899
2021-04-21,1940.0,44228
2022-03-04,1011.0,41238
2022-02-11,836.0,42143
2021-11-12,711.0,43678
2022-03-14,969.0,40802
2022-03-14,787.0,40802
2021-04-21,1629.0,44228
2021-04-21,1398.0,44228
2022-02-22,581.0,41717
2022-04-01,1081.0,40020
2022-03-25,5236.0,40311
2020-08-04,1090.0,44778
2021-05-20,903.0,44159
2022-03-14,865.0,40802
2021-04-22,912.0,44226
2021-04-19,955.0,44236
2022-02-01,1366.0,42487
2021-07-28,733.0,43981
2020-04-02,184.0,45043
2022-03-25,1611.0,40311
2021-07-28,1937.0,43981
2022-03-15,1359.0,40737
2022-02-25,766.0,41592
2021-03-22,964.0,44317
2022-03-28,1174.0,40235
2022-03-31,990.0,40113
2022-01-25,809.0,42762
2021-11-17,476.0,43663
2022-01-07,1206.0,43377
2022-03-03,1008.0,41287
2022-03-30,1217.0,40154
2022-01-25,1580.0,42762
2021-04-22,1718.0,44226
2022-03-14,844.0,40802
2021-11-09,747.0,43693
2021-03-22,683.0,44317
2022-02-17,1217.0,41910
2021-07-01,947.0,44053
2021-10-01,1101.0,43800
2021-10-18,944.0,43750
2021-08-12,1612.0,43957
2021-03-22,1028.0,44317
2021-04-22,1028.0,44226
2021-04-22,694.0,44226
2021-07-28,827.0,43981
2022-03-31,1108.0,40113
2022-03-22,746.0,40439
2022-02-01,1035.0,42487
2022-01-10,3162.0,43316
2022-03-11,1337.0,40899
2020-12-22,558.0,44526
2022-01-24,1728.0,42818
2022-03-04,1598.0,41238
2022-04-01,1556.0,40020
2021-03-22,549.0,44317
2020-09-04,1008.0,44718
2021-09-14,782.0,43873
2022-01-13,1994.0,43219
2022-03-29,1295.0,40187
2022-03-14,1336.0,40802
2020-11-17,728.0,44589
2021-11-05,857.0,43701
2021-07-28,1322.0,43981
2022-03-14,621.0,40802
2022-03-15,718.0,40737
2022-02-23,1122.0,41665
2022-03-29,1230.0,40187
2020-05-18,795.0,44967
2021-08-12,813.0,43957
2021-12-30,782.0,43446
2022-02-03,2844.0,42420
2021-12-23,1064.0,43479
2021-03-22,1890.0,44317
2021-08-02,972.0,43970
2022-03-25,1001.0,40311
2022-01-13,735.0,43219
2021-03-22,908.0,44317
2022-03-14,1221.0,40802
2021-11-12,1037.0,43678
2021-07-28,812.0,43981
2022-04-01,1396.0,40020
2022-04-01,1389.0,40020
2021-08-02,1133.0,43970
2022-03-28,1420.0,40235
2021-09-08,1029.0,43896
2021-04-21,656.0,44228
2021-04-21,656.0,44228
2021-03-22,1236.0,44317
2021-03-22,907.0,44317
2022-02-16,812.0,41943
2022-03-25,774.0,40311
2021-07-28,1226.0,43981
2022-01-13,1295.0,43219
2021-07-28,1871.0,43981
2021-07-09,673.0,44021
2021-07-09,617.0,44021
2022-01-18,1600.0,43045
2021-07-22,912.0,43992
2022-02-04,798.0,42380
2022-02-01,931.0,42487
2021-04-21,1171.0,44228
2021-04-21,877.0,44228
2021-04-21,1015.0,44228
2021-05-20,1084.0,44159
2022-01-28,1296.0,42649
2021-03-22,1124.0,44317
2021-03-22,1137.0,44317
2021-04-21,4044.0,44228
2021-07-22,4139.0,43992
2022-03-25,1495.0,40311
2021-02-23,538.0,44391
2022-01-31,794.0,42563
2020-11-05,925.0,44611
2021-09-29,576.0,43814
2022-01-21,959.0,42911
2022-04-01,1232.0,40020
2021-03-05,1099.0,44353
2022-02-16,1021.0,41943
2021-12-16,728.0,43520
2021-12-16,728.0,43520
2020-07-15,811.0,44805
2022-01-13,770.0,43219
2022-03-04,826.0,41238
2022-01-14,1037.0,43190
2022-02-11,1064.0,42143
2022-02-11,1025.0,42143
2021-06-04,1414.0,44119
2021-07-28,917.0,43981
2021-12-03,738.0,43573
2021-07-05,556.0,44040
2022-03-04,4326.0,41238
2020-02-20,587.0,45130
2022-02-24,1317.0,41621
2021-03-22,3990.0,44317
2022-02-08,1357.0,42252
2021-05-20,814.0,44159
2021-03-22,1116.0,44317
2021-11-26,1856.0,43613
2021-04-22,730.0,44226
2022-03-30,1489.0,40154
2020-07-13,766.0,44810
2020-05-26,487.0,44940
2021-04-21,1297.0,44228
2022-01-26,1076.0,42716
2021-11-09,1090.0,43693
2020-04-21,546.0,45019
2021-10-01,2409.0,43800
2022-01-25,1154.0,42762
2021-07-22,883.0,43992
2021-08-12,839.0,43957
2021-07-22,604.0,43992
2021-12-27,831.0,43465
2017-03-29,820.0,45966
2021-05-20,1087.0,44159
2021-12-17,1008.0,43509
2021-12-15,1002.0,43526
2021-05-14,1159.0,44173
2022-03-14,1214.0,40802
2021-05-14,856.0,44173
2021-05-18,1040.0,44164
2021-03-22,927.0,44317
2022-01-25,1226.0,42762
2021-11-02,1139.0,43716
2021-03-22,3534.0,44317
2021-12-15,1106.0,43526
2021-12-15,840.0,43526
2022-03-30,1870.0,40154
2022-01-13,791.0,43219
2021-03-22,3451.0,44317
2021-04-22,562.0,44226
2021-06-14,1070.0,44099
2021-03-22,2182.0,44317
2022-03-24,962.0,40353
2021-07-22,687.0,43992
2021-07-22,848.0,43992
2021-07-28,1212.0,43981
2021-05-18,889.0,44164
2021-07-28,1175.0,43981
2022-03-14,1000.0,40802
2022-02-16,657.0,41943
2021-03-22,1538.0,44317
2022-01-13,1177.0,43219
2021-04-22,528.0,44226
2022-03-16,687.0,40653
2022-03-11,865.0,40899
2022-02-23,1339.0,41665
2022-01-31,1553.0,42563
2022-02-07,1236.0,42296
2021-11-26,1605.0,43613
2021-11-26,616.0,43613
2022-02-07,1056.0,42296
2021-04-22,1456.0,44226
2021-07-15,4444.0,44007
2021-10-29,1187.0,43723
2021-07-22,708.0,43992
2021-07-22,5329.0,43992
2021-03-22,1816.0,44317
2021-04-21,761.0,44228
2021-12-21,994.0,43498
2021-12-21,994.0,43498
2022-02-21,1235.0,41780
2021-11-12,5110.0,43678
2021-12-29,4632.0,43450
2021-06-14,570.0,44099
2021-07-30,1156.0,43975
2021-10-04,1074.0,43795
2021-03-22,1434.0,44317
2021-10-22,1299.0,43742
2022-03-14,1245.0,40802
2020-11-27,889.0,44575
2021-07-15,4721.0,44007
2019-09-10,3497.0,45396
2020-11-05,3849.0,44611
2021-04-21,2963.0,44228
2021-03-22,636.0,44317
2021-07-22,787.0,43992
2021-03-22,1265.0,44317
2022-03-23,975.0,40394
2020-11-24,924.0,44582
2021-03-22,1014.0,44317
2022-01-21,1212.0,42911
2021-04-21,953.0,44228
2021-05-20,1043.0,44159
2018-12-19,33.0,45635
2021-08-13,696.0,43956
2021-03-22,1468.0,44317
2022-03-16,1069.0,40653
2021-08-25,638.0,43924
2021-12-29,1157.0,43450
2021-03-22,1585.0,44317
2022-02-11,1512.0,42143
2022-02-03,1296.0,42420
2022-02-16,1062.0,41943
2021-03-26,1102.0,44294
2021-08-30,705.0,43918
2021-03-22,861.0,44317
2022-03-25,1761.0,40311
2022-03-24,1462.0,40353
2022-03-14,650.0,40802
2016-11-17,1672.0,46010
2021-04-21,1786.0,44228
2021-04-21,1786.0,44228
2020-09-04,669.0,44718
2021-05-20,1085.0,44159
2021-02-16,867.0,44411
2021-04-22,909.0,44226
2021-07-13,833.0,44012
2021-11-12,1569.0,43678
2021-07-13,1210.0,44012
2020-07-06,858.0,44826
2022-03-18,1464.0,40581
2022-01-07,837.0,43377
2022-03-28,1705.0,40235
2020-05-18,550.0,44967
2021-08-12,734.0,43957
2021-04-21,1310.0,44228
2021-04-23,1717.0,44215
2021-08-30,1005.0,43918
2021-12-15,1176.0,43526
2021-05-20,861.0,44159
2021-10-26,1670.0,43735
2022-03-30,1169.0,40154
2021-04-09,616.0,44262
2021-07-28,1911.0,43981
2022-03-01,1450.0,41396
2021-12-31,1221.0,43438
2022-03-29,1414.0,40187
2020-09-15,845.0,44699
2020-09-15,638.0,44699
2022-02-04,1675.0,42380
2021-03-22,2560.0,44317
2021-11-12,1214.0,43678
2021-05-20,923.0,44159
2021-05-20,555.0,44159
2022-03-30,1416.0,40154
2021-04-21,1115.0,44228
2022-01-26,1290.0,42716
2022-02-01,1894.0,42487
2022-03-30,853.0,40154
2022-03-14,1013.0,40802
2022-02-11,807.0,42143
2020-05-20,517.0,44962
2022-03-29,872.0,40187
2021-04-22,778.0,44226
2021-03-22,1160.0,44317
2021-07-27,943.0,43984
2022-02-01,789.0,42487
2022-01-21,1199.0,42911
2022-04-01,644.0,40020
2021-04-21,1056.0,44228
2021-05-21,1659.0,44158
2021-07-28,1477.0,43981
2021-12-15,1483.0,43526
2021-12-15,1259.0,43526
2021-12-21,763.0,43498
2021-08-16,678.0,43947
2021-08-30,661.0,43918
2021-04-19,942.0,44236
2016-11-17,2787.0,46010
2022-04-01,1347.0,40020
2022-02-11,1723.0,42143
2021-03-22,881.0,44317
2021-11-02,1159.0,43716
2021-11-12,843.0,43678
2022-01-26,754.0,42716
2022-01-07,1141.0,43377
2021-08-31,1030.0,43912
2020-10-29,730.0,44629
2021-04-21,539.0,44228
2021-03-22,1064.0,44317
2020-12-21,2028.0,44527
2021-07-28,820.0,43981
2021-04-21,651.0,44228
2021-05-11,1768.0,44186
2022-02-15,889.0,42015
2022-02-15,806.0,42015
2021-03-22,1146.0,44317
2021-03-22,718.0,44317
2021-12-15,1038.0,43526
2021-03-22,859.0,44317
2021-07-22,976.0,43992
2021-03-22,1809.0,44317
2022-03-28,1223.0,40235
2022-02-25,1710.0,41592
2022-01-13,836.0,43219
2021-03-22,769.0,44317
2021-12-21,874.0,43498
2022-03-03,961.0,41287
2021-03-16,841.0,44333
2022-03-01,833.0,41396
2022-03-01,779.0,41396
2021-09-10,1162.0,43883
2021-03-22,6346.0,44317
2016-11-17,1968.0,46010
2021-03-22,724.0,44317
2021-03-22,1356.0,44317
2021-03-22,1137.0,44317
2021-07-22,9060.0,43992
2021-11-12,1219.0,43678
2021-03-22,977.0,44317
2021-03-22,936.0,44317
2020-05-19,531.0,44967
2020-04-21,466.0,45019
2021-07-28,694.0,43981
2021-03-25,1730.0,44308
2021-07-22,1325.0,43992
2021-09-01,895.0,43907
2021-12-23,937.0,43479
2021-07-28,860.0,43981
2021-04-22,706.0,44226
2021-03-22,874.0,44317
2021-04-21,881.0,44228
2021-12-15,643.0,43526
2022-03-30,1742.0,40154
2021-04-21,3106.0,44228
2022-01-31,922.0,42563
2022-03-04,861.0,41238
2022-03-04,827.0,41238
2021-03-22,717.0,44317
2022-01-04,838.0,43418
2021-11-02,1191.0,43716
2021-03-16,1959.0,44333
2021-07-22,626.0,43992
2021-07-15,848.0,44007
2021-09-14,1267.0,43873
2021-07-22,1149.0,43992
2021-05-20,934.0,44159
2021-06-28,836.0,44064
2021-10-15,973.0,43756
2021-07-28,1121.0,43981
2022-02-04,1290.0,42380
2022-03-16,1785.0,40653
2022-02-11,1753.0,42143
2019-07-26,1953.0,45440
2021-09-27,896.0,43827
2022-01-10,950.0,43316
2021-04-21,1266.0,44228
2021-04-16,1128.0,44239
2021-10-15,1169.0,43756
2021-04-20,483.0,44231
2021-04-20,459.0,44231
2022-03-30,1406.0,40154
2022-04-01,1174.0,40020
2021-08-02,621.0,43970
2022-03-04,1493.0,41238
2021-04-21,1126.0,44228
2021-02-01,952.0,44440
2022-01-31,1362.0,42563
2021-10-20,1203.0,43747
2021-10-20,708.0,43747
2022-01-31,1099.0,42563
2021-04-19,1056.0,44236
2021-07-20,1000.0,43998
2021-07-28,4380.0,43981
2021-08-24,1070.0,43928
