DefaultDate,TimeToDefault,NumberOfCredits
2021-08-31,1953.0,26471
2021-11-30,2304.0,26113
2021-08-31,1959.0,26471
2021-05-31,2274.0,26872
2021-10-31,1951.0,26193
2021-08-31,1812.0,26471
2021-10-31,1808.0,26193
2021-09-30,1799.0,26360
2021-11-30,1817.0,26113
2021-09-30,1763.0,26360
2021-06-30,1664.0,26697
2021-06-30,1636.0,26697
2021-09-30,1690.0,26360
2022-01-31,1830.0,25972
2021-09-30,1688.0,26360
2021-11-30,1699.0,26113
2021-06-30,1544.0,26697
2021-04-30,1466.0,27023
2021-09-30,1626.0,26360
2021-12-31,1718.0,25981
2021-10-31,1634.0,26193
2021-04-30,1498.0,27023
2021-06-30,1471.0,26697
2021-02-28,1352.0,27325
2021-11-30,1607.0,26113
2021-11-30,1607.0,26113
2021-11-30,1604.0,26113
2021-05-31,1462.0,26872
2021-11-30,1587.0,26113
2022-01-31,342.0,25972
2021-06-30,1430.0,26697
2021-11-30,1566.0,26113
2022-01-31,1580.0,25972
2021-08-31,1406.0,26471
2021-09-30,1233.0,26360
2021-05-31,1264.0,26872
2021-09-30,1402.0,26360
2021-08-31,1326.0,26471
2021-06-30,1269.0,26697
2022-01-31,1482.0,25972
2021-09-30,1361.0,26360
2021-12-31,1444.0,25981
2021-09-30,1323.0,26360
2021-11-30,1357.0,26113
2021-07-31,1221.0,26530
2021-11-30,1343.0,26113
2022-01-31,1411.0,25972
2021-02-28,1053.0,27325
2021-04-30,1106.0,27023
2021-07-31,1246.0,26530
2021-11-30,1299.0,26113
2021-11-30,1299.0,26113
2021-05-31,1124.0,26872
2021-05-31,1124.0,26872
2021-02-28,996.0,27325
2021-11-30,1264.0,26113
2021-11-30,1259.0,26113
2021-11-30,1259.0,26113
2021-12-31,1291.0,25981
2022-01-31,728.0,25972
2021-04-30,1011.0,27023
2021-10-31,1209.0,26193
2021-06-30,1033.0,26697
2021-09-30,1156.0,26360
2022-01-31,1293.0,25972
2021-03-31,911.0,27150
2021-10-31,1131.0,26193
2021-11-30,1155.0,26113
2021-10-31,1121.0,26193
2021-08-31,1084.0,26471
2021-04-30,930.0,27023
2021-12-31,1145.0,25981
2021-09-30,1058.0,26360
2021-12-31,1165.0,25981
2021-12-31,1129.0,25981
2021-11-30,1104.0,26113
2021-09-30,1037.0,26360
2021-09-30,1031.0,26360
2021-06-30,980.0,26697
2021-10-31,207.0,26193
2021-10-31,1056.0,26193
2021-10-31,1054.0,26193
2021-11-30,1040.0,26113
2021-03-31,845.0,27150
2021-12-31,1060.0,25981
2021-07-31,918.0,26530
2021-12-31,337.0,25981
2021-08-31,932.0,26471
2021-08-31,928.0,26471
2021-11-30,1021.0,26113
2022-01-31,1085.0,25972
2021-05-31,837.0,26872
2021-11-30,999.0,26113
2021-06-30,859.0,26697
2021-05-31,796.0,26872
2021-12-31,1003.0,25981
2021-03-31,729.0,27150
2021-09-30,933.0,26360
2021-10-31,940.0,26193
2021-11-30,972.0,26113
2021-05-31,752.0,26872
2021-07-31,812.0,26530
2021-10-31,452.0,26193
2021-06-30,777.0,26697
2021-12-31,954.0,25981
2021-06-30,756.0,26697
2021-08-31,812.0,26471
2021-10-31,856.0,26193
2021-06-30,719.0,26697
2021-10-31,830.0,26193
2021-03-31,620.0,27150
2021-07-31,718.0,26530
2021-11-30,832.0,26113
2021-11-30,818.0,26113
2021-08-31,716.0,26471
2021-07-31,688.0,26530
2021-12-31,1157.0,25981
2021-07-31,683.0,26530
2021-09-30,759.0,26360
2021-11-30,347.0,26113
2021-09-30,740.0,26360
2021-10-31,758.0,26193
2021-09-30,716.0,26360
2021-08-31,434.0,26471
2021-10-31,755.0,26193
2021-03-31,518.0,27150
2021-12-31,773.0,25981
2021-08-31,831.0,26471
2021-05-31,560.0,26872
2021-09-30,670.0,26360
2021-04-30,520.0,27023
