DefaultDate,TimeToDefault,NumberOfCredits
2014-07-01,3429.0,205221
2016-08-31,4060.0,205221
2005-04-01,-145.0,205221
2017-04-28,4162.0,205221
2005-07-01,-180.0,205221
2005-01-20,-397.0,205221
2018-06-18,4414.0,205221
2013-11-18,2720.0,205221
2005-07-01,-360.0,205221
2006-06-08,-25.0,205221
2005-04-01,-524.0,205221
2010-04-06,1293.0,205221
2014-04-01,2709.0,205221
2005-01-20,-670.0,205221
2006-06-19,-191.0,205221
2006-05-31,-203.0,205221
2021-06-25,5329.0,205042
2015-07-07,3130.0,205221
2017-12-29,4953.0,205221
2005-07-01,-570.0,205221
2013-10-07,2369.0,205221
2010-11-01,1328.0,205221
2019-07-05,4475.0,205221
2006-10-05,-238.0,205221
2014-03-12,2364.0,205221
2005-01-20,-910.0,205221
2018-05-31,3963.0,205221
2018-05-02,3862.0,205221
2007-04-30,-164.0,205221
2014-02-03,2259.0,205221
2007-05-07,-213.0,205221
2016-04-05,3029.0,205221
2008-01-01,-31.0,205221
2008-01-01,-42.0,205221
2012-09-25,1652.0,205221
2005-03-30,-1176.0,205221
2006-01-02,-878.0,205221
2017-08-31,3319.0,205221
2008-07-01,-36.0,205221
2005-04-01,-1252.0,205221
2015-06-25,2446.0,205221
2018-03-02,3377.0,205221
2017-05-19,3097.0,205221
2015-01-05,2063.0,205221
2018-10-25,3598.0,205221
2005-02-01,-1451.0,205221
2005-01-20,-1497.0,205221
2009-02-17,-62.0,205221
2010-04-01,372.0,205221
2010-10-04,571.0,205221
2007-08-21,-624.0,205221
2005-07-01,-1414.0,205221
2008-01-01,-475.0,205221
2010-06-01,379.0,205221
2005-03-22,-1574.0,205221
2008-05-02,-362.0,205221
2014-10-31,2012.0,205221
2014-02-24,1498.0,205221
2008-01-01,-490.0,205221
2013-10-31,1578.0,205221
2009-04-06,-185.0,205221
2007-10-16,-597.0,205221
2007-11-01,-635.0,205221
2019-06-28,5155.0,205221
2019-06-28,5155.0,205221
2019-06-28,5155.0,205221
2019-06-28,5155.0,205221
2019-06-28,5155.0,205221
2019-06-28,5155.0,205221
2016-10-17,2701.0,205221
2005-01-20,-1748.0,205221
2012-10-31,1202.0,205221
2017-02-08,2668.0,205221
2016-09-30,2565.0,205221
2016-10-17,2638.0,205221
2017-02-08,2744.0,205221
2005-01-20,-1747.0,205221
2013-09-26,1448.0,205221
2005-01-20,-1799.0,205221
2005-01-20,-1749.0,205221
2015-06-02,2035.0,205221
2009-10-05,-39.0,205221
2014-09-15,1746.0,205221
2007-02-05,-1044.0,205221
2005-04-01,-1727.0,205221
2013-11-25,1412.0,205221
2005-07-01,-1637.0,205221
2009-11-30,-23.0,205221
2015-12-28,2155.0,205221
2014-11-27,4236.0,205221
2009-11-17,2098.0,205221
2006-03-28,733.0,205221
2012-11-16,2426.0,205221
2015-10-08,373.0,205221
2014-03-26,-1192.0,205221
2015-11-30,3105.0,205221
2015-04-24,1210.0,205221
2015-10-08,1622.0,205221
2016-07-08,1561.0,205221
2015-10-08,2687.0,205221
2015-04-24,-1034.0,205221
2018-03-02,2618.0,205221
2016-10-31,1776.0,205221
2015-04-24,324.0,205221
2015-10-08,365.0,205221
2017-01-16,-359.0,205221
2017-01-16,-714.0,205221
2019-04-03,3929.0,205221
2017-01-16,-714.0,205221
2013-09-25,1414.0,205221
2017-01-16,-786.0,205221
2013-07-08,-1919.0,205221
2015-04-24,-1034.0,205221
2013-07-08,-1946.0,205221
2015-04-30,4300.0,205221
2017-02-13,4756.0,205221
2007-07-26,1162.0,205221
2005-03-29,239.0,205221
2017-01-16,4555.0,205221
2005-01-20,35.0,205221
2017-05-02,4407.0,205221
2005-01-20,-113.0,205221
2012-02-29,2435.0,205221
2005-01-20,-194.0,205221
2011-04-29,2076.0,205221
2008-08-19,965.0,205221
2017-01-16,4129.0,205221
2008-09-30,991.0,205221
2017-01-03,4037.0,205221
2008-06-03,928.0,205221
2009-01-02,1169.0,205221
2007-03-14,370.0,205221
2016-11-30,5038.0,205221
2005-01-20,-398.0,205221
2008-05-13,782.0,205221
2013-08-30,2752.0,205221
2014-12-31,3108.0,205221
2010-05-13,1501.0,205221
2015-09-22,3442.0,205221
2018-10-31,4591.0,205221
2019-06-27,4747.0,205221
2007-01-02,193.0,205221
2012-09-26,2177.0,205221
2005-01-20,-636.0,205221
2016-11-29,3785.0,205221
2005-03-29,-538.0,205221
2014-06-24,2820.0,205221
2013-07-16,2426.0,205221
2005-04-04,-589.0,205221
2005-04-15,-532.0,205221
2013-10-23,2581.0,205221
2006-07-03,-128.0,205221
2007-10-11,241.0,205221
2007-08-14,203.0,205221
2015-06-02,3045.0,205221
2007-04-18,-19.0,205221
2017-10-17,3954.0,205221
2007-01-02,-9.0,205221
2013-09-30,2449.0,205221
2007-04-03,256.0,205221
2006-04-03,-388.0,205221
2007-01-02,-37.0,205221
2013-09-23,2392.0,205221
2005-05-09,-695.0,205221
2005-03-15,-765.0,205221
2007-07-13,0.0,205221
2017-05-03,3660.0,205221
2013-01-11,2061.0,205221
2010-03-15,1034.0,205221
2009-01-16,569.0,205221
2015-11-30,3065.0,205221
2005-01-20,-874.0,205221
2020-01-29,4597.0,205220
2007-06-12,-49.0,205221
2012-11-29,1947.0,205221
2008-09-29,433.0,205221
2005-07-01,-791.0,205221
2007-09-26,-15.0,205221
2019-10-30,4388.0,205221
2012-10-31,1828.0,205221
2006-02-23,-652.0,205221
2005-06-20,-896.0,205221
2010-06-01,714.0,205221
2015-03-30,2677.0,205221
2005-01-20,-1042.0,205221
2008-06-23,193.0,205221
2007-05-02,-231.0,205221
2007-05-02,-231.0,205221
2012-06-27,1654.0,205221
2005-01-20,-1184.0,205221
2022-01-13,5096.0,200528
2005-01-20,-1127.0,205221
2008-01-31,-12.0,205221
2005-05-09,-1065.0,205221
2017-12-27,4298.0,205221
2017-12-27,4298.0,205221
2014-09-30,2265.0,205221
2005-02-01,-1232.0,205221
2021-08-03,4701.0,204947
2005-01-20,-1252.0,205221
2008-05-02,-42.0,205221
2009-02-02,115.0,205221
2015-12-28,2735.0,205221
2009-04-14,287.0,205221
2012-10-31,1546.0,205221
2008-07-15,1.0,205221
2005-01-20,-1329.0,205221
2008-09-02,-41.0,205221
2010-07-20,117.0,205221
2006-10-30,-1185.0,205221
2008-01-03,-767.0,205221
2005-01-20,-1853.0,205221
2019-06-27,3375.0,205221
2003-12-31,-2282.0,205221
2015-08-19,1980.0,205221
2015-04-21,1692.0,205221
2005-01-20,-2008.0,205221
2008-11-17,-507.0,205221
2005-12-30,-1607.0,205221
2011-12-12,571.0,205221
2008-05-30,-697.0,205221
2012-10-29,707.0,205221
2005-01-20,-1957.0,205221
2016-07-25,2260.0,205221
2005-01-20,-2388.0,205221
2005-01-20,-1971.0,205221
2013-12-02,1264.0,205221
2008-01-01,-923.0,205221
2008-06-30,-1309.0,205221
2010-07-05,-70.0,205221
2006-06-29,-1625.0,205221
2009-03-03,-629.0,205221
2014-12-18,1618.0,205221
2005-01-20,-2003.0,205221
2020-01-31,3374.0,205220
2017-10-30,2658.0,205221
2014-11-27,1589.0,205221
2007-02-15,-1322.0,205221
2018-12-03,2916.0,205221
2011-01-03,-22.0,205221
2009-06-16,-954.0,205221
2005-01-20,-2073.0,205221
2012-05-02,93.0,205221
2010-11-08,55.0,205221
2017-02-08,2317.0,205221
2005-04-01,-2212.0,205221
2005-01-20,-2105.0,205221
2005-07-01,-1977.0,205221
2006-09-29,-1468.0,205221
2005-01-20,-2129.0,205221
2009-01-02,-678.0,205221
2010-05-03,-200.0,205221
2012-06-22,224.0,205221
2005-01-20,-2167.0,205221
2005-07-01,-2061.0,205221
2008-06-30,-1309.0,205221
2005-01-20,-2237.0,205221
2010-01-18,-367.0,205221
2008-07-01,-910.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2008-03-03,-58.0,205221
2005-04-04,-2109.0,205221
2006-12-18,-1583.0,205221
2006-12-18,-1583.0,205221
2017-07-26,2402.0,205221
2008-09-22,-875.0,205221
2007-07-02,-766.0,205221
2006-02-07,-1848.0,205221
2006-12-29,-1545.0,205221
2013-09-30,950.0,205221
2010-08-02,-225.0,205221
2017-10-02,2204.0,205221
2017-12-29,4230.0,205221
2015-01-02,1379.0,205221
2010-11-01,-185.0,205221
2005-07-01,-2132.0,205221
2006-04-28,-1868.0,205221
2011-10-31,216.0,205221
2011-05-30,-59.0,205221
2013-10-01,930.0,205221
2005-06-14,-2598.0,205221
2012-09-24,551.0,205221
2005-04-01,-2210.0,205221
2007-06-15,-1441.0,205221
2016-05-31,1832.0,205221
2007-03-06,-1576.0,205221
2005-01-20,-2381.0,205221
2011-05-16,19.0,205221
2017-01-25,1825.0,205221
2013-10-02,888.0,205221
2018-03-02,2488.0,205221
2009-01-27,-867.0,205221
2018-01-05,2356.0,205221
2011-09-28,77.0,205221
2014-04-07,1013.0,205221
2011-07-12,20.0,205221
2005-04-15,-2260.0,205221
2018-03-02,2437.0,205221
2016-10-21,1949.0,205221
2005-01-20,-2374.0,205221
2015-11-25,1595.0,205221
2017-02-09,2081.0,205221
2013-10-29,825.0,205221
2021-07-07,3631.0,205004
2011-01-10,-205.0,205221
2006-02-28,-2201.0,205221
2018-11-01,2605.0,205221
2005-01-20,-2435.0,205221
2014-12-30,1142.0,205221
2005-01-20,-2715.0,205221
2017-02-10,2412.0,205221
2019-05-02,2717.0,205221
2016-06-06,1623.0,205221
2005-01-20,-2552.0,205221
2017-09-29,2074.0,205221
2009-03-03,-1050.0,205221
2012-02-20,-235.0,205221
2014-03-26,877.0,205221
2007-07-02,-1634.0,205221
2018-05-02,2284.0,205221
2017-02-07,1839.0,205221
2018-03-02,2206.0,205221
2015-01-30,995.0,205221
2005-01-20,-2804.0,205221
2013-07-29,1708.0,205221
2013-07-29,1708.0,205221
2013-07-29,1708.0,205221
2013-07-29,1708.0,205221
2013-07-29,1708.0,205221
2017-01-31,1636.0,205221
2005-02-11,-2625.0,205221
2014-12-29,957.0,205221
2015-11-27,4550.0,205221
2015-10-08,4489.0,205221
2012-09-26,3015.0,205221
2017-05-23,4471.0,205221
2012-06-27,1293.0,205221
2015-07-21,3644.0,205221
2015-09-22,3771.0,205221
2017-02-13,3953.0,205221
2015-10-08,3486.0,205221
2005-01-20,-419.0,205221
2018-11-29,4634.0,205221
2018-11-29,4634.0,205221
2016-12-27,3863.0,205221
2021-09-17,5594.0,204843
2012-02-29,2072.0,205221
2013-07-31,2584.0,205221
2012-10-30,2318.0,205221
2006-07-03,-88.0,205221
2013-05-08,2331.0,205221
2018-03-02,4050.0,205221
2018-03-02,4088.0,205221
2012-10-01,3941.0,205221
2016-12-27,3583.0,205221
2015-03-31,2940.0,205221
2014-12-31,2830.0,205221
2012-12-24,2083.0,205221
2006-05-23,-372.0,205221
2012-10-30,1979.0,205221
2022-01-18,5318.0,200394
2017-06-12,3463.0,205221
2016-10-21,3364.0,205221
2019-02-19,3354.0,205221
2016-05-18,3180.0,205221
2015-10-08,2855.0,205221
2014-04-07,2296.0,205221
2011-06-03,1260.0,205221
2014-04-07,2296.0,205221
2017-02-13,3314.0,205221
2019-09-05,4238.0,205221
2016-08-31,3134.0,205221
2013-09-25,2007.0,205221
2010-12-14,944.0,205221
2012-10-01,2742.0,205221
2012-10-01,2742.0,205221
2014-10-28,2283.0,205221
2010-01-29,536.0,205221
2012-05-29,928.0,205221
2015-09-28,2469.0,205221
2017-02-09,2982.0,205221
2015-11-25,2491.0,205221
2013-07-31,1562.0,205221
2005-01-20,-1588.0,205221
2015-04-03,2009.0,205221
2005-01-20,-1085.0,205221
2012-10-30,2594.0,205221
2012-10-30,2594.0,205221
2014-09-24,2988.0,205221
2019-06-28,4098.0,205221
2019-06-28,4098.0,205221
