DefaultDate,TimeToDefault,NumberOfCredits
2020-09-10,1060.0,21648
2020-08-31,395.0,21648
2020-08-31,230.0,21648
2020-10-01,596.0,21648
2020-10-01,596.0,21648
2020-10-16,599.0,21648
2020-10-16,3343.0,21648
2020-11-23,1264.0,21648
2020-11-10,1118.0,21648
2020-11-16,1090.0,21648
2020-11-04,1035.0,21648
2020-11-16,693.0,21648
2020-11-16,693.0,21648
2020-11-04,555.0,21648
2020-11-12,436.0,21648
2020-11-12,436.0,21648
2020-11-17,228.0,21648
2020-12-22,691.0,21648
2021-01-28,1472.0,21648
2021-02-09,869.0,21648
2021-02-04,290.0,21648
2021-03-18,1465.0,21648
2021-03-18,1465.0,21648
2021-03-05,759.0,21648
2021-03-02,656.0,21648
2021-03-22,538.0,21648
2021-03-18,343.0,21648
2021-03-18,343.0,21648
2021-04-27,1551.0,21648
2021-04-27,1425.0,21648
2021-04-19,873.0,21648
2021-04-16,800.0,21648
2021-04-27,795.0,21648
2021-04-14,735.0,21648
2021-04-19,524.0,21648
2021-05-18,1282.0,21648
2021-05-03,1182.0,21648
2021-05-18,1009.0,21648
2021-05-04,950.0,21648
2021-05-25,840.0,21648
2021-05-25,631.0,21648
2021-05-03,528.0,21648
2021-06-09,1531.0,21648
2021-06-09,1443.0,21648
2021-06-03,1234.0,21648
2021-06-03,1234.0,21648
2021-07-22,889.0,21648
2021-07-09,829.0,21648
2021-07-09,676.0,21648
2021-07-06,622.0,21648
2021-07-06,622.0,21648
2021-07-01,630.0,21648
2021-07-01,596.0,21648
2021-07-06,596.0,21648
2021-07-22,512.0,21648
2021-08-02,1410.0,21648
2021-08-04,910.0,21648
2021-08-19,595.0,21648
2021-09-21,1048.0,21648
2021-08-30,829.0,21648
2021-09-16,794.0,21648
2021-09-09,708.0,21648
2021-09-20,717.0,21648
2021-09-21,532.0,21648
2021-09-20,523.0,21648
2021-08-30,502.0,21648
2021-09-02,3625.0,21648
2021-09-02,2918.0,21648
2021-09-30,1438.0,21648
2021-09-30,1438.0,21648
2021-10-05,663.0,21648
2021-10-14,4129.0,21648
2021-10-14,3599.0,21648
2021-10-14,3418.0,21648
2021-11-05,1297.0,21648
2021-11-04,1114.0,21648
2021-11-03,966.0,21648
2021-11-18,931.0,21648
2021-11-04,897.0,21648
2021-11-10,741.0,21648
2021-11-18,602.0,21648
2021-11-08,4960.0,21648
2021-11-08,4960.0,21648
2021-12-07,1320.0,21648
2021-12-02,1190.0,21648
2021-12-10,1134.0,21648
2021-12-07,1107.0,21648
2021-12-08,1023.0,21648
2021-12-17,812.0,21648
2021-12-15,740.0,21648
2021-12-06,608.0,21648
2022-01-17,1326.0,21648
2022-01-06,904.0,21648
2022-01-04,890.0,21648
2022-01-24,801.0,21648
2021-12-23,626.0,21648
2022-02-10,1619.0,21648
2022-02-10,1529.0,21648
2022-02-14,837.0,21648
2022-02-18,850.0,21648
2022-02-17,847.0,21648
2022-02-07,826.0,21648
2022-02-14,819.0,21648
2022-02-08,727.0,21648
2022-02-18,722.0,21648
2022-02-14,689.0,21648
2022-02-10,4607.0,21648
2022-03-03,2032.0,21648
2022-03-15,1187.0,21648
2022-03-15,882.0,21648
2022-03-09,699.0,21648
2022-03-16,5577.0,21648
2022-03-16,5468.0,21648
2022-04-21,1729.0,21648
2022-04-20,1686.0,21648
2022-04-05,1174.0,21648
2022-04-19,1002.0,21648
2022-04-25,930.0,21648
